Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,0.025203539823008842,0.5720000000000001,0.46874999999999994,0.48709677419354835,0.5193905817174514,0.5211062590975255,0.522962962962963,0.20491803278688525,0.21008403361344538,0.07213779128672745,0.4161290322580645,0.15160349854227406
ALB,0.0376597836774828,0.706,0.33854166666666663,0.4258064516129032,0.502770083102493,0.5225618631732168,0.5437037037037037,0.1475409836065574,0.15126050420168066,0.07760891590678826,0.5225806451612903,0.18658892128279886
DZA,0.00214035809837415,0.389,0.5833333333333333,0.02258064516129032,0.6966759002770082,0.6914119359534207,0.6799999999999999,0.3524590163934426,0.3613445378151261,0.010536980749746707,0.10967741935483871,0.20408163265306123
AND,0.026588003933136678,0.67,0.3333333333333333,0.7096774193548387,0.45290858725761773,0.4716157205240174,0.49185185185185176,0.12295081967213116,0.12605042016806722,0.04566024991556906,0.4258064516129032,0.16034985422740525
AGO,0.026263202968883816,0.7659999999999999,0.4583333333333332,0.0,0.7493074792243767,0.7656477438136826,0.7733333333333333,0.2540983606557377,0.2605042016806723,0.09321175278622088,0.37741935483870964,0.6209912536443148
ATG,0.007436086529006882,0.5,0.29687499999999994,0.0,0.760387811634349,0.7991266375545852,0.8296296296296296,0.39344262295081966,0.4033613445378152,0.040864572779466396,0.2967741935483871,0.6705539358600584
ARG,0.011338945247859559,0.445,0.5468749999999999,0.03870967741935484,0.7257617728531855,0.727802037845706,0.7229629629629629,0.3360655737704918,0.3445378151260504,0.05322526173590003,0.25161290322580643,0.4664723032069971
ARM,0.01644051130776794,0.69,0.3749999999999999,0.8258064516129032,0.4196675900277008,0.4294032023289665,0.44296296296296295,0.12295081967213116,0.12605042016806722,0.028233704829449507,0.43548387096774194,0.08746355685131196
AUS,0.004503441494591936,0.332,0.6041666666666665,0.0,0.8144044321329639,0.8136826783114993,0.8014814814814814,0.49180327868852464,0.5042016806722689,0.030935494765282,0.14516129032258066,0.48979591836734687
AUT,0.02979351032448377,0.731,0.26562499999999994,0.7129032258064517,0.42797783933518,0.45414847161572053,0.48296296296296287,0.09836065573770492,0.1008403361344538,0.04093211752786221,0.4483870967741936,0.14285714285714288
AZE,0.016558505408062932,0.723,0.3281249999999999,0.535483870967742,0.46814404432132956,0.487627365356623,0.5096296296296297,0.12295081967213116,0.12605042016806722,0.028436339074636947,0.34516129032258064,0.16618075801749274
BHS,0.004000287790488524,0.502,0.4322916666666666,0.0,0.7479224376731302,0.7685589519650654,0.7807407407407406,0.3360655737704918,0.3445378151260504,0.0187774400540358,0.15483870967741936,0.5976676384839651
BHR,0.0005794353139485883,0.344,0.4999999999999999,0.0,0.7534626038781163,0.7641921397379913,0.7659259259259259,0.45901639344262296,0.47058823529411764,0.0037149611617696724,0.13870967741935483,0.4373177842565598
BGD,0.009365781710914454,0.433,0.4583333333333332,0.0,0.7770083102493075,0.7947598253275109,0.8029629629629629,0.3278688524590164,0.33613445378151263,0.04289091523134076,0.12580645161290321,0.565597667638484
BRB,0.009193706981317601,0.513,0.31249999999999994,0.0,0.7673130193905817,0.8049490538573507,0.8340740740740741,0.39344262295081966,0.4033613445378152,0.05052347180006754,0.34838709677419355,0.6705539358600584
BLR,0.01960013110455588,0.622,0.3697916666666666,0.9612903225806452,0.35041551246537395,0.3595342066957788,0.3718518518518518,0.0737704918032787,0.07563025210084033,0.020195879770347855,0.36129032258064514,0.08746355685131196
BEL,0.045105926521855716,0.845,0.22916666666666666,0.4225806451612903,0.47229916897506924,0.5065502183406114,0.5422222222222222,0.09016393442622953,0.09243697478991597,0.056805133400878075,0.635483870967742,0.2157434402332362
BLZ,0.002444163506110409,0.501,0.3541666666666666,0.0,0.7770083102493075,0.8093158660844251,0.8325925925925926,0.34426229508196726,0.3529411764705882,0.011752786220871326,0.13548387096774195,0.7813411078717201
BEN,0.0011799410029498525,0.637,0.5885416666666665,0.0,0.8656509695290858,0.8704512372634643,0.8622222222222221,0.43442622950819676,0.4453781512605043,0.007159743329956096,0.06774193548387097,0.5568513119533528
BTN,0.009868597479216947,0.496,0.5468749999999999,0.6064516129032258,0.4972299168975069,0.487627365356623,0.47851851851851845,0.18032786885245905,0.18487394957983194,0.024856467409658897,0.13548387096774195,0.16034985422740525
