Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,0.004755162241887906,0.49200000000000005,0.5468749999999999,0.22580645161290322,0.6218836565096952,0.61863173216885,0.6118518518518518,0.3278688524590164,0.3252914068853348,0.021073961499493414,0.22580645161290322,0.1720116618075802
ALB,0.014565950273914876,0.505,0.4947916666666666,0.17419354838709677,0.5955678670360111,0.5982532751091703,0.597037037037037,0.22950819672131148,0.22770398481973436,0.045187436676798386,0.3225806451612903,0.2653061224489796
DZA,0.000443371770805399,0.41100000000000003,0.6197916666666666,0.012903225806451613,0.7590027700831025,0.75254730713246,0.7377777777777778,0.45081967213114754,0.44727568446733534,0.002701789935832489,0.041935483870967745,0.22740524781341112
AND,0.0351984681467681,0.787,0.30208333333333326,0.6419354838709677,0.45290858725761773,0.4759825327510917,0.5007407407407407,0.1557377049180328,0.15451341827053403,0.07409658899020602,0.5612903225806452,0.14285714285714288
AGO,0.023520157325467056,0.638,0.5052083333333333,0.0,0.7479224376731302,0.7569141193595341,0.7585185185185185,0.2540983606557377,0.25210084033613445,0.08078351908139142,0.2903225806451613,0.5801749271137027
ATG,0.0272520345613925,0.528,0.2552083333333333,0.0,0.7645429362880887,0.8093158660844251,0.8474074074074074,0.3852459016393443,0.3822174030902684,0.14191151637960148,0.45483870967741935,0.7463556851311953
ARG,0.019367672642008924,0.517,0.4791666666666666,0.132258064516129,0.6426592797783933,0.6506550218340611,0.6533333333333332,0.21311475409836067,0.21143941447546763,0.055791962174940896,0.22258064516129034,0.3615160349854228
ARM,0.009123520835452481,0.584,0.47395833333333326,0.31612903225806455,0.556786703601108,0.5604075691411936,0.562962962962963,0.2377049180327869,0.23583626999186774,0.029314420803782507,0.3645161290322581,0.16034985422740525
AUS,0.0031939634902312854,0.355,0.5781249999999999,0.0032258064516129032,0.760387811634349,0.759825327510917,0.7511111111111111,0.3770491803278688,0.37408511791813503,0.01627828436339075,0.1064516129032258,0.4110787172011662
AUT,0.02207524711483724,0.7170000000000001,0.34374999999999994,0.39354838709677414,0.5055401662049861,0.5254730713245997,0.5451851851851851,0.1557377049180328,0.15451341827053403,0.04647078689631881,0.4129032258064516,0.21282798833819247
AZE,0.0035625614552605702,0.574,0.4843749999999999,0.132258064516129,0.6121883656509696,0.6171761280931587,0.6192592592592592,0.26229508196721313,0.2602331255082678,0.012630867950016885,0.2,0.23906705539358605
BHS,0.00542046086101492,0.479,0.46874999999999994,0.0,0.7534626038781163,0.7671033478893741,0.7733333333333333,0.3770491803278688,0.37408511791813503,0.027625802093887198,0.14838709677419354,0.5801749271137027
BHR,0.0018109780785470525,0.52,0.5156249999999999,0.0,0.8130193905817175,0.8238719068413392,0.8251851851851851,0.5573770491803279,0.5529953917050692,0.01364403917595407,0.20967741935483872,0.48979591836734687
BGD,0.024703518447266048,0.467,0.4062499999999999,0.0,0.796398891966759,0.8224163027656477,0.8385185185185184,0.3770491803278688,0.37408511791813503,0.125903411009794,0.24193548387096775,0.6967930029154519
BRB,0.014062274664044574,0.557,0.2395833333333333,0.0,0.7659279778393351,0.8136826783114993,0.8548148148148148,0.36885245901639346,0.36595283274600166,0.07011144883485308,0.3645161290322581,0.7638483965014577
