Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,0.00038384500528060013,0.151,0.8124999999999999,0.05806451612903226,0.7576177285318559,0.7248908296943231,0.6814814814814815,0.4426229508196722,0.43914339929520196,0.002296521445457616,0.035483870967741936,0.18658892128279886
ALB,0.009876106194690266,0.435,0.48958333333333326,0.012903225806451613,0.6717451523545707,0.6783114992721979,0.6814814814814815,0.24590163934426232,0.2439685551640011,0.03282674772036474,0.18064516129032257,0.34693877551020413
DZA,0.0003306501341599587,0.363,0.6562499999999999,0.0,0.8850415512465374,0.8791848617176129,0.8607407407407407,0.4836065573770492,0.4798048251558688,0.0021614319486659914,0.02903225806451613,0.3965014577259475
AND,0.010345884666550986,0.5660000000000001,0.42187499999999994,0.0032258064516129032,0.6274238227146813,0.6419213973799126,0.6533333333333332,0.27868852459016397,0.2764976958525346,0.03897331982438366,0.31935483870967746,0.25655976676384845
AGO,0.003642576204523107,0.537,0.6874999999999999,0.0,0.7714681440443213,0.7569141193595341,0.7318518518518519,0.3278688524590164,0.3252914068853348,0.016143194866599122,0.07419354838709677,0.4431486880466473
ATG,0.024345688512675812,0.5820000000000001,0.26562499999999994,0.0,0.7936288088642659,0.8384279475982532,0.8755555555555554,0.3770491803278688,0.37408511791813503,0.12407970280310705,0.4967741935483871,0.8396501457725948
ARG,0.0062536873156342175,0.467,0.5781249999999999,0.25806451612903225,0.6052631578947368,0.5967976710334789,0.5851851851851851,0.2540983606557377,0.25210084033613445,0.021479229989868287,0.16774193548387098,0.24198250728862977
ARM,0.0021090116665337904,0.22699999999999998,0.6927083333333331,0.05161290322580645,0.6883656509695291,0.6681222707423581,0.6414814814814814,0.3032786885245902,0.30089455136893467,0.008645727794663965,0.12580645161290321,0.25655976676384845
AUS,0.0015475380077149986,0.284,0.6458333333333333,0.01935483870967742,0.721606648199446,0.710334788937409,0.6918518518518518,0.42622950819672134,0.42287882895093526,0.008915906788247214,0.1032258064516129,0.3002915451895044
AUT,0.03823773626133509,0.693,0.29166666666666663,0.1064516129032258,0.5554016620498615,0.5851528384279476,0.6133333333333333,0.1475409836065574,0.14638113309840067,0.076258020938872,0.4612903225806452,0.2886297376093295
