Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,0.004418994736537683,0.449,0.5416666666666666,0.08064516129032258,0.7022160664819944,0.7030567685589519,0.6977777777777777,0.4180327868852459,0.4285714285714286,0.025802093887200273,0.2806451612903226,0.25947521865889217
ALB,0.013670459334176146,0.524,0.41666666666666663,0.016129032258064516,0.6412742382271468,0.6579330422125182,0.6696296296296296,0.2868852459016394,0.29411764705882354,0.05477879094900371,0.432258064516129,0.34985422740524785
DZA,0.0005355116859541638,0.43700000000000006,0.6562499999999999,0.0,0.835180055401662,0.8282387190684134,0.8088888888888888,0.5327868852459017,0.546218487394958,0.003985140155352921,0.04838709677419355,0.28571428571428575
AND,0.028023598820059,0.622,0.4062499999999999,0.23870967741935484,0.5512465373961218,0.5647743813682677,0.5762962962962963,0.26229508196721313,0.26890756302521013,0.10266801756163459,0.567741935483871,0.1982507288629738
AGO,0.0025311637643924264,0.519,0.6458333333333333,0.0,0.7631578947368421,0.7540029112081513,0.7348148148148147,0.2540983606557377,0.2605042016806723,0.008983451536643027,0.06451612903225806,0.5043731778425655
ATG,0.026339724680432643,0.583,0.2395833333333333,0.0,0.7797783933518004,0.8282387190684134,0.8696296296296295,0.39344262295081966,0.4033613445378152,0.1447483958122256,0.535483870967742,0.8017492711370263
ARG,0.01575568280409509,0.446,0.4999999999999999,0.2709677419354839,0.5844875346260388,0.586608442503639,0.5851851851851851,0.13934426229508198,0.14285714285714288,0.03066531577169875,0.18064516129032257,0.2915451895043732
ARM,0.02281219272369715,0.655,0.46354166666666663,0.132258064516129,0.5969529085872576,0.604075691411936,0.6088888888888888,0.24590163934426232,0.25210084033613445,0.07835190813914218,0.5806451612903226,0.25072886297376096
AUS,0.005989094484669706,0.44,0.5312499999999999,0.01935483870967742,0.6966759002770082,0.7001455604075691,0.6962962962962963,0.27049180327868855,0.2773109243697479,0.022627490712597096,0.1935483870967742,0.34985422740524785
AUT,0.043011658940862486,0.816,0.27083333333333326,0.12580645161290321,0.5498614958448753,0.5822416302765647,0.6133333333333333,0.17213114754098363,0.1764705882352941,0.10341100979398851,0.6903225806451613,0.30612244897959184
AZE,0.016371681415929203,0.6,0.46354166666666663,0.05806451612903226,0.6634349030470914,0.6739446870451237,0.6785185185185185,0.2950819672131148,0.3025210084033613,0.06747720364741641,0.3741935483870968,0.3731778425655977
BHS,0.009198723737282524,0.523,0.3541666666666666,0.0,0.7936288088642659,0.826783114992722,0.8503703703703703,0.40163934426229514,0.411764705882353,0.051604187774400546,0.24838709677419354,0.7551020408163266
BHR,0.0,0.379,0.5624999999999999,0.0,0.9113573407202216,0.9213973799126638,0.917037037037037,0.7704918032786886,0.7899159663865546,0.0,0.0,0.5626822157434402
BGD,0.042990218910107125,0.7959999999999999,0.2760416666666667,0.0,0.8033240997229917,0.8471615720524017,0.8829629629629628,0.3114754098360656,0.319327731092437,0.18703140830800405,0.4483870967741936,0.8163265306122449
BRB,0.04546795387503352,0.632,0.26041666666666663,0.0,0.7936288088642659,0.8384279475982532,0.8755555555555554,0.3606557377049181,0.3697478991596639,0.22904424181019928,0.7419354838709677,0.8688046647230321
BLR,0.018695961753636456,0.71,0.4010416666666666,0.0,0.6329639889196677,0.6521106259097524,0.6666666666666666,0.2377049180327869,0.24369747899159666,0.06207362377575144,0.5387096774193548,0.3731778425655977
BEL,0.016655321080099844,0.775,0.35937499999999994,0.0967741935483871,0.5706371191135734,0.5909752547307132,0.6103703703703703,0.21311475409836067,0.2184873949579832,0.049577845322526175,0.4,0.2740524781341108
BLZ,0.046909849629469744,0.622,0.2395833333333333,0.0,0.7894736842105263,0.8369723435225618,0.8785185185185185,0.3360655737704918,0.3445378151260504,0.22019587977034785,0.49032258064516127,0.9183673469387756
BEN,0.018988818000960413,0.737,0.3802083333333332,0.0,0.8365650969529085,0.8675400291120815,0.8888888888888888,0.3524590163934426,0.3613445378151261,0.09348193177980413,0.3645161290322581,0.8425655976676385
BTN,0.039633375474083445,0.7020000000000001,0.42187499999999994,0.24193548387096775,0.5844875346260388,0.5982532751091703,0.6074074074074074,0.22950819672131148,0.23529411764705882,0.1270516717325228,0.43548387096774194,0.27696793002915454
BOL,0.012870097235878945,0.569,0.5312499999999999,0.13870967741935483,0.7008310249307479,0.7045123726346434,0.7007407407407407,0.2213114754098361,0.22689075630252103,0.0397838568051334,0.2032258064516129,0.5335276967930028
BIH,0.02938927127717688,0.736,0.3541666666666666,0.016129032258064516,0.6177285318559557,0.6419213973799126,0.6622222222222222,0.2213114754098361,0.22689075630252103,0.09084768659236744,0.567741935483871,0.3673469387755102
BWA,0.002359882005899705,0.35100000000000003,0.7604166666666665,0.0032258064516129032,0.7465373961218836,0.7205240174672489,0.6844444444444444,0.22950819672131148,0.23529411764705882,0.007565011820330969,0.054838709677419356,0.42857142857142866
BRA,0.029848137222768484,0.695,0.4010416666666666,0.0,0.7714681440443213,0.7962154294032023,0.8133333333333334,0.2213114754098361,0.22689075630252103,0.0922661263086795,0.5967741935483871,0.7696793002915452
BRN,0.05553916748607014,0.631,0.30208333333333326,0.0,0.8005540166204985,0.841339155749636,0.8725925925925926,0.2950819672131148,0.3025210084033613,0.2289091523134076,0.635483870967742,0.9154518950437318
BGR,0.008950695322376738,0.617,0.48958333333333326,0.0064516129032258064,0.6648199445983379,0.6724890829694323,0.674074074074074,0.2868852459016394,0.29411764705882354,0.035866261398176294,0.267741935483871,0.3644314868804665
BFA,0.004503441494591936,0.429,0.44270833333333326,0.0,0.8822714681440443,0.908296943231441,0.9199999999999999,0.49180327868852464,0.5042016806722689,0.030935494765282,0.1774193548387097,0.7346938775510204
BDI,0.03603034134007585,0.715,0.46874999999999994,0.0,0.7174515235457063,0.7292576419213974,0.7362962962962962,0.22950819672131148,0.23529411764705882,0.11550151975683891,0.6129032258064516,0.5597667638483965
CPV,0.0017699115044247787,0.434,0.27083333333333326,0.0,0.7382271468144044,0.7802037845705968,0.8148148148148148,0.4098360655737705,0.42016806722689076,0.010131712259371834,0.12580645161290321,0.5918367346938775
KHM,0.017404129793510324,0.6709999999999999,0.3541666666666666,0.0,0.8310249307479224,0.86608442503639,0.8903703703703703,0.3278688524590164,0.33613445378151263,0.07970280310705842,0.4064516129032258,0.9416909620991254
CMR,0.02094395280235988,0.6990000000000001,0.3749999999999999,0.0,0.7880886426592797,0.8180494905385736,0.8385185185185184,0.2950819672131148,0.3025210084033613,0.08632218844984803,0.4225806451612903,0.7346938775510204
CAN,0.013289861822698338,0.642,0.38541666666666663,0.6516129032258065,0.4487534626038781,0.45997088791848617,0.47259259259259256,0.1557377049180328,0.1596638655462185,0.02890915231340763,0.2838709677419355,0.16618075801749274
CAF,0.02171379235916253,0.483,0.4322916666666666,0.0,0.8033240997229917,0.8253275109170306,0.8385185185185184,0.3360655737704918,0.3445378151260504,0.10192502532928065,0.3967741935483871,0.7463556851311953
TCD,0.0007630285152409045,0.27,0.7083333333333333,0.0,0.9182825484764542,0.9068413391557497,0.8829629629629628,0.6147540983606558,0.6302521008403362,0.006551840594393786,0.04838709677419355,0.47230320699708456
CHL,0.019300463548251164,0.45299999999999996,0.3541666666666666,0.4225806451612903,0.5083102493074793,0.5254730713245997,0.5437037037037037,0.11475409836065574,0.11764705882352941,0.030935494765282,0.12903225806451613,0.2011661807580175
CHN,0.011905302170788896,0.653,0.4843749999999999,0.21935483870967742,0.6301939058171745,0.636098981077147,0.6370370370370371,0.319672131147541,0.32773109243697485,0.053157716987504225,0.3741935483870968,0.2682215743440234
COL,0.07038348082595869,0.795,0.3229166666666666,0.0,0.7631578947368421,0.7991266375545852,0.8281481481481481,0.24590163934426232,0.25210084033613445,0.24174265450861193,0.7612903225806452,0.793002915451895
COM,0.009503308618352866,0.48700000000000004,0.25,0.0,0.7714681440443213,0.8180494905385736,0.8562962962962962,0.3032786885245902,0.31092436974789917,0.04025667004390409,0.11290322580645161,0.7813411078717201
COG,0.03013063632532659,0.765,0.3697916666666666,0.0,0.7811634349030471,0.8107714701601164,0.8325925925925926,0.22950819672131148,0.23529411764705882,0.09658899020601149,0.3741935483870968,0.7580174927113703
COD,0.022087020648967545,0.653,0.4791666666666666,0.0,0.7867036011080332,0.8020378457059679,0.8074074074074075,0.26229508196721313,0.26890756302521013,0.08091860857818305,0.34838709677419355,0.6822157434402333
