Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,0.0019450297326403523,0.26899999999999996,0.6927083333333331,0.5548387096774193,0.5595567867036011,0.5342066957787482,0.5037037037037037,0.17213114754098363,0.17077798861480076,0.004525498142519419,0.025806451612903226,0.11370262390670555
ALB,0.09926909210095052,0.693,0.2760416666666667,0.11290322580645161,0.5581717451523545,0.5895196506550218,0.6207407407407407,0.09836065573770492,0.09758742206560043,0.1319824383654171,0.4806451612903226,0.28279883381924203
DZA,0.002190880039331367,0.289,0.6406249999999999,0.02258064516129032,0.7132963988919667,0.7016011644832606,0.6829629629629629,0.26229508196721313,0.2602331255082678,0.007767646065518406,0.06129032258064516,0.25072886297376096
AND,0.027710735675337442,0.616,0.2760416666666667,0.567741935483871,0.4598337950138504,0.48617176128093154,0.514074074074074,0.09016393442622953,0.08945513689346707,0.033772374197906116,0.4129032258064516,0.1720116618075802
AGO,0.03205969113309041,0.74,0.4947916666666666,0.0,0.760387811634349,0.7714701601164483,0.7733333333333333,0.27868852459016397,0.2764976958525346,0.12077001013171226,0.4064516129032258,0.6180758017492711
ATG,0.06633180378018136,0.62,0.2447916666666666,0.0,0.7742382271468143,0.8224163027656477,0.8607407407407407,0.2950819672131148,0.29276226619680135,0.26457277946639646,0.6774193548387096,0.8046647230320699
ARG,0.00391747696565789,0.41200000000000003,0.6614583333333331,0.07741935483870968,0.7091412742382271,0.6943231441048036,0.6725925925925925,0.4426229508196722,0.43914339929520196,0.023438027693346845,0.18064516129032257,0.34985422740524785
ARM,6.096361848574236e-05,0.386,0.4999999999999999,0.6935483870967742,0.48753462603878117,0.4847161572052402,0.48,0.0819672131147541,0.0813228517213337,6.754474839581223e-05,0.0064516129032258064,0.13119533527696794
AUS,0.00563016947191856,0.413,0.5833333333333333,0.0,0.7880886426592797,0.7889374090247453,0.7807407407407406,0.5573770491803279,0.5529953917050692,0.042418101992570074,0.22903225806451613,0.3935860058309038
AUT,0.12009832841691248,0.727,0.1927083333333333,0.5064516129032258,0.44598337950138506,0.4832605531295488,0.522962962962963,0.03278688524590164,0.03252914068853348,0.05322526173590003,0.5,0.20699708454810498
AZE,0.0008910067317146963,0.512,0.41666666666666663,0.267741935483871,0.5470914127423823,0.5589519650655023,0.5688888888888889,0.10655737704918034,0.10571970723773381,0.0012833502195204322,0.035483870967741936,0.23323615160349856
BHS,0.012432883406334732,0.562,0.3697916666666666,0.0,0.7576177285318559,0.7860262008733624,0.8074074074074075,0.27049180327868855,0.2683654106804012,0.045457615670381625,0.267741935483871,0.6326530612244898
BHR,0.0009704412738546746,0.179,0.5572916666666665,0.0,0.7742382271468143,0.777292576419214,0.7718518518518518,0.40163934426229514,0.3984819734345351,0.0052684903748733535,0.14838709677419354,0.41982507288629745
BGD,0.002133726647000983,0.379,0.3749999999999999,0.0,0.7686980609418282,0.7976710334788937,0.8177777777777777,0.22950819672131148,0.22770398481973436,0.006619385342789599,0.01935483870967742,0.6151603498542274
BRB,0.03231071779744346,0.5579999999999999,0.23437499999999997,0.0,0.7770083102493075,0.826783114992722,0.8681481481481481,0.2868852459016394,0.28462998102466797,0.12529550827423167,0.5161290322580645,0.8454810495626823
BLR,0.23928220255653887,0.825,0.1145833333333333,0.37741935483870964,0.4473684210526315,0.4963609898107715,0.5481481481481482,0.01639344262295082,0.01626457034426674,0.0530226274907126,0.6096774193548387,0.23032069970845484
BEL,0.12080957063257951,0.865,0.15104166666666663,0.27741935483870966,0.4750692520775623,0.519650655021834,0.5674074074074074,0.04918032786885246,0.04879371103280022,0.08031070584262073,0.5548387096774193,0.23906705539358605
BLZ,0.06181710914454277,0.639,0.3229166666666666,0.0,0.745152354570637,0.7802037845705968,0.8074074074074075,0.20491803278688525,0.20330712930333425,0.171225937183384,0.6258064516129032,0.7755102040816326
BEN,0.003836247212029642,0.563,0.6041666666666665,0.0,0.8393351800554016,0.8384279475982532,0.8266666666666667,0.3360655737704918,0.3334236920574682,0.017426545086119554,0.09032258064516129,0.6559766763848397
BTN,0.00430132197093849,0.23600000000000002,0.6249999999999999,0.532258064516129,0.5373961218836565,0.519650655021834,0.4992592592592592,0.1475409836065574,0.14638113309840067,0.008578183046268152,0.06451612903225806,0.16618075801749274
BOL,0.010337309221495446,0.62,0.5989583333333333,0.07741935483870968,0.7631578947368421,0.759825327510917,0.7481481481481481,0.3770491803278688,0.37408511791813503,0.05268490374873354,0.25161290322580643,0.5801749271137027
BIH,0.1011386430678466,0.782,0.2760416666666667,0.19677419354838707,0.5277008310249307,0.5574963609898107,0.5881481481481481,0.0819672131147541,0.0813228517213337,0.11205673758865249,0.5483870967741935,0.25072886297376096
BWA,0.006061854139997403,0.528,0.6666666666666665,0.0,0.8282548476454293,0.8195050946142648,0.7985185185185185,0.43442622950819676,0.4310111141230686,0.03559608240459305,0.267741935483871,0.5539358600583091
BRA,0.026313215870737993,0.737,0.42187499999999994,0.0,0.7894736842105263,0.8122270742358078,0.8266666666666667,0.3032786885245902,0.30089455136893467,0.10786896318811212,0.5580645161290323,0.7755102040816326
