Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,0.00392156862745098,0.29,0.6510416666666665,0.16774193548387098,0.6578947368421052,0.6433770014556041,0.6222222222222222,0.27868852459016397,0.28571428571428575,0.015265113137453564,0.16129032258064516,0.16034985422740525
ALB,0.05361790733992713,0.73,0.30208333333333326,0.05161290322580645,0.5955678670360111,0.6244541484716157,0.6533333333333332,0.13934426229508198,0.14285714285714288,0.10435663627152988,0.4645161290322581,0.31195335276967934
DZA,0.0014028187479514912,0.385,0.6093749999999999,0.0,0.8033240997229917,0.8005822416302766,0.788148148148148,0.36885245901639346,0.3781512605042017,0.0072272880783519075,0.07741935483870968,0.3177842565597668
AND,0.012140971898773483,0.599,0.3749999999999999,0.22903225806451613,0.5443213296398891,0.5618631732168851,0.5777777777777777,0.1557377049180328,0.1596638655462185,0.026409996622762583,0.36129032258064514,0.2186588921282799
AGO,0.006755162241887905,0.657,0.6197916666666666,0.0,0.7867036011080332,0.7816593886462883,0.7674074074074073,0.3278688524590164,0.33613445378151263,0.030935494765282,0.16774193548387098,0.5306122448979592
ATG,0.025629416203608424,0.505,0.2552083333333333,0.0,0.7936288088642659,0.8398835516739447,0.8785185185185185,0.3524590163934426,0.3613445378151261,0.12617359000337725,0.5258064516129033,0.8600583090379009
ARG,0.009613048759326736,0.5529999999999999,0.5312499999999999,0.1870967741935484,0.631578947368421,0.6317321688500729,0.6266666666666666,0.27868852459016397,0.28571428571428575,0.03741979061127997,0.23870967741935484,0.32944606413994176
ARM,0.04692232055063913,0.6609999999999999,0.39062499999999994,0.23225806451612904,0.5540166204986149,0.5691411935953421,0.5837037037037037,0.12295081967213116,0.12605042016806722,0.08058088483620399,0.4806451612903226,0.2186588921282799
AUS,0.0009587020648967551,0.293,0.6927083333333331,0.0032258064516129032,0.8060941828254847,0.7933042212518194,0.7674074074074073,0.5901639344262296,0.6050420168067226,0.00790273556231003,0.11935483870967742,0.34693877551020413
AUT,0.07208366854384553,0.6729999999999999,0.2447916666666666,0.25161290322580643,0.5069252077562327,0.5414847161572053,0.5762962962962963,0.09016393442622953,0.09243697478991597,0.09078014184397164,0.5193548387096775,0.24198250728862977
AZE,0.03467715503113733,0.6459999999999999,0.30208333333333326,0.1064516129032258,0.5927977839335179,0.6229985443959243,0.6503703703703704,0.1475409836065574,0.15126050420168066,0.07146234380276933,0.4096774193548387,0.31486880466472306
BHS,0.01925724226609182,0.563,0.35937499999999994,0.0,0.7991689750692521,0.8311499272197962,0.8548148148148148,0.319672131147541,0.32773109243697485,0.08598446470786895,0.43548387096774194,0.772594752186589
BHR,0.0,0.273,0.6302083333333333,0.0,0.8864265927977839,0.8850072780203784,0.8711111111111111,0.5655737704918034,0.5798319327731093,0.0,0.0,0.5160349854227405
BGD,0.01827064896755162,0.507,0.29687499999999994,0.0,0.7797783933518004,0.8209606986899564,0.8533333333333333,0.26229508196721313,0.26890756302521013,0.0669368456602499,0.17419354838709677,0.7696793002915452
BRB,0.01870638175408303,0.429,0.26041666666666663,0.0,0.7922437673130194,0.8384279475982532,0.877037037037037,0.3360655737704918,0.3445378151260504,0.0878081729145559,0.4419354838709677,0.9037900874635569
BLR,0.012743362831858406,0.598,0.31770833333333326,0.4483870967741936,0.49168975069252074,0.5138282387190685,0.5377777777777777,0.0819672131147541,0.08403361344537816,0.014589665653495442,0.22903225806451613,0.20408163265306123
BEL,0.021989809600429067,0.742,0.26562499999999994,0.0935483870967742,0.5470914127423823,0.5793304221251819,0.6118518518518518,0.09016393442622953,0.09243697478991597,0.02769334684228301,0.42903225806451617,0.3032069970845481
BLZ,0.0575568280409509,0.591,0.29687499999999994,0.0,0.7797783933518004,0.8195050946142648,0.8503703703703703,0.27868852459016397,0.28571428571428575,0.22404593042890913,0.7419354838709677,0.8513119533527698
BEN,0.020023241262179317,0.7509999999999999,0.3697916666666666,0.0,0.8074792243767313,0.8384279475982532,0.8607407407407407,0.27049180327868855,0.2773109243697479,0.07565011820330969,0.3290322580645161,0.8600583090379009
BTN,0.009654062751407884,0.41,0.5572916666666665,0.4,0.5706371191135734,0.5633187772925764,0.554074074074074,0.18032786885245905,0.18487394957983194,0.0243161094224924,0.08709677419354839,0.22740524781341112
BOL,0.007066820572014878,0.633,0.5729166666666666,0.08064516129032258,0.7631578947368421,0.7641921397379913,0.7555555555555555,0.3770491803278688,0.3865546218487395,0.03721715636609254,0.25161290322580643,0.5743440233236152
BIH,0.09121851599727708,0.722,0.34374999999999994,0.12258064516129032,0.5650969529085872,0.5880640465793305,0.6088888888888888,0.10655737704918034,0.1092436974789916,0.13576494427558258,0.6322580645161291,0.3032069970845481
