Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,0.022820645606766787,0.4949186991869919,0.5168539325842698,0.7769230769230769,0.4336661911554922,0.43478260869565216,0.4287925696594428,0.13043478260869565,0.1290170132325142,0.05162046075751659,0.23369565217391305,0.09090909090909091
ALB,0.11499870533402383,0.7439024390243902,0.29213483146067415,0.7285714285714285,0.40513552068473613,0.43478260869565216,0.45975232198142424,0.06956521739130435,0.06880907372400756,0.13873486919172198,0.45,0.13636363636363635
DZA,0.002877035502618103,0.32825203252032525,0.6348314606741574,0.1912087912087912,0.6219686162624822,0.616191904047976,0.5990712074303407,0.23478260869565218,0.23223062381852552,0.011714174150722375,0.06956521739130435,0.1696969696969697
AND,0.06399348967966265,0.6351626016260162,0.2977528089887641,0.8318681318681319,0.3865905848787447,0.41379310344827586,0.43808049535603727,0.0608695652173913,0.06020793950850662,0.06755173760249902,0.3358695652173913,0.13333333333333333
AGO,0.044057875492365395,0.7804878048780487,0.47191011235955066,0.0,0.746077032810271,0.7691154422788605,0.780185758513932,0.28695652173913044,0.2838374291115312,0.21925029285435377,0.44456521739130433,0.5878787878787879
ATG,0.05309748834800621,0.5081300813008129,0.15168539325842698,0.0,0.7218259629101285,0.7856071964017991,0.8405572755417958,0.2782608695652174,0.27523629489603024,0.25622803592346743,0.5641304347826087,0.7363636363636363
ARG,0.007499646909279225,0.46341463414634143,0.6348314606741574,0.03626373626373626,0.7375178316690443,0.7376311844077961,0.7260061919504646,0.4782608695652174,0.473062381852552,0.062202264740335814,0.20652173913043478,0.41818181818181815
ARM,0.036250647332988085,0.7439024390243902,0.202247191011236,0.9461538461538461,0.27532097004279604,0.3103448275862069,0.3436532507739939,0.043478260869565216,0.04300567107750473,0.027333073018352205,0.30326086956521736,0.06363636363636364
AUS,0.006673078345786787,0.36178861788617883,0.657303370786517,0.001098901098901099,0.8259629101283881,0.8290854572713643,0.8157894736842106,0.6086956521739131,0.6020793950850661,0.07044123389301055,0.20543478260869563,0.48181818181818176
AUT,0.0957534955981357,0.6920731707317074,0.1910112359550562,0.9098901098901099,0.31526390870185456,0.3538230884557721,0.390092879256966,0.043478260869565216,0.04300567107750473,0.0721983600156189,0.43260869565217386,0.09393939393939395
AZE,0.024900742275159676,0.7560975609756098,0.15168539325842698,0.7252747252747253,0.36233951497860206,0.4077961019490255,0.45046439628482976,0.05217391304347826,0.051606805293005674,0.022530261616556035,0.21847826086956523,0.1393939393939394
BHS,0.011752225990210655,0.5691056910569106,0.41573033707865176,0.0,0.7289586305278175,0.7571214392803598,0.7755417956656347,0.26956521739130435,0.26663516068052934,0.05493947676688793,0.20760869565217394,0.5606060606060606
BHR,0.002404379670045128,0.37296747967479676,0.48876404494382036,0.0,0.6733238231098432,0.689655172413793,0.6965944272445821,0.30434782608695654,0.30103969754253307,0.012690355329949238,0.11195652173913044,0.36363636363636365
BGD,0.0007767995857068877,0.25203252032520324,0.5842696629213484,0.0,0.7118402282453639,0.7181409295352325,0.7120743034055729,0.22608695652173913,0.22362948960302456,0.003045685279187817,0.009782608695652175,0.4696969696969697
BRB,0.04196197381075683,0.5020325203252033,0.25842696629213485,0.0,0.7432239657631955,0.7946026986506747,0.8374613003095976,0.30434782608695654,0.30103969754253307,0.22147598594299103,0.5771739130434783,0.7424242424242424
BLR,0.21258415328845162,0.8404471544715447,0.20786516853932585,0.9626373626373625,0.27532097004279604,0.3103448275862069,0.3421052631578948,0.008695652173913044,0.008601134215500945,0.03205778992581023,0.4945652173913043,0.09393939393939395
BEL,0.14487312273433453,0.806910569105691,0.18539325842696633,0.7065934065934065,0.40085592011412274,0.44377811094452774,0.4845201238390094,0.017391304347826087,0.01720226843100189,0.043693869582194456,0.45108695652173914,0.19090909090909092
BLZ,0.022891612482498037,0.5457317073170732,0.32584269662921356,0.0,0.7289586305278175,0.7706146926536732,0.801857585139319,0.23478260869565218,0.23223062381852552,0.09320577899258102,0.3630434782608695,0.7242424242424242
BEN,0.0026368911106648776,0.5853658536585366,0.8707865168539328,0.0,0.8601997146932954,0.8350824587706147,0.7941176470588237,0.42608695652173917,0.4214555765595463,0.019484576337368217,0.06195652173913044,0.39999999999999997
BTN,0.0008631106507854308,0.29369918699186986,0.7471910112359552,0.8010989010989011,0.45506419400855924,0.42578710644677664,0.3885448916408669,0.13043478260869565,0.1290170132325142,0.001952362358453729,0.017391304347826087,0.11515151515151514
BOL,0.03206572704242305,0.7652439024390243,0.4269662921348315,0.03956043956043956,0.7446504992867333,0.7721139430284857,0.7894736842105264,0.32173913043478264,0.31824196597353493,0.17891448652869973,0.4434782608695652,0.6848484848484848
BIH,0.09704816157431384,0.7784552845528455,0.2471910112359551,0.8494505494505494,0.35948644793152645,0.391304347826087,0.42105263157894746,0.043478260869565216,0.04300567107750473,0.07317454119484576,0.3880434782608696,0.12424242424242427
BWA,0.01901720467230566,0.5711382113821138,0.5898876404494383,0.0,0.7974322396576321,0.8065967016491753,0.8034055727554181,0.391304347826087,0.3870510396975425,0.1290511518937915,0.3826086956521739,0.6454545454545455
BRA,0.04838912166721593,0.8150406504065041,0.3932584269662922,0.0,0.7831669044222541,0.8170914542728636,0.8405572755417958,0.28695652173913044,0.2838374291115312,0.24080437329168294,0.7304347826086957,0.8151515151515151
BRN,0.08655273606076298,0.7012195121951219,0.2696629213483147,0.0,0.7660485021398004,0.8170914542728636,0.8575851393188856,0.2608695652173913,0.2580340264650284,0.3915657946114799,0.7043478260869565,0.8575757575757575
BGR,0.05872604867944071,0.8201219512195121,0.24157303370786526,0.8714285714285714,0.348074179743224,0.3823088455772114,0.411764705882353,0.043478260869565216,0.04300567107750473,0.04427957828973057,0.2608695652173913,0.12121212121212122
BFA,0.00014168042758175937,0.2276422764227642,0.9887640449438203,0.0,0.8601997146932954,0.8185907046476761,0.7600619195046441,0.4608695652173913,0.4558601134215501,0.001132370167903163,0.013043478260869565,0.2181818181818182
BDI,0.031018039012601417,0.8404471544715447,0.48876404494382036,0.0,0.6804564907275322,0.697151424287856,0.7043343653250774,0.20869565217391303,0.2064272211720227,0.11226083561108942,0.5836956521739131,0.5363636363636364
CPV,0.004660797514241327,0.3871951219512195,0.2977528089887641,0.0,0.710413694721826,0.7541229385307345,0.7894736842105264,0.3391304347826087,0.33544423440453686,0.027411167512690356,0.05434782608695652,0.5363636363636364
KHM,0.008264867664142653,0.44410569105691056,0.45505617977528096,0.0,0.7803138373751785,0.8065967016491753,0.8219814241486069,0.32173913043478264,0.31824196597353493,0.04611479890667708,0.16521739130434782,0.6909090909090909
CMR,0.005819523562920767,0.5558943089430894,0.6853932584269664,0.0,0.7974322396576321,0.7931034482758621,0.7770897832817338,0.34782608695652173,0.3440453686200378,0.03510347520499805,0.11630434782608695,0.48181818181818176
CAN,0.2560849300880373,0.5640243902439024,0.4101123595505619,0.9846153846153846,0.07845934379457918,0.0764617691154423,0.0727554179566564,0.008695652173913044,0.008601134215500945,0.03861772745021476,0.29456521739130437,0.02727272727272727
CAF,0.002159881774892322,0.31707317073170727,0.8370786516853934,0.0,0.8216833095577747,0.7991004497751124,0.7600619195046441,0.3565217391304348,0.3526465028355388,0.013354158531823507,0.08369565217391305,0.43636363636363634
TCD,9.110612424957321e-05,0.1371951219512195,0.8707865168539328,0.020879120879120878,0.7817403708987162,0.7526236881559221,0.7089783281733747,0.46956521739130436,0.46446124763705104,0.000741897696212417,0.002173913043478261,0.20606060606060606
CHL,0.00547166725721606,0.5091463414634146,0.4269662921348315,0.15604395604395604,0.5848787446504994,0.6056971514242879,0.6176470588235295,0.33043478260869563,0.32684310018903595,0.03135493947676689,0.11630434782608695,0.2606060606060606
CHN,0.01134127395132056,0.45223577235772355,0.556179775280899,0.7923076923076923,0.3466476462196862,0.3388305847076462,0.32352941176470595,0.08695652173913043,0.08601134215500945,0.017102694260054663,0.14891304347826087,0.08181818181818182
COL,0.036281110061839345,0.625,0.4494382022471911,0.004395604395604396,0.7646219686162625,0.7916041979010494,0.8065015479876162,0.2956521739130435,0.2924385633270321,0.1860210855134713,0.4434782608695652,0.7333333333333333
COM,0.05088718689525471,0.6808943089430894,0.24157303370786526,0.0,0.7760342368045651,0.830584707646177,0.8761609907120744,0.33043478260869563,0.32684310018903595,0.29160484185864893,0.5456521739130435,0.8757575757575757
COG,0.038286397971392355,0.7611788617886179,0.404494382022472,0.0,0.768901569186876,0.8020989505247376,0.823529411764706,0.25217391304347825,0.2494328922495274,0.1674345958609918,0.3619565217391304,0.7303030303030302
COD,0.03237528051096151,0.7560975609756098,0.4606741573033709,0.0,0.7589158345221114,0.7841079460269864,0.7972136222910218,0.2608695652173913,0.2580340264650284,0.14646622413119875,0.3695652173913043,0.6878787878787879
CRI,0.025436779416173786,0.4969512195121952,0.47191011235955066,0.0,0.7703281027104137,0.7946026986506747,0.8065015479876162,0.33043478260869563,0.32684310018903595,0.14576337368215542,0.33804347826086956,0.7363636363636363
CIV,0.006179405713325962,0.584349593495935,0.6685393258426967,0.0,0.8316690442225394,0.8335832083958021,0.8204334365325078,0.32173913043478264,0.31824196597353493,0.034478719250292854,0.10978260869565216,0.5909090909090909
HRV,0.12345934748834803,0.7357723577235773,0.25842696629213485,0.789010989010989,0.3837375178316691,0.41679160419790107,0.4458204334365326,0.043478260869565216,0.04300567107750473,0.0930886372510738,0.42391304347826086,0.1393939393939394
CUB,0.012752459865354738,0.4827235772357723,0.43258426966292146,0.0,0.746077032810271,0.7736131934032984,0.7910216718266255,0.2782608695652174,0.27523629489603024,0.061538461538461535,0.23043478260869565,0.6393939393939393
