Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,0.00044388547754679284,0.2245934959349593,0.8426966292134834,0.42417582417582417,0.6276747503566334,0.5952023988005997,0.5495356037151703,0.30434782608695654,0.30103969754253307,0.0023428348301444747,0.03369565217391304,0.1090909090909091
ALB,0.056001496058461366,0.5447154471544715,0.43820224719101136,0.11868131868131869,0.5991440798858774,0.6191904047976011,0.630030959752322,0.1565217391304348,0.15482041587901701,0.15201093322920733,0.3826086956521739,0.33939393939393936
DZA,0.001559764247490814,0.34756097560975613,0.6348314606741574,0.01098901098901099,0.7532097004279601,0.7541229385307345,0.7430340557275542,0.3652173913043478,0.3612476370510397,0.009878953533775868,0.05434782608695652,0.2848484848484848
AND,0.03915983793828252,0.5762195121951219,0.404494382022472,0.3593406593406594,0.5235378031383738,0.5442278860569716,0.5572755417956656,0.14782608695652175,0.14621928166351605,0.10039047247169075,0.3826086956521739,0.23636363636363636
AGO,0.019758594590288017,0.6615853658536586,0.6123595505617979,0.0,0.7660485021398004,0.7706146926536732,0.7631578947368423,0.3391304347826087,0.33544423440453686,0.11620460757516596,0.22282608695652173,0.48484848484848486
ATG,0.08815956038897521,0.5711382113821138,0.2303370786516854,0.0,0.7560627674750358,0.8110944527736131,0.8560371517027865,0.3130434782608696,0.30964083175803403,0.47860210855134716,0.7086956521739131,0.7999999999999999
ARG,0.003224895249752836,0.47052845528455284,0.6348314606741574,0.13186813186813187,0.6733238231098432,0.6716641679160419,0.6578947368421053,0.3826086956521739,0.37844990548204155,0.02139789144865287,0.12282608695652175,0.3151515151515151
ARM,0.014745564065523726,0.49390243902439024,0.48876404494382036,0.39230769230769236,0.5406562054208275,0.5502248875562219,0.5526315789473685,0.16521739130434782,0.16342155009451798,0.042249121436938694,0.225,0.18484848484848487
AUS,0.005937908697522142,0.37500000000000006,0.6460674157303372,0.00989010989010989,0.7503566333808845,0.7496251874062968,0.736842105263158,0.5130434782608696,0.5074669187145557,0.05283092541975791,0.1989130434782609,0.3545454545454545
AUT,0.08024575114166,0.6189024390243902,0.23595505617977527,0.34175824175824177,0.4850213980028531,0.5247376311844077,0.561919504643963,0.09565217391304348,0.09461247637051039,0.13311206559937525,0.46413043478260874,0.23939393939393938
AZE,0.01345157949249094,0.5264227642276423,0.3876404494382023,0.17472527472527474,0.5848787446504994,0.6101949025487257,0.628482972136223,0.17391304347826086,0.1720226843100189,0.04057008980866849,0.18043478260869567,0.29999999999999993
BHS,0.029784933134310177,0.6463414634146342,0.36516853932584276,0.0,0.7703281027104137,0.8080959520239881,0.8359133126934986,0.2956521739130435,0.2924385633270321,0.1527137836782507,0.3945652173913043,0.7272727272727273
BHR,0.0,0.25203252032520324,0.6460674157303372,0.0,0.8330955777460771,0.8365817091454272,0.8266253869969041,0.5304347826086956,0.5246691871455577,0.0,0.0,0.4787878787878788
BGD,0.070929838032822,0.5477642276422765,0.24157303370786526,0.0,0.7631954350927247,0.8170914542728636,0.8622291021671827,0.25217391304347825,0.2494328922495274,0.31019133151112843,0.2782608695652174,0.8212121212121212
BRB,0.04754301168076414,0.5548780487804877,0.25842696629213485,0.0,0.7574893009985736,0.8095952023988006,0.8529411764705883,0.3130434782608696,0.30964083175803403,0.258102303787583,0.5347826086956522,0.7848484848484848
BLR,0.047850854479544284,0.7428861788617886,0.2808988764044944,0.3714285714285714,0.4907275320970044,0.5262368815592204,0.5557275541795667,0.08695652173913043,0.08601134215500945,0.07215931276844983,0.5391304347826087,0.23636363636363636
BEL,0.04907961018784427,0.7184959349593496,0.2808988764044944,0.12857142857142856,0.543509272467903,0.5817091454272862,0.6145510835913314,0.09565217391304348,0.09461247637051039,0.08141351034752049,0.55,0.3212121212121212
