Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,0.0008662838517074358,0.23577235772357721,0.6966292134831462,0.02197802197802198,0.7845934379457918,0.7796101949025487,0.7600619195046441,0.591304347826087,0.591304347826087,0.008980866848887154,0.10108695652173914,0.2606060606060606
ALB,0.010905891790534828,0.4054878048780488,0.5393258426966293,0.001098901098901099,0.7047075606276749,0.7166416791604198,0.7167182662538701,0.3739130434782609,0.3739130434782609,0.07149550956657555,0.2717391304347826,0.406060606060606
DZA,0.0003805192173462725,0.38211382113821135,0.6797752808988765,0.0,0.891583452211127,0.8950524737631185,0.8823529411764707,0.6086956521739131,0.6086956521739131,0.0040609137055837565,0.04565217391304348,0.3545454545454545
AND,0.0218483483314445,0.4878048780487805,0.47191011235955066,0.030769230769230767,0.6305278174037091,0.6476761619190405,0.6563467492260063,0.3130434782608696,0.31304347826086953,0.11991409605622805,0.41739130434782606,0.3484848484848485
AGO,0.0004482077319703691,0.4928861788617886,0.7471910112359552,0.015384615384615384,0.7289586305278175,0.7136431784107946,0.6857585139318887,0.2782608695652174,0.2782608695652174,0.0021866458414681765,0.006521739130434782,0.36666666666666664
ATG,0.03755536506363968,0.5792682926829268,0.2696629213483147,0.0,0.7817403708987162,0.8335832083958021,0.8746130030959753,0.42608695652173917,0.42608695652173917,0.28055447090980085,0.5380434782608695,0.8090909090909091
ARG,0.00907199409371604,0.46138211382113825,0.5674157303370787,0.4021978021978022,0.559201141226819,0.5607196401799102,0.5510835913312694,0.16521739130434782,0.16521739130434784,0.02627879734478719,0.14347826086956522,0.2212121212121212
ARM,0.004851189569561642,0.3536585365853659,0.6348314606741574,0.007692307692307692,0.710413694721826,0.7106446776611695,0.6965944272445821,0.4434782608695652,0.4434782608695652,0.037719640765326044,0.22282608695652173,0.27575757575757576
AUS,0.004517002597519563,0.29878048780487804,0.6348314606741574,0.08571428571428572,0.6647646219686163,0.6611694152923538,0.6470588235294119,0.28695652173913044,0.28695652173913044,0.022725497852401407,0.14130434782608695,0.2909090909090909
AUT,0.0406039616778871,0.6473577235772358,0.353932584269663,0.03956043956043956,0.6062767475035664,0.6371814092953523,0.6609907120743035,0.2434782608695652,0.24347826086956523,0.17333073018352205,0.566304347826087,0.3787878787878788
AZE,0.004491928039087656,0.3963414634146341,0.5898876404494383,0.013186813186813187,0.7603423680456491,0.7691154422788605,0.7631578947368423,0.45217391304347826,0.45217391304347826,0.03561108941819602,0.1826086956521739,0.42121212121212115
BHS,0.03576441582419563,0.48983739837398377,0.45505617977528096,0.0,0.8174037089871613,0.8470764617691154,0.8622291021671827,0.43478260869565216,0.43478260869565216,0.2726278797344787,0.46304347826086956,0.8242424242424242
BHR,0.0,0.3323170731707317,0.6797752808988765,0.0,0.9600570613409417,0.9655172413793104,0.9551083591331271,0.8869565217391304,0.8869565217391304,0.0,0.0,0.5575757575757575
BGD,0.143302545825365,0.83130081300813,0.17415730337078655,0.0,0.7788873038516406,0.8425787106446777,0.8978328173374613,0.26956521739130435,0.26956521739130435,0.6772745021475985,0.5891304347826087,0.9393939393939394
BRB,0.04465995447593125,0.592479674796748,0.27528089887640456,0.0,0.7803138373751785,0.830584707646177,0.8715170278637773,0.3739130434782609,0.3739130434782609,0.2927762592737212,0.6467391304347826,0.8363636363636363
BLR,0.016527189309966214,0.5508130081300813,0.4438202247191012,0.0,0.6576319543509274,0.6806596701649176,0.693498452012384,0.2956521739130435,0.2956521739130435,0.08566966028894964,0.43260869565217386,0.4121212121212121
BEL,0.022922624006484586,0.6686991869918698,0.4101123595505619,0.001098901098901099,0.6590584878744652,0.6851574212893553,0.7027863777089784,0.2782608695652174,0.2782608695652174,0.11183131589222958,0.5434782608695652,0.44545454545454544
BLZ,0.057029098086896476,0.6209349593495935,0.303370786516854,0.0,0.7860199714693296,0.8335832083958021,0.8699690402476782,0.3391304347826087,0.3391304347826087,0.33908629441624366,0.717391304347826,0.9151515151515152
BEN,0.04436286399900657,0.8038617886178863,0.32584269662921356,0.0,0.7817403708987162,0.8260869565217391,0.8591331269349846,0.28695652173913044,0.28695652173913044,0.22319406481843032,0.47934782608695653,0.8090909090909091
BTN,0.10496768964042062,0.8160569105691056,0.3595505617977529,0.12967032967032968,0.6034236804564908,0.6326836581709145,0.6547987616099072,0.21739130434782608,0.21739130434782608,0.4000780944943381,0.5989130434782609,0.37575757575757573
BOL,0.00408367044684114,0.44918699186991873,0.6797752808988765,0.15494505494505495,0.726105563480742,0.7211394302848576,0.7012383900928794,0.3130434782608696,0.31304347826086953,0.02241311987504881,0.08369565217391305,0.4696969696969697
BIH,0.025175776388822117,0.5081300813008129,0.48876404494382036,0.002197802197802198,0.6776034236804566,0.6941529235382308,0.7012383900928794,0.32173913043478264,0.3217391304347826,0.14201483795392425,0.43913043478260866,0.42424242424242425
