Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,0.01030237486771891,0.4827235772357723,0.6123595505617979,0.26483516483516484,0.6291012838801713,0.6266866566716641,0.6145510835913314,0.34782608695652173,0.34782608695652173,0.06282702069504101,0.24456521739130435,0.1878787878787879
ALB,0.01851120012236243,0.5873983739837398,0.4101123595505619,0.15494505494505495,0.5877318116975749,0.6101949025487257,0.6253869969040249,0.25217391304347825,0.25217391304347825,0.08184303006638032,0.3967391304347826,0.26969696969696966
DZA,0.001249140345741981,0.3719512195121951,0.7471910112359552,0.007692307692307692,0.7917261055634808,0.7796101949025487,0.7538699690402478,0.4956521739130435,0.49565217391304345,0.010855134713002734,0.06630434782608695,0.25151515151515147
AND,0.040071905560684185,0.7093495934959348,0.3707865168539326,0.47802197802197804,0.49215406562054215,0.5157421289355322,0.5325077399380806,0.20869565217391303,0.20869565217391306,0.14662241311987506,0.6771739130434782,0.16363636363636364
AGO,0.023127518969671045,0.6453252032520325,0.5730337078651687,0.0,0.7532097004279601,0.7631184407796102,0.7600619195046441,0.2608695652173913,0.2608695652173913,0.10577899258102302,0.23152173913043478,0.5969696969696969
ATG,0.026076085549276113,0.5457317073170732,0.2640449438202247,0.0,0.7703281027104137,0.8215892053973013,0.8622291021671827,0.41739130434782606,0.4173913043478261,0.19082389691526747,0.4076086956521739,0.7545454545454545
ARG,0.012205380996710343,0.3628048780487805,0.5842696629213484,0.13956043956043956,0.6490727532097005,0.6521739130434783,0.6439628482972137,0.25217391304347825,0.25217391304347825,0.05396329558766107,0.17500000000000002,0.36060606060606054
ARM,0.0200341741782311,0.5467479674796748,0.4606741573033709,0.3945054945054945,0.536376604850214,0.5487256371814093,0.5557275541795667,0.23478260869565218,0.23478260869565218,0.08246778602108551,0.32717391304347826,0.1696969696969697
AUS,0.007778213684007523,0.4085365853658537,0.5842696629213484,0.006593406593406593,0.761768901569187,0.7706146926536732,0.7662538699690403,0.39999999999999997,0.39999999999999997,0.054549004295197184,0.1923913043478261,0.42727272727272725
AUT,0.03941532054981531,0.7235772357723577,0.3202247191011237,0.4186813186813187,0.49215406562054215,0.5217391304347827,0.5464396284829722,0.16521739130434782,0.16521739130434784,0.11417415072237407,0.5423913043478261,0.21212121212121213
AZE,0.011132626333130693,0.584349593495935,0.4775280898876405,0.1912087912087912,0.6005706134094152,0.6146926536731634,0.6207430340557276,0.2608695652173913,0.2608695652173913,0.050917610308473256,0.19130434782608696,0.26969696969696966
BHS,0.0185220390016846,0.5365853658536586,0.43820224719101136,0.0,0.7631954350927247,0.790104947526237,0.8065015479876162,0.3826086956521739,0.3826086956521739,0.1242483404919953,0.2684782608695652,0.6515151515151515
BHR,0.0004731081615242785,0.4054878048780488,0.5337078651685394,0.0,0.8273894436519259,0.8455772113943029,0.8513931888544892,0.6260869565217392,0.6260869565217391,0.00519328387348692,0.07934782608695652,0.5090909090909091
BGD,0.027624231643888057,0.5365853658536586,0.41573033707865176,0.0,0.7931526390870186,0.8260869565217391,0.8467492260061921,0.3652173913043478,0.3652173913043478,0.17688402967590786,0.21847826086956523,0.6939393939393939
BRB,0.03141722768858968,0.6097560975609756,0.2865168539325843,0.0,0.7774607703281028,0.8275862068965517,0.8653250773993809,0.391304347826087,0.391304347826087,0.21554080437329168,0.3989130434782609,0.793939393939394
BLR,0.018819156944842826,0.5985772357723578,0.3932584269662922,0.42747252747252745,0.507845934379458,0.5292353823088456,0.543343653250774,0.19999999999999998,0.19999999999999998,0.06598984771573604,0.39999999999999997,0.2212121212121212
BEL,0.02471545493436607,0.7449186991869918,0.3426966292134832,0.3384615384615385,0.5135520684736091,0.5412293853073463,0.5634674922600621,0.17391304347826086,0.17391304347826086,0.07536118703631393,0.4891304347826087,0.22424242424242424
BLZ,0.021050518241655974,0.5884146341463415,0.3876404494382023,0.0,0.790299572039943,0.8260869565217391,0.8513931888544892,0.3652173913043478,0.3652173913043478,0.13479109722764546,0.2728260869565218,0.8363636363636363
BEN,0.01507898869700313,0.6859756097560975,0.5168539325842698,0.0,0.8630527817403709,0.8860569715142429,0.8962848297213624,0.41739130434782606,0.4173913043478261,0.11034752049980477,0.24456521739130435,0.793939393939394
BTN,0.03516414946908271,0.5802845528455285,0.5224719101123597,0.41538461538461535,0.543509272467903,0.5487256371814093,0.5464396284829722,0.23478260869565218,0.23478260869565218,0.14474814525575946,0.26956521739130435,0.21212121212121213
BOL,0.021793373357104698,0.5934959349593496,0.5505617977528091,0.10219780219780221,0.733238231098431,0.7451274362818591,0.7445820433436533,0.28695652173913044,0.28695652173913044,0.10964467005076142,0.29239130434782606,0.603030303030303
BIH,0.04293189775516178,0.6646341463414634,0.404494382022472,0.24065934065934064,0.5606276747503567,0.583208395802099,0.5975232198142416,0.20869565217391303,0.20869565217391306,0.15708707536118705,0.5293478260869565,0.2636363636363636
BWA,0.004790926345095037,0.35975609756097565,0.7752808988764046,0.002197802197802198,0.7760342368045651,0.7586206896551724,0.7275541795665635,0.2956521739130435,0.2956521739130435,0.024834049199531433,0.09565217391304348,0.5454545454545454
BRA,0.04612786175529531,0.7428861788617886,0.3932584269662922,0.0,0.7803138373751785,0.8140929535232383,0.8374613003095976,0.25217391304347825,0.25217391304347825,0.2039437719640765,0.6195652173913043,0.8272727272727273
BRN,0.05845197977569131,0.6432926829268292,0.3202247191011237,0.0,0.8017118402282455,0.8470764617691154,0.8823529411764707,0.3130434782608696,0.31304347826086953,0.3208121827411168,0.5728260869565218,0.9212121212121211
BGR,0.010915955797347313,0.6341463414634146,0.4662921348314608,0.1934065934065934,0.594864479315264,0.6101949025487257,0.6176470588235295,0.25217391304347825,0.25217391304347825,0.048262397500976176,0.2728260869565218,0.2818181818181818
BFA,0.004424244063965578,0.36483739837398377,0.6011235955056181,0.0,0.9029957203994295,0.9160419790104948,0.9148606811145512,0.5391304347826087,0.5391304347826087,0.04181960171807887,0.14456521739130435,0.6303030303030304
BDI,0.04068347105577196,0.8028455284552845,0.4662921348314608,0.0,0.703281027104137,0.7256371814092955,0.7352941176470589,0.22608695652173913,0.22608695652173913,0.161265130808278,0.6076086956521739,0.5818181818181818
CPV,0.0018799112872357195,0.366869918699187,0.303370786516854,0.0,0.7289586305278175,0.7736131934032984,0.8080495356037153,0.43478260869565216,0.43478260869565216,0.014330339711050372,0.10217391304347827,0.5575757575757575
KHM,0.010332061353862403,0.5548780487804877,0.42134831460674166,0.0,0.8330955777460771,0.8665667166416791,0.888544891640867,0.3826086956521739,0.3826086956521739,0.06930886372510738,0.2217391304347826,0.8909090909090909
CMR,0.02774405860896585,0.6524390243902439,0.4662921348314608,0.0,0.8031383737517833,0.8290854572713643,0.8421052631578949,0.34782608695652173,0.34782608695652173,0.16919172198360016,0.3532608695652174,0.6818181818181818
CAN,0.023027399839932204,0.589430894308943,0.43820224719101136,0.8659340659340659,0.31526390870185456,0.32083958020989506,0.3219814241486069,0.09565217391304348,0.09565217391304348,0.03861772745021476,0.2532608695652174,0.10303030303030304
CAF,0.01920294654980026,0.4451219512195122,0.5505617977528091,0.0,0.8216833095577747,0.83808095952024,0.8405572755417958,0.3739130434782609,0.3739130434782609,0.12588832487309642,0.29347826086956524,0.6727272727272727
TCD,0.0008701018984630258,0.2388211382113821,0.8314606741573034,0.0,0.9029957203994295,0.8860569715142429,0.8513931888544892,0.6347826086956522,0.6347826086956522,0.009683717297930496,0.041304347826086954,0.36363636363636365
CHL,0.019966123314853958,0.42378048780487804,0.404494382022472,0.27582417582417584,0.5463623395149786,0.568215892053973,0.5820433436532508,0.19999999999999998,0.19999999999999998,0.07001171417415072,0.1358695652173913,0.23030303030303031
CHN,0.012469779400175627,0.5884146341463415,0.5617977528089888,0.4197802197802198,0.559201141226819,0.5607196401799102,0.5526315789473685,0.2782608695652174,0.2782608695652174,0.0608356110894182,0.28152173913043477,0.19696969696969696
COL,0.05392099089793529,0.7886178861788619,0.3595505617977529,0.0,0.7731811697574894,0.8125937031484258,0.8405572755417958,0.2782608695652174,0.2782608695652174,0.26306130417805546,0.5489130434782609,0.803030303030303
COM,0.024699037068726126,0.5040650406504065,0.32584269662921356,0.0,0.7874465049928674,0.8320839580209894,0.8653250773993809,0.3391304347826087,0.3391304347826087,0.1468566966028895,0.28478260869565214,0.8606060606060606
COG,0.04296612051302158,0.7672764227642276,0.41573033707865176,0.0,0.7831669044222541,0.815592203898051,0.8359133126934986,0.25217391304347825,0.25217391304347825,0.18996485747754782,0.43369565217391304,0.7848484848484848
COD,0.03548483334217024,0.7215447154471545,0.47191011235955066,0.0,0.7760342368045651,0.8005997001499251,0.8126934984520124,0.26956521739130435,0.26956521739130435,0.1677079265911753,0.41086956521739126,0.7181818181818181
CRI,0.02620153904236084,0.5477642276422765,0.4831460674157304,0.0,0.7988587731811698,0.8215892053973013,0.8343653250773996,0.3739130434782609,0.3739130434782609,0.17176884029675907,0.3119565217391304,0.8090909090909091
CIV,0.01835517378545321,0.6402439024390244,0.4494382022471911,0.0,0.8273894436519259,0.8575712143928036,0.8761609907120744,0.3391304347826087,0.3391304347826087,0.10913705583756345,0.29782608695652174,0.8606060606060606
HRV,0.04197145261522527,0.6697154471544715,0.38202247191011246,0.1945054945054945,0.5691868758915836,0.5937031484257871,0.6130030959752323,0.20869565217391303,0.20869565217391306,0.15357282311597034,0.508695652173913,0.2848484848484848
CUB,0.01807125925313089,0.5223577235772358,0.39887640449438205,0.0,0.768901569186876,0.8035982008995503,0.825077399380805,0.3739130434782609,0.3739130434782609,0.11846934791097227,0.2673913043478261,0.7242424242424242
CYP,0.006146848895593632,0.44207317073170727,0.47191011235955066,0.005494505494505495,0.6904422253922968,0.7106446776611695,0.7213622291021673,0.3652173913043478,0.3652173913043478,0.03935962514642718,0.21304347826086958,0.396969696969697
CZE,0.025009991443946594,0.7835365853658537,0.3707865168539326,0.389010989010989,0.5064194008559202,0.5307346326836582,0.5495356037151703,0.17391304347826086,0.17391304347826086,0.07625927372120266,0.4739130434782609,0.22424242424242424
DNK,0.014490926672726218,0.6158536585365854,0.29213483146067415,0.4252747252747253,0.4835948644793154,0.5172413793103448,0.5448916408668731,0.16521739130434782,0.16521739130434784,0.041975790706755174,0.3619565217391304,0.21515151515151518
DJI,0.006815362122939269,0.29674796747967475,0.47191011235955066,0.0,0.8445078459343796,0.8725637181409296,0.8869969040247679,0.5130434782608696,0.5130434782608695,0.06130417805544709,0.1108695652173913,0.8121212121212121
DMA,0.06545967209300582,0.5660569105691057,0.252808988764045,0.0,0.7161198288159772,0.7661169415292354,0.8080495356037153,0.3130434782608696,0.31304347826086953,0.3592737212026552,0.4826086956521739,0.6818181818181818
DOM,0.015458593204692322,0.5579268292682927,0.38202247191011246,0.0,0.7646219686162625,0.8005997001499251,0.825077399380805,0.3652173913043478,0.3652173913043478,0.09898477157360407,0.2717391304347826,0.709090909090909
ECU,0.07201892718130336,0.8272357723577236,0.4775280898876405,0.02527472527472527,0.738944365192582,0.7601199400299851,0.7693498452012385,0.26956521739130435,0.26956521739130435,0.34037485357282316,0.7152173913043478,0.6545454545454544
EGY,0.00010865641987160459,0.266260162601626,0.7303370786516855,0.0,0.7945791726105564,0.7856071964017991,0.7616099071207432,0.5739130434782609,0.5739130434782609,0.0010933229207340882,0.0076086956521739125,0.3242424242424242
SLV,0.019716307778319196,0.4298780487804878,0.6179775280898877,0.0,0.8145506419400856,0.8200899550224887,0.8142414860681115,0.4608695652173913,0.4608695652173913,0.15931276844982428,0.391304347826087,0.6787878787878787
GNQ,0.056969337055967094,0.782520325203252,0.3426966292134832,0.0,0.7731811697574894,0.8140929535232383,0.845201238390093,0.2608695652173913,0.2608695652173913,0.2605622803592347,0.5478260869565217,0.8333333333333334
ERI,0.0010505207858288552,0.22256097560975607,0.6685393258426967,0.0,0.8459343794579174,0.8470764617691154,0.8343653250773996,0.5130434782608696,0.5130434782608695,0.009449433814916048,0.06521739130434782,0.609090909090909
EST,0.014157672803508483,0.5376016260162602,0.39887640449438205,0.5538461538461539,0.4650499286733239,0.4842578710644678,0.49535603715170284,0.1565217391304348,0.15652173913043477,0.03885201093322921,0.3456521739130435,0.1878787878787879
ETH,0.018229625401147784,0.34959349593495936,0.6685393258426967,0.001098901098901099,0.8017118402282455,0.8005997001499251,0.7863777089783283,0.4434782608695652,0.4434782608695652,0.14174150722374074,0.2684782608695652,0.5272727272727272
FJI,0.06903638356395214,0.7469512195121951,0.21348314606741578,0.0,0.7532097004279601,0.8095952023988006,0.8591331269349846,0.26956521739130435,0.26956521739130435,0.3262787973447872,0.5793478260869565,0.7818181818181819
FIN,0.010756985567288858,0.5599593495934959,0.4943820224719102,0.6703296703296703,0.4336661911554922,0.43778110944527737,0.4349845201238391,0.1391304347826087,0.1391304347826087,0.026239750097618118,0.3456521739130435,0.14545454545454545
FRA,0.03180326167720185,0.7347560975609755,0.31460674157303375,0.2175824175824176,0.5320970042796006,0.5637181409295352,0.5897832817337462,0.19999999999999998,0.19999999999999998,0.111518937914877,0.5782608695652174,0.23636363636363636
GAB,0.06299571530190944,0.8658536585365854,0.36516853932584276,0.0,0.7874465049928674,0.8260869565217391,0.8544891640866874,0.23478260869565218,0.23478260869565218,0.2593127684498243,0.4923913043478261,0.8272727272727273
