Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,-0.10210539715220937,-0.04520568553486737,0.5006681371304061,1.5904526402157393,-1.2156629707082447,-1.341927345832675,-1.4457062462433543,-0.5253416003032432,-0.49725134967394674,-0.04146556006823724,0.20238441387973286,-1.453460659883588
ALB,-0.15955059178434877,0.6000893835347393,-0.3059481889826821,1.282545143446188,-1.2738651767861282,-1.2813215357430792,-1.250626999288146,-1.0544296268646838,-1.0336672237993427,-0.4312091907049132,-0.019010322071604132,-1.1783229679970753
DZA,-0.6260549688901171,-1.0496214886953854,1.2750198101989705,-0.3724576516901492,-0.003117010752341152,-0.20051792247861736,-0.40870603874461625,0.47404689431281133,0.5159786347851345,-0.8094897733816869,-1.1702629490185565,-1.2500980180544263
AND,0.2258674627521505,0.29147000267536216,-0.4995361072498237,2.3858803402037463,-1.65217951629237,-1.6449563962806548,-1.5997161780500975,-1.0544296268646838,-1.0336672237993427,-0.040510306071578774,0.6894528329726743,-1.4056106265120205
AGO,0.08395069254873527,1.138770484671107,0.2748155658187411,-0.5007524420107955,0.4042984317928424,0.37523727337254487,0.3305416339277512,-0.23140380776910957,-0.19924253071539336,0.49634244005050904,0.2614230101334228,0.4844656916648943
ATG,-0.5632321401148116,-0.3426025434539033,-0.8867119437841059,-0.5007524420107955,0.26849328427778135,0.4156411467656087,0.5564228672443079,0.47404689431281133,0.5159786347851345,-0.642320323966446,-0.4617997939742781,0.5203532166935695
ARG,-0.5446214675302474,-0.6512219243132804,0.9523732797537352,-0.21850390330537364,0.016283724606953237,-0.12981114404075508,-0.2752307645121056,0.2388966602855042,0.277571579618292,-0.6279915140165682,-0.8160313714964174,-0.4127224340519958
ARM,-0.09684198633408936,0.9928776864466737,-0.2736835359381587,3.129990124063495,-2.1759993709933205,-2.220711592131817,-2.2157559052770703,-1.3483674193988173,-1.331676042757896,-0.5534817022772037,-0.03376997113502655,-1.6568233017127498
AUS,-0.5728350582276084,-1.1786805025093066,1.0814318919318293,-0.5007524420107955,0.7244105652212011,0.5772566403378648,0.422947593011797,1.2970727134083853,1.350403327869084,-0.5697210202203985,-0.9045892658769521,-0.12562223382259102
AUT,0.15079418236566033,0.6113119064750804,-0.8544472907395825,2.321732945043423,-1.8073853991667255,-1.745966079763315,-1.6407854931985622,-1.2895798608919906,-1.2720742789661854,-0.3280417590657931,0.5270966932750271,-1.4056106265120205
