Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,-0.15840280172348095,-0.17426469934878852,0.6619914023530239,0.3331636950734054,-0.49783576241434996,-0.6146576247575231,-0.7269932311452191,0.18010910177867764,0.14683222678486216,0.22887132098612373,0.6451738857824069,-1.2261730013686425
ALB,-0.27467216905852054,0.19046729621229347,-0.0800956176710176,0.34599317410547,-0.8858504696002389,-0.9075857068572372,-0.9118051493133109,-0.5253416003032432,-0.5453172882156488,-0.3356837910390613,0.15810546668946535,-1.010847851196589
DZA,-0.6568271092179244,-0.8925061675306114,1.4040784223770648,-0.42377556781840775,0.34609622571495924,0.14291500136242682,-0.06988418876978127,1.0619224793810786,1.012019120535501,-0.8773128071444417,-1.2293015452722464,-1.1543979513112914
AND,0.4317114209314473,0.49908667707167054,-0.3704774950717295,1.859871699889096,-1.47757289805872,-1.4833409027083992,-1.4559735750304703,-0.8780669513442037,-0.8913920457159044,0.3368150226085364,0.8813282707971665,-1.3099105597688858
AGO,-0.4095854503100645,0.4598078467804769,0.6942560553975473,-0.5007524420107955,0.4236991671521368,0.33483339997948064,0.22786834605658904,-0.17261624926228278,-0.19924253071539336,-0.44171698466815695,-0.7569927752427275,0.2930655581786243
ATG,0.2950108810078981,-0.12937460758742475,-1.2738877803183883,-0.5007524420107955,0.35579659339460623,0.5671556719895987,0.7823041005608645,0.4152593358059843,0.3775487317850325,1.4974486285486375,0.7780107273532091,0.9270785003518932
ARG,-0.31118323740353093,-0.7466133693061789,1.049167238887306,0.2305278628168884,-0.2747273057824636,-0.45304213118526715,-0.6243199432740568,-0.29019136627593634,-0.3146007832154785,-0.3003393931626961,-0.6684348808621927,-0.7476726676529679
ARM,0.0006749358660608464,0.650590736766274,-0.11236027071554101,1.3723514966706403,-1.264164809106481,-1.3015234724396112,-1.3019636432237272,-0.6429167173168968,-0.6606755407157341,0.002476123778054598,0.8665686217337438,-1.3936481181691287
AUS,-0.6276644299320749,-1.386297176905615,1.1782258510654002,-0.4879229629787309,0.5401035793079038,0.37523727337254487,0.1970663596952403,0.8267722453537715,0.7813026155353306,-0.7980267254217847,-1.0521857565111767,-0.388797417366212
AUT,-0.13901083323949617,0.47664163119098824,-0.4995361072498237,1.449328370863028,-1.4193706919808367,-1.4025331559222711,-1.343032958372192,-0.8780669513442037,-0.8913920457159044,-0.3280417590657931,0.615654587655562,-1.2620605263973184
AZE,-0.2902522305947962,0.7459821817591725,-0.14462492376006442,0.19203942572069452,-0.8373486312020028,-0.8469798967676412,-0.8296665190163813,-0.5253416003032432,-0.5453172882156488,-0.3595651409555242,0.08430722137235303,-1.0347728678823727
