Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,-0.1521015992295624,-0.05642820847520811,0.6942560553975473,2.0009959692418073,-1.4969736334180144,-1.6651583329771873,-1.8050627537924218,-0.9368545098510304,-1.0182861234659981,-0.41496987276171843,-0.5060787411645455,-1.5371982182838313
ALB,0.6886652929601759,1.0265452552676972,-0.7899179846505353,1.7059179515043206,-1.681280619331312,-1.624754459584123,-1.527844876540284,-1.4071549779056443,-1.4489569327996494,-0.17711162759374702,0.14334581762604295,-1.3218730681117776
DZA,-0.6564897258556327,-1.2235705942706707,1.3072844632434946,0.0765741144321128,-0.294128041141758,-0.5136479412748631,-0.7269932311452191,0.003746426258197307,-0.1569445047986954,-0.9097914430308315,-1.3768980359064709,-1.3577605931404533
AND,0.24415659851704266,0.35880514031740823,-0.20915422984911183,2.629640441812974,-1.9625912820410814,-2.008591256818231,-2.0104093295347463,-1.5835176534261244,-1.6104584862997684,-0.590736608146886,-0.19612611083267362,-1.4414981515406962
AGO,0.01457470843936158,1.015322732327356,0.2102862597296943,-0.5007524420107955,0.4333995348317842,0.4156411467656087,0.3921456066504486,-0.05504113224862948,-0.21077835596540176,0.3559201025417068,0.17286511575288804,0.49642820000778587
ATG,-0.44765194238336503,-0.3426025434539033,-1.0480352090067235,-0.5007524420107955,0.3072947549963701,0.48634792520347064,0.65909615511547,0.297684218792331,0.11222475103483666,-0.4359854606882058,-0.19612611083267362,0.6519408084653803
ARG,-0.4877602779155035,-0.6399994013729392,1.1782258510654002,-0.33396921459395534,0.2975943873167231,0.12271306466589489,-0.05961685998266508,1.0031349208742515,0.7582309650353137,-0.3910885228452554,-0.5798769864816579,-0.3409473839946447
ARM,0.15949963149595278,0.5215317229523528,-0.015566311581970763,2.9247184595504603,-2.3409056215473236,-2.432831927445403,-2.4724391249549758,-1.5247300949192977,-1.5566246351330624,-0.5764077981970082,0.20238441387973286,-1.7644858767987766
AUS,-0.41479077040858986,-0.6119430940220868,0.8878439736646884,-0.5007524420107955,0.8505153450566147,0.7489731022583868,0.6282941687541214,1.649798064449346,1.350403327869084,-0.008986924181847662,-0.41752084678401075,0.0777404080065706
AUT,0.09392029084581234,1.0321565167378672,-1.0157705559622001,2.6168109627809097,-2.2148008417119094,-2.150004813693955,-2.0206766583218623,-1.5835176534261244,-1.6104584862997684,-0.6509176099363727,-0.019010322071604132,-1.549160726626723
AZE,-0.027461106939356477,0.774038489110025,-0.46727145420529975,1.911189616017355,-1.7491831930888424,-1.745966079763315,-1.6921221371341433,-1.4071549779056443,-1.4489569327996494,-0.5869155921602519,-0.1666068127058288,-1.4056106265120205
BHS,-0.5254011828875982,0.01651819063700813,-0.015566311581970763,-0.5007524420107955,0.3654969610742536,0.38533824172081066,0.3921456066504486,0.003746426258197307,-0.1569445047986954,-0.6547386259230067,-0.8307910205598398,0.36484060823597564
BHR,-0.5707139669006651,-1.010342658404192,0.4361388310413588,-0.5007524420107955,0.006583356927306215,-0.05910436560289316,-0.13148816149247852,0.4152593358059843,0.21989245336824936,-0.6977250557726401,-0.4617997939742781,-0.5562725341666982
BGD,-0.6239548914710569,-1.4760773604283428,0.9201086267092118,-0.5007524420107955,0.2102910781998978,0.08230919127283069,-0.06988418876978127,-0.23140380776910957,-0.37227990946552114,-0.8601182352045884,-1.347378737779626,-0.08973470879391535
BRB,-0.48317790687542234,-0.3426025434539033,-0.9189765968286293,-0.5007524420107955,0.384897696433548,0.5469537352930668,0.6898981414768187,0.35647177729915774,0.166058602201543,-0.5038084944509607,-0.2256454089595187,0.7476408752085152
BLR,-0.19605962999262622,1.323942113186733,-1.2416231272738647,2.7194467950374266,-2.360306356906618,-2.261115465524881,-2.102815288618792,-1.7010927704397778,-1.7181261886331816,-0.8228633293349062,-0.004250673008181719,-1.561123234969615
BEL,0.22209809302563205,1.1219367002605949,-0.951241249873153,1.6674295144081266,-1.65217951629237,-1.574249617842793,-1.4457062462433543,-1.5247300949192977,-1.5566246351330624,-0.5477501782972526,0.43853879889449227,-1.2620605263973184
BLZ,-0.10408700866557899,-0.1798759608189591,-0.3704774950717295,-0.5007524420107955,0.33639585803531186,0.4055401784173426,0.4742842369473781,-0.17261624926228278,-0.3184460582988148,0.06552288755751683,0.36474055357737994,0.8433409419516502
BEN,-0.6609428947047341,0.12313215857024741,2.2106947484901536,-0.5007524420107955,1.4713388765540378,1.1934157095820905,0.8644427308577943,1.3558602719152122,1.081234072035552,-0.888775855104344,-1.406417334033316,-0.305059858965969
BTN,-0.6407173683917822,-1.0327877042848737,1.3718137693325414,2.3089034660113583,-1.6230784132534284,-1.907581573335571,-2.1644192613414894,-1.0544296268646838,-1.125953825799411,-0.9231649989840508,-1.347378737779626,-1.4654231682264798
BOL,0.003113299534087039,1.0041002093870148,0.1457569536406469,-0.3852871307222139,0.4819013732300203,0.47624695685520485,0.4640169081602621,0.2388966602855042,0.05839089986813029,0.5307315839302159,0.4090195007676474,0.6639033168082723
BIH,0.45997224683841403,1.503502480232189,-0.7253886785614883,2.321732945043423,-1.9043890759631978,-1.877278668290773,-1.7947954250053055,-1.5247300949192977,-1.5566246351330624,-0.4388512226781814,0.02526862511866337,-1.4295356431978044
BWA,-0.44008687289220116,0.027740713577349273,0.8233146675756415,-0.5007524420107955,0.7535116682601428,0.6580643871239925,0.5358882096700756,0.5328344528196378,0.32756015570166236,-0.3633861569421583,-0.24040505802294113,0.6160532834367045
BRA,0.3780725930037499,1.4024997737691194,-0.20915422984911183,-0.5007524420107955,0.6468076237840231,0.7085692288653226,0.7515021141995162,-0.113828690755456,-0.2646122071321084,0.981611470353037,1.6488300220951346,1.2141787005812978
BRN,-0.3703742145835557,0.5664218147137167,-1.080299862051247,-0.5007524420107955,0.5595043146671982,0.7489731022583868,0.9363140323676078,-0.05504113224862948,-0.21077835596540176,-0.3710281889154265,-0.2256454089595187,1.4175413424104595
BGR,0.189308422700562,1.688674108747815,-1.080299862051247,2.2575855498830997,-1.9528909143614344,-1.8671776999425072,-1.7331914522826084,-1.5835176534261244,-1.6104584862997684,-0.6127074500700319,-0.47655944303770054,-1.4056106265120205
BFA,-0.6834929837703964,-1.7959192642280608,2.7269291972025296,-0.5007524420107955,1.5004399795929793,1.1328098994924949,0.7207001278381675,1.5910105059425188,1.2965694767023779,-0.96233041284705,-1.568773473730963,-1.118510426282616
BDI,0.19814065713155735,1.441778604060313,0.565197443219453,-0.5007524420107955,0.1035870337237785,0.021703381183234907,-0.06988418876978127,-0.40776648328958964,-0.5337814629656404,0.39986178638799863,1.3979159880169527,0.17344047474970561
CPV,-0.5891585580233446,-1.0720665345760674,-0.596330066383394,-0.5007524420107955,0.17148960748130904,0.26412662154161876,0.3716109490762159,0.5328344528196378,0.32756015570166236,-0.7302036916590299,-0.9045892658769521,0.0059653579492196605
KHM,-0.6278499068551259,-0.7746696766570313,0.5006681371304061,-0.5007524420107955,0.7923131389787319,0.7388721339101206,0.6693634839025864,0.47404689431281133,0.2737263045349557,-0.8285948533148573,-1.3326190887162037,0.7476408752085152
CMR,-0.530151015992267,-0.05642820847520811,0.4038741779968354,-0.5007524420107955,0.811713874338026,0.7792760073031848,0.7309674566252835,0.5328344528196378,0.32756015570166236,-0.5850050841669349,-0.8898296168135297,0.2093279997783813
CAN,3.890367938664845,-0.062039469945378685,0.11349230059612347,3.0786722079352358,-4.06757106852453,-4.2510062301332825,-4.341092964210127,-1.9362430044670846,-1.9334615933000072,-0.7005908177626157,-0.49131909210112307,-1.8960734685705871
CAF,-0.5989628626693257,-1.3975196998459558,2.2106947484901536,-0.5007524420107955,1.2482304199221512,0.9509924692237067,0.6180268399670054,0.767984686846945,0.5428955603684879,-0.7349799616423224,-1.0817050546380218,-0.19739728387994218
TCD,-0.6795805799247914,-2.295321535073235,2.6946645441580066,-0.4879229629787309,1.0251219632902653,0.6378624504274606,0.22786834605658904,1.7673731814629996,1.4580710302024966,-0.9480016028971722,-1.5540138246675406,-1.190285476339967
CHL,-0.503028950531681,-0.4828840802081656,0.1780216066851709,0.15355098862450053,-0.6724423806479998,-0.7257682765884492,-0.768062546293684,0.18010910177867764,0.004557048701423664,-0.5802288141836422,-0.7717524243061499,-0.9988853428536973
CHN,-0.4587805577664191,-0.443605249916972,1.049167238887306,2.373050861171681,-2.1759993709933205,-2.432831927445403,-2.6367163855488354,-1.2307923023851641,-1.2874553792995302,-0.7951609634318091,-0.8455506696232622,-1.6687858100556416
COL,-0.12791826195484876,0.3475826173770671,0.371609524952312,-0.4879229629787309,0.6759087268229649,0.6378624504274606,0.5974921823927729,0.297684218792331,0.11222475103483666,0.2775892748157083,0.010508976055240694,0.8553034502945418
COM,-0.1082638778219912,0.768427227639854,-1.144829168140294,-0.5007524420107955,0.5983057853857869,0.7994779439997167,0.9979180050903053,0.18010910177867764,0.004557048701423664,0.25561843289256225,0.12858616856262053,1.4893163924678108
COG,-0.21770658185063155,0.8525961496924114,0.08122764755160006,-0.5007524420107955,0.6468076237840231,0.6580643871239925,0.648828826328354,-0.17261624926228278,-0.3184460582988148,-0.1360357057374307,-0.3289629524034759,1.0706286004665955
COD,-0.025687483862682194,0.8694299341029227,0.30708021886326453,-0.5007524420107955,0.5789050500264926,0.5570547036413326,0.5153535520958431,-0.113828690755456,-0.2646122071321084,0.2422448769393429,0.0547879232455082,0.7715658918942989
CRI,-0.6363354760847046,-0.567053002260723,0.4361388310413588,-0.5007524420107955,0.5886054177061399,0.5368527669448007,0.4845515657344944,0.35647177729915774,0.166058602201543,-0.8543867112246374,-1.4359366321601608,0.8911909753232176
CIV,-0.5945934632104176,0.07263080533871305,1.3072844632434946,-0.5007524420107955,1.2676311552814459,1.1126079627959624,0.9260467035804918,0.5328344528196378,0.32756015570166236,-0.743577247612249,-1.1997822471454014,0.47250318332200225
HRV,0.32225563147311914,1.0546015626185496,-0.6608593724724414,2.0523138853700655,-1.7491831930888424,-1.7156631747185171,-1.6510528219856786,-1.5247300949192977,-1.5566246351330624,-0.5018979864576436,-0.06328926926187163,-1.3577605931404533
