Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,-0.6758499347148649,-2.0540372918559036,2.372018013712771,-0.2313333823374383,0.41399879947248974,0.05200628622803262,-0.3163000796605705,1.1207100378879051,1.0696982467855436,-0.9374938089339285,-1.4654559302870058,-1.453460659883588
ALB,-0.399274891502578,-0.9373962592919756,0.371609524952312,-0.5007524420107955,0.09388666604413114,0.03180434953150069,-0.02881487362131636,-0.05504113224862948,-0.0838842782153082,-0.3872675068586213,-0.41752084678401075,-0.3768349090233202
DZA,-0.673379610492463,-1.0496214886953854,1.0814318919318293,-0.5007524420107955,1.1803278461646212,1.0520021527063668,0.8952447172191431,1.3558602719152122,1.3004147517857139,-0.9269860149706848,-1.406417334033316,-0.5203850091380227
AND,-0.18612948088159334,-0.1967097452294704,-0.11236027071554101,-0.47509348394666623,-0.4881353947347026,-0.4934460045783312,-0.4805773402544299,-0.46655404179641646,-0.4876381619656063,-0.1694695956204789,0.0990668704357757,-0.6280475842240493
AGO,-0.5728345979871045,-0.011538116713844332,1.5008723815106355,-0.5007524420107955,0.5207028439486091,0.3045304949346826,0.0738584142498458,0.297684218792331,0.2621904792849473,-0.6977250557726401,-1.185022598081979,-0.209359792222834
ATG,0.20790910841223811,0.15118846592109986,-1.144829168140294,-0.5007524420107955,0.5983057853857869,0.7994779439997167,0.9876506763031888,0.47404689431281133,0.4352278580350751,1.3331449411233722,0.9256072179874335,1.2859537506386491
ARG,-0.540351168405863,-0.5277741719695294,1.1136965449763527,0.5769237966826334,-0.5463376008125861,-0.7358692449367152,-0.922072478100427,-0.113828690755456,-0.1415634044653508,-0.6814857378294452,-0.8750699677501071,-1.0586978845681567
ARM,-0.37236387612173805,-1.1001228419269198,1.1136965449763527,-0.19284494524124443,-0.26502693810281625,-0.45304213118526715,-0.6345872720611732,-0.05504113224862948,-0.0838842782153082,-0.33281802904908564,-0.5208383902279681,-1.1304729346255078
AUS,-0.574107968401127,-1.021565181344533,1.1136965449763527,-0.3852871307222139,0.13268813676271993,-0.03890242890636123,-0.21362679178940833,0.8267722453537715,0.7813026155353306,-0.640409815973129,-0.7274734771158825,-0.7835601926816437
AUT,-0.5069189530259378,-0.3426025434539033,0.2102862597296943,-0.42377556781840775,-0.3426298795399942,-0.39243632109567117,-0.4292406963188488,-0.58412915881007,-0.6029964144656914,-0.7025013257559327,-0.4027611977205882,-0.5084225007951306
AZE,-0.4644556480545196,-0.7073345390149853,0.33934487190778856,-0.32113973556189074,0.016283724606953237,-0.03890242890636123,-0.09041884634401362,0.003746426258197307,-0.026205151965265606,-0.5057190024442778,-0.6831945299256151,-0.5084225007951306
BHS,0.3691598918215683,0.5159204614821818,-0.3704774950717295,-0.5007524420107955,0.7729124036194371,0.8600837540893126,0.9363140323676078,0.297684218792331,0.2621904792849473,1.5547638683481486,0.8075300254800541,1.273991242295757
BHR,-0.6834929837703964,-1.7734742183473788,1.468607728466112,-0.5007524420107955,1.5489418179912156,1.3853341081991448,1.1724625944712808,2.6491865590654005,2.5693555292866503,-0.96233041284705,-1.568773473730963,0.14951545806392197
BGD,2.2348137150244285,1.1780493149622997,-1.628798963808147,-0.5007524420107955,0.6274068884247287,0.9105885958306426,1.1827299232583972,-0.29019136627593634,-0.3146007832154785,4.226609297002027,0.8813282707971665,1.7524915760114317
BRB,-0.14378367260351055,0.10068711268956551,-0.951241249873153,-0.5007524420107955,0.6274068884247287,0.8095789123479825,0.9773833475160729,0.297684218792331,0.2621904792849473,0.32821773663860965,0.5270966932750271,1.4175413424104595
BLR,-0.32670957458968153,0.08946458974922476,0.2102862597296943,-0.42377556781840775,-0.4590342916957608,-0.5136479412748631,-0.5524486417642434,-0.8192793928373768,-0.8337129194658618,-0.5248240823774482,-0.10756821645213888,-0.580197550852482
BEL,-0.4627754453398232,0.4598078467804769,0.4361388310413588,-0.5007524420107955,-0.051618849150577295,-0.11971017569248929,-0.1930921342151758,-0.23140380776910957,-0.25692165696543595,-0.5563474642671793,0.3204616063871127,-0.4486099590806713
BLZ,0.5878400375897056,0.4934754156015004,-0.6608593724724414,-0.5007524420107955,0.6662083591433176,0.7994779439997167,0.9157793747933755,0.06253398476502409,0.03147397428477698,1.7658750016096816,1.4864738823974872,1.6089414758967295
BEN,0.5950772274646207,1.3351646361270741,-0.2736835359381587,-0.5007524420107955,0.6565079914636704,0.7186701972135887,0.7823041005608645,-0.17261624926228278,-0.19924253071539336,1.4678357546522234,1.087963357685081,1.0706286004665955
BTN,1.0731589544446956,0.9984889479168447,0.4361388310413588,0.26901629991308224,-0.49783576241434996,-0.5843547197127252,-0.6653892584225217,-0.58412915881007,-0.6029964144656914,1.6225869021109038,0.748491429226364,-0.663935109252725
BOL,-0.5176518843064832,0.03335197504751985,0.855579320620165,-0.11586807104885664,0.4042984317928424,0.2843285582381507,0.1559970445467756,0.6504095698332915,0.6082652367852028,-0.5047637484476192,-0.7274734771158825,0.01792786629211127
BIH,-0.6010694324171957,-0.7353908463658377,0.9846379327982592,-0.5007524420107955,0.13268813676271993,-0.018700492209829306,-0.17255747664094342,-0.17261624926228278,-0.19924253071539336,-0.8056687573950527,-0.7274734771158825,-0.3529098923375365
