Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,-0.6698612905128506,-1.4592435760178313,1.6944602997777767,-0.449434525882537,0.8990171834548508,0.6681653554722587,0.412680264224681,2.2964612080244398,2.3636333123281656,-0.8992836490675878,-1.3030997905893587,-0.8912227677676705
ALB,-0.6111210850212445,-1.7229728651158445,0.9201086267092118,-0.5007524420107955,0.5013021085893147,0.37523727337254487,0.2381356748437054,1.2382851549015588,1.2908015640773733,-0.7101433577292008,-0.9488682130672195,-0.18543477553705034
DZA,-0.6787425452109487,-1.0945115804567491,1.4040784223770648,-0.5007524420107955,1.5295410826319207,1.3651321715026126,1.1621952656841648,2.2964612080244398,2.3636333123281656,-0.9403595709239041,-1.3326190887162037,-0.5084225007951306
AND,-0.4767161302013909,-0.7297795848956672,0.2748155658187411,-0.5007524420107955,-0.2747273057824636,-0.33183051100607525,-0.37790405238326774,0.47404689431281133,0.5159786347851345,-0.4121041107717428,0.36474055357737994,-0.6998226342814007
AGO,-0.6834929837703964,-0.7971147225377132,2.0171068302230117,-0.3083102565298261,0.18118997516095606,-0.12981114404075508,-0.44977535389308115,-0.17261624926228278,-0.1396407669236828,-0.96233041284705,-1.568773473730963,-0.6878601259385086
ATG,-0.10929232876410433,0.11752089710007722,-1.144829168140294,-0.5007524420107955,0.5886054177061399,0.7994779439997167,0.9876506763031888,0.8267722453537715,0.873589217535399,0.7838738930447235,0.837049323606899,1.1782911755526222
ARG,-0.5437750125741171,-0.46043903432748373,0.6297267493084998,1.7572358676325794,-1.1768614999896558,-1.3318263774844092,-1.4559735750304703,-1.1132171853715105,-1.0932689875910535,-0.8295501073115158,-1.0817050546380218,-1.2740230347402102
ARM,-0.4767575518467372,-0.9373962592919756,1.0169025858427825,-0.5007524420107955,0.26849328427778135,0.12271306466589489,-0.03908220240843254,1.0619224793810786,1.1119962727022412,-0.2812343132295257,-0.2256454089595187,-0.7237476509671843
AUS,-0.6056737378035664,-1.936200800982323,1.4363430754215882,0.11506255152830666,-0.24562620274352187,-0.47324406788179924,-0.7167259023581029,-0.17261624926228278,-0.1396407669236828,-0.8094897733816869,-0.9931471602574868,-0.9749603261679134
AUT,0.2421728424024683,0.12313215857024741,-0.2736835359381587,-0.4622640049146017,-0.31352877650105243,-0.28132566926474506,-0.23416144936364067,-0.05504113224862948,-0.020437239340261402,0.9730141843831103,1.250319497382728,-0.3409473839946447
