Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,-0.030522166530452095,-0.37065885080475575,0.04896299450707664,2.2062676337548415,-1.603677677894134,-1.675259301325453,-1.7126567947083757,-1.2307923023851641,-1.2124725151744749,-0.4245224127283036,-0.26992435614978594,-1.561123234969615
ALB,2.07757034090428,1.497891218762018,-0.951241249873153,1.7187474305363855,-1.6327787809330756,-1.5540476811462611,-1.4354389174562379,-1.5247300949192977,-1.510481334133028,0.43711669225768096,0.42377914983106985,-1.3099105597688858
DZA,-0.5390004775871938,-1.3245733007337395,0.5329327901749296,0.05091515636798352,-0.5463376008125861,-0.6550614981505871,-0.7475278887194515,-0.58412915881007,-0.5568531134656572,-0.7426219936155906,-0.9783875111940644,-1.285985543083102
AND,0.3794692791077722,0.4878641541313294,-1.0480352090067235,2.6168109627809097,-1.9528909143614344,-1.8671776999425072,-1.7331914522826084,-1.5247300949192977,-1.510481334133028,-0.4235671587316451,-0.06328926926187163,-1.4654231682264798
AGO,0.310647883455857,1.4137222967094607,0.08122764755160006,-0.5007524420107955,0.4042984317928424,0.4055401784173426,0.3921456066504486,-0.17261624926228278,-0.1396407669236828,0.9902087563229637,0.5418563423384497,0.47250318332200225
ATG,0.46148162649080765,-0.16865343787861795,-1.3706817394519588,-0.5007524420107955,0.4042984317928424,0.6378624504274606,0.8644427308577943,-0.05504113224862948,-0.020437239340261402,1.4315361027791995,1.250319497382728,1.0227785670950282
ARG,-0.4227565813084734,-0.5221629104993593,1.2750198101989705,-0.32113973556189074,0.3169951226760175,0.13281403301416067,-0.06988418876978127,1.414647830422039,1.4696068554525057,-0.004210654198555065,-0.15184716364240639,-0.4366474507377795
ARM,-0.10049713273556167,0.527142984422523,-0.0800956176710176,3.129990124063495,-2.127497532595084,-2.210610623783551,-2.236290562851303,-1.642305211932951,-1.6296848617164494,-0.7407114856222735,-0.5208383902279681,-1.7046733350843173
AUS,-0.5422944313121693,-0.808337245478054,1.339549116288018,-0.5007524420107955,1.0251219632902653,0.8600837540893126,0.6693634839025864,2.355248766531267,2.423235076119876,-0.3003393931626961,-0.5503576883548129,-0.23328480890861786
AUT,0.5287363202778982,1.0489903011483785,-1.4674756985855293,2.75793523213362,-2.195400106352615,-2.0489951302112948,-1.8563993977280029,-1.7010927704397778,-1.6892866255081602,-0.5783183061903252,0.24666336107000036,-1.5371982182838313
AZE,-0.10408700866557899,0.6842583055872966,-0.3704774950717295,2.0009959692418073,-1.6327787809330756,-1.6348554279323892,-1.6099835068372137,-1.5835176534261244,-1.5700830979247387,-0.7053670877459083,-0.4617997939742781,-1.3457980847975612
BHS,-0.22147595157714994,-0.09570703876640171,0.08122764755160006,-0.5007524420107955,0.26849328427778135,0.26412662154161876,0.25867033241793774,-0.34897892478276316,-0.3184460582988148,-0.1427224837140404,-0.2108857598960963,0.2093279997783813
BHR,-0.48497284484043107,-0.8588385987095888,-0.14462492376006442,-0.5007524420107955,-0.1292217905877552,-0.10960920734422315,-0.09041884634401362,-0.23140380776910957,-0.19924253071539336,-0.5850050841669349,-0.19612611083267362,-0.47253497576645515
BGD,-0.6746977877418536,-2.2055413515505067,0.9201086267092118,-0.5007524420107955,0.22969181355919221,0.10251112796936261,-0.03908220240843254,-0.58412915881007,-0.5568531134656572,-0.9489568568938307,-1.5392541756041183,-0.08973470879391535
BRB,-0.11054878533961043,-0.24721109846100478,-1.4674756985855293,-0.5007524420107955,0.4042984317928424,0.6479634187757267,0.8849773884320267,-0.05504113224862948,-0.020437239340261402,0.2355580989627334,0.5713756404652945,1.1304411421810547
BLR,2.135995571665314,1.7503979849196902,-1.4674756985855293,3.0786722079352358,-2.447609666023443,-2.311620307266211,-2.1233499461930245,-1.877455445960258,-1.8680919168832921,-0.6050654180967637,0.30570195732369004,-1.561123234969615
