Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,-0.5531124688089308,-1.2572381630916933,0.9523732797537352,1.7187474305363855,-1.1477603969507142,-1.341927345832675,-1.5175775477531677,-0.8780669513442037,-0.8913920457159044,-0.8104450273783453,-0.8603103186866847,-1.5850482516553985
ALB,1.2597656005723616,1.2004943608429821,-1.2738877803183883,0.24335734184895297,-1.186561867669303,-1.0388982953846952,-0.8502011765906137,-1.3483674193988173,-1.3528250557162451,0.3482780705684385,0.6599335348458293,-1.0467353762252647
DZA,-0.6131314155420542,-1.173069241039136,1.339549116288018,-0.4622640049146017,0.18118997516095606,-0.02880146055809509,-0.24442877815075686,-0.17261624926228278,-0.19924253071539336,-0.8285948533148573,-1.2588208433990913,-0.9749603261679134
AND,0.7950548560221732,0.5215317229523528,-0.7253886785614883,1.2312272273179294,-1.4096703243011894,-1.352028314180941,-1.2608943280752622,-1.4071549779056443,-1.4105041819662876,-0.05579437001811503,0.4680580970213373,-1.1783229679970753
AGO,-0.19661606076177893,1.009711470857185,0.5329327901749296,-0.5007524420107955,0.5886054177061399,0.5267517985965349,0.4537495793731457,0.12132154327185088,0.08915310053481956,0.11233033339378433,-0.13708751457898397,0.4844656916648943
ATG,-0.18533050336691254,-0.46043903432748373,-1.0480352090067235,-0.5007524420107955,0.6468076237840231,0.8297808490445149,1.0184526626645376,0.297684218792331,0.2621904792849473,0.22887132098612373,0.36474055357737994,1.3098787673244328
ARG,-0.4669619244601149,-0.28648992875219836,0.7265207084420707,-0.2313333823374383,0.035684459966247625,-0.07930630229942508,-0.20335946300229196,0.8855598038605985,0.8389817417853732,-0.31180244112259836,-0.4617997939742781,-0.4964599924522388
ARM,-0.5572944853265628,1.1668267920219595,0.371609524952312,2.501345651492328,-1.574576574855192,-1.695461238021985,-1.7845280962181895,-1.4071549779056443,-1.4105041819662876,-0.88495483911771,-0.963627862130642,-1.5850482516553985
AUS,-0.6177105017283432,-1.010342658404192,1.4040784223770648,-0.5007524420107955,0.8796164480955568,0.6984682605170568,0.4845515657344944,2.237673649517613,2.1656016455363525,-0.6719331978628601,-0.8750699677501071,-0.400759925709104
AUT,2.3234588927308253,0.583255599124228,-1.2093584742293413,1.872701178921161,-1.7588835607684894,-1.6449563962806548,-1.4765082326047028,-1.7010927704397778,-1.6988998132165005,-0.040510306071578774,0.5270966932750271,-1.285985543083102
AZE,-0.5731342145551097,1.009711470857185,-0.3382128420272061,0.9104902515163137,-1.2350637060675391,-1.230816694001749,-1.1992903553525651,-1.2895798608919906,-1.2951459294662024,-0.8811338231310759,-1.0521857565111767,-1.2381355097115345
BHS,-0.29691270690155414,-0.3089349746328803,-0.43500680116077634,-0.5007524420107955,0.5013021085893147,0.5974585770343968,0.6796308126897024,-0.113828690755456,-0.1415634044653508,-0.20385873950018554,-0.26992435614978594,0.7596033835514069
