Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,-0.49753741059549217,-0.2977124516925395,0.8878439736646884,2.9503774176145896,-1.7491831930888424,-1.958086415076901,-2.1336172749801405,-1.1132171853715105,-1.0932689875910535,-0.785608423465224,-1.214541896208824,-1.6927108267414253
ALB,1.455833745458006,1.9804597051966808,-1.4352110455410059,1.2055682692538003,-1.593977310214487,-1.4328360609670692,-1.2300923417139136,-1.465942536412471,-1.4508795703413175,0.2575289408858793,0.8222896745434763,-1.2740230347402102
DZA,-0.618715666988748,-1.6331926815931166,1.9525775241339651,0.3331636950734054,-0.2844276734621107,-0.6045566564092572,-0.922072478100427,-0.40776648328958964,-0.37804782209052534,-0.8515209492346618,-1.2735804924625138,-1.3099105597688858
AND,0.9147197802733747,1.312719590246392,-1.2738877803183883,2.06514336440213,-1.7879846638074315,-1.6651583329771873,-1.4970428901789352,-1.4071549779056443,-1.3912778065496068,0.05023882361098057,1.250319497382728,-1.3936481181691287
AGO,0.07273681761234327,1.312719590246392,0.4038741779968354,-0.5007524420107955,0.4819013732300203,0.4358430834621406,0.3818782778633323,-0.113828690755456,-0.08003900313197196,0.5708522517898736,0.3204616063871127,0.5203532166935695
ATG,-0.47165440514006635,-0.2640448828715165,-0.7899179846505353,-0.5007524420107955,0.4722010055503729,0.6176605137309287,0.7515021141995162,0.35647177729915774,0.3967751072017134,-0.42547766672496207,0.2761826591968452,0.783528400237191
ARG,-0.4242661534554517,-0.4660502957976543,0.9846379327982592,-0.39811660975427854,0.4042984317928424,0.2742275898898849,0.12519505818542687,1.3558602719152122,1.4100050916607945,-0.026181496121700985,-0.28468400521320864,-0.22132230056572605
ARM,-0.4296887555181622,-0.017149378184014904,-0.11236027071554101,3.3352617885765286,-2.45731003370309,-2.533841610928063,-2.5648450840390216,-1.642305211932951,-1.6296848617164494,-0.8658497591845397,-0.6684348808621927,-1.7644858767987766
AUS,-0.5397405821453687,-0.7017232775448147,1.0169025858427825,-0.5007524420107955,1.1124252724070902,0.9913963426167706,0.843908073283562,2.2964612080244398,2.3636333123281656,-0.2974736311727206,-0.47655944303770054,0.08970291634946263
AUT,2.306873665934144,0.8694299341029227,-1.4352110455410059,2.8605710643901374,-2.243901944750851,-2.1197019086491573,-1.9282706992378162,-1.8186678874534314,-1.8084901530915816,-0.393954284835231,0.3204616063871127,-1.4773856765693718
AZE,-0.24409216993625985,-0.2808786672820278,-0.6608593724724414,2.321732945043423,-1.865587605244609,-1.836874794897709,-1.7639934386439566,-1.5835176534261244,-1.5700830979247387,-0.767458597528712,-0.5503576883548129,-1.4295356431978044
BHS,-0.38361868108293823,-0.20232100669964098,0.08122764755160006,-0.5007524420107955,0.1035870337237785,0.10251112796936261,0.09439307182407816,-0.40776648328958964,-0.37804782209052534,-0.4493590166414251,-0.5208383902279681,0.06577789966367899
BHR,-0.5429319707428097,-1.2909057319127164,0.30708021886326453,-0.5007524420107955,-0.24562620274352187,-0.30152760596127715,-0.3573693948090352,-0.17261624926228278,-0.1396407669236828,-0.6862620078127378,-0.6536752317987702,-0.6280475842240493
BGD,-0.6782738564567556,-2.0933161221470966,1.4040784223770648,-0.5007524420107955,0.25879291659813397,0.05200628622803262,-0.17255747664094342,-0.46655404179641646,-0.4376495858822362,-0.9537331268771233,-1.4654559302870058,-0.3768349090233202
BRB,-0.3986508822745789,-0.37627011227492635,-0.9189765968286293,-0.5007524420107955,0.4722010055503729,0.6479634187757267,0.8028387581350973,0.18010910177867764,0.2179698158265814,-0.2946078691827449,0.615654587655562,0.9270785003518932
BLR,2.3320027974442668,1.7784542922705426,-2.3063566777431412,2.745105753101556,-2.418508562984501,-2.160105782042221,-1.8358647401537702,-1.877455445960258,-1.8680919168832921,-0.5802288141836422,0.7927703764166315,-1.5013106932551556
BEL,2.7504028370878006,1.6381727555162804,-1.5320050046745766,1.6674295144081266,-1.7588835607684894,-1.5944515545393252,-1.3738349447335405,-1.7598803289466047,-1.7488883892998708,-0.09209402189113888,1.2355598483193055,-1.2261730013686425
