Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,-0.6716137579656114,-1.638803943063287,1.533137034555159,-0.449434525882537,0.7050098298619066,0.48634792520347064,0.25867033241793774,1.8849482984766526,1.9464209657861906,-0.9126572050208069,-1.2883401415259361,-1.010847851196589
ALB,-0.5123811301386807,-1.3919084383757854,0.4361388310413588,-0.5007524420107955,0.25879291659813397,0.2035208114520226,0.13546238697254306,0.5328344528196378,0.5755803985768456,-0.4961664624776926,-0.15184716364240639,-0.14954725050837467
DZA,-0.6747524162886148,-1.3133507777933984,1.5008723815106355,-0.5007524420107955,1.5683425533505102,1.3954350765474108,1.1827299232583972,2.0613109739971334,2.125226257161323,-0.9241202529807092,-1.2588208433990913,-0.32898487565175266
AND,-0.33846416415234665,-0.8756723831201001,0.371609524952312,-0.5007524420107955,-0.16802326130634399,-0.23082082752341507,-0.29576542208633794,0.5328344528196378,0.5755803985768456,-0.022360480135066852,0.0547879232455082,-0.7835601926816437
AGO,-0.6720829997333679,-0.33138002051356213,1.9848421771784879,-0.5007524420107955,0.5207028439486091,0.23382371649682068,-0.08015151755689744,0.18010910177867764,0.2179698158265814,-0.9355833009406115,-1.5097348774772732,-0.4366474507377795
ATG,0.6318662759954397,-0.14059713052776548,-1.0480352090067235,-0.5007524420107955,0.7050098298619066,0.9004876274823768,1.080056635387235,0.9443473623674251,0.9927927451188201,3.2044875205774117,1.7964265127293593,1.3696913090388922
ARG,-0.48158587494124067,-0.6063318325519166,0.6619914023530239,0.8848312934521846,-0.7888467928037667,-0.9277876435537692,-1.0452804235458217,-0.6429167173168968,-0.6164548772573681,-0.668112181876226,-0.8160313714964174,-1.0826229012539403
ARM,-0.5265641216867761,-1.1506241951584542,1.049167238887306,-0.5007524420107955,0.37519732875390066,0.23382371649682068,0.0738584142498458,0.8855598038605985,0.9331909813271095,-0.47515087455120514,-0.7865120733695724,-0.5203850091380227
AUS,-0.5934248860946427,-1.3301845622039101,1.2104905041099236,-0.24416286136950294,-0.06131921683022466,-0.25102276421994735,-0.44977535389308115,0.2388966602855042,0.277571579618292,-0.7454877556055661,-0.8750699677501071,-0.8433727343961029
AUT,0.5751487336061585,0.774038489110025,-0.6608593724724414,-0.42377556781840775,-0.5463376008125861,-0.4631430995335331,-0.3573693948090352,-0.6429167173168968,-0.6164548772573681,0.8717572607373073,1.3831563389535302,-0.36487240068042837
AZE,-0.5980539366359809,-0.7690584151868608,0.6297267493084998,-0.4879229629787309,0.6953094621822593,0.6277614820791948,0.5358882096700756,1.0031349208742515,1.0523945089105307,-0.6862620078127378,-0.9931471602574868,-0.01795965873656441
BHS,-0.10413283686894088,0.2241348650333165,-0.11236027071554101,-0.5007524420107955,0.9863204925716765,1.0419011843581005,1.0697893066001187,0.767984686846945,0.8139874537436879,0.762858305118236,0.5713756404652945,1.4534288674391351
BHR,-0.6834929837703964,-1.5546350210107298,1.2104905041099236,-0.5007524420107955,1.966057628216046,1.8600796205676462,1.696096362614208,3.883725287708762,3.9728809347043534,-0.96233041284705,-1.568773473730963,0.41269064160754293
BGD,0.4988731846381272,1.5315587875830414,-1.7255929229417175,-0.5007524420107955,0.6565079914636704,0.9509924692237067,1.2443338959810943,-0.17261624926228278,-0.1396407669236828,1.3598920530298106,1.087963357685081,1.7883791010401076
BRB,0.22149842056914054,-0.26965614434168705,-0.9835059029176764,-0.5007524420107955,0.6856090945026122,0.8701847224375787,1.0492546490258863,0.5916220113264649,0.6351821623685562,1.5604953923281,1.1322423048753483,1.537166425839378
BLR,-0.21453139848494363,0.3026925256157033,0.04896299450707664,-0.5007524420107955,-0.1098210552284608,-0.11971017569248929,-0.13148816149247852,-0.29019136627593634,-0.25884429450710394,-0.10069130786106548,-0.19612611083267362,-0.26917233393729334
BEL,-0.20985218089340368,0.3700276632577494,-0.14462492376006442,-0.5007524420107955,-0.23592583506387452,-0.22071985917514927,-0.1930921342151758,-0.29019136627593634,-0.25884429450710394,-0.09209402189113888,0.8075300254800541,-0.28113484228018537
BLZ,0.5199002163608503,0.04457449798786059,-0.3059481889826821,-0.5007524420107955,0.8214142420176733,0.9004876274823768,0.9671160187289565,0.5328344528196378,0.5755803985768456,2.3161013036849885,2.0325808977441184,1.5969789675538375
BEN,0.16084583496970908,1.5988939252250867,-0.8544472907395825,-0.5007524420107955,0.5304032116282564,0.6883672921687907,0.8336407444964457,-0.29019136627593634,-0.25884429450710394,0.5890020777263856,0.48281774608475975,1.2500662256099735
BTN,0.9894516322426079,1.7840655537407135,-0.6608593724724414,-0.1286975500809213,-0.5366372331329388,-0.45304213118526715,-0.3573693948090352,-0.6429167173168968,-0.6164548772573681,1.4754777866254913,1.6193107239682898,-0.4964599924522388
BOL,-0.6102595147980403,-0.8700611216499295,1.6944602997777767,0.10223307249624208,0.3654969610742536,0.11261209631762875,-0.1520228190667109,0.47404689431281133,0.5159786347851345,-0.767458597528712,-1.2588208433990913,-0.18543477553705034
BIH,0.027033209678308596,0.01651819063700813,0.24255091277421773,-0.5007524420107955,0.006583356927306215,-0.02880146055809509,-0.06988418876978127,-0.113828690755456,-0.08003900313197196,0.4781926141139974,0.5418563423384497,-0.11365972547969899
BWA,-0.6834929837703964,-1.4985224063090248,2.985046421558718,-0.3852871307222139,0.4916017409096677,0.04190531787976683,-0.4292406963188488,0.06253398476502409,0.09876628824316,-0.96233041284705,-1.568773473730963,-0.6998226342814007
BRA,-0.46711078649674964,0.17924477327195232,0.7910500145311176,-0.5007524420107955,0.7632120359397898,0.6681653554722587,0.5461555384571919,0.18010910177867764,0.2179698158265814,-0.4550905406213762,-0.1666068127058288,0.783528400237191
BRN,0.43726628158105335,1.0882691314395723,-0.5640654133388706,-0.5007524420107955,0.7826127712990846,0.9004876274823768,1.0081853338774216,-0.05504113224862948,-0.020437239340261402,1.3809076409562981,1.0289247614313912,1.561091442525162
BGR,-0.42897078033215874,-0.9598413051726574,0.33934487190778856,-0.5007524420107955,0.33639585803531186,0.3045304949346826,0.2484030036308214,0.47404689431281133,0.5159786347851345,-0.28505532921615967,-0.5355980392913905,-0.005997150393672375
BFA,0.06071591095245291,0.19046729621229347,-0.4027421481162529,-0.5007524420107955,0.7147101975415536,0.8095789123479825,0.8849773884320267,0.297684218792331,0.33717334341000277,0.8765335307205999,0.748491429226364,1.2979162589815407
