Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,-0.7214472617828546,-1.8331243811134608,2.0044412463903716,0.7205388267727373,-0.33463386021973673,-0.6544760037997519,-0.9690359353390438,0.06440917358793197,0.054051502356114424,-0.9141970905009426,-1.0935718222615203,-1.5150145721328212
ALB,0.33111840050835717,-0.07109768306088915,0.050991206902764166,0.30597414103469345,-0.7351225368697588,-0.7688492027675505,-0.7897748192103581,-0.9225200930897969,-0.9240507187503695,0.1152556052989877,0.01653903353272682,-0.8703457399918691
DZA,-0.7766905312568634,-1.2477530955188145,1.1961170921196378,-0.48670998334354393,0.5564534453265627,0.39567791399548946,0.2119784768028853,0.5578738069267962,0.5431026129093565,-1.0070019106235257,-1.3885288129314894,-0.8946728657330373
AND,-0.3605722733977985,0.0826361899235635,0.32043259165967525,1.2171053184809435,-1.1155867796872798,-1.2055468715536903,-1.2642895383745258,-0.9842031722571548,-0.9851821075695246,-0.6368575894396318,-0.310595083392148,-1.162271248885885
AGO,-0.5169048975826399,0.5793148564887183,1.0950765728357958,-0.5322665422158565,0.5364290114940613,0.39567791399548946,0.23306801987684825,0.3111414902573641,0.29857705763273523,-0.45339786780734337,-0.8951462103562685,-0.14053196775682925
ATG,0.7012721134548522,0.05307198358039955,-1.0604545052194958,-0.5322665422158565,0.5063923607453099,0.6868096931862495,0.8657543120957387,0.12609225275529007,0.11518289117526982,1.9251287575737697,1.1588270155818794,1.1488056965250746
ARG,-0.5832035719395553,-0.6269047623123715,1.3645179575927076,0.11919224965821232,-0.19446282339222878,-0.41533204232162757,-0.6316032461556355,0.5578738069267962,0.5431026129093565,-0.5465610076987397,-0.7342605790817399,-0.8825093028624531
ARM,-0.2110492565784746,-0.3076113338062008,0.08467137999737798,0.8253189121790561,-0.975415742859772,-1.0287882913307291,-1.0533941076348958,-0.9225200930897969,-0.9240507187503695,-0.4548311468825956,-0.14970945211761943,-1.2717433147211412
AUS,-0.7289439183325196,-1.4369640161150639,1.532918823065777,-0.4457090803584627,0.5164045776615602,0.3020998421127453,0.06435167528514416,1.668169231939241,1.643467611654151,-0.8138675552332849,-0.986314734745168,-0.6270744825801892
AUT,1.393210621270882,0.35462688828067196,-1.0604545052194958,1.0895469536384685,-1.466014371756049,-1.3615103246915976,-1.2115656806896185,-1.4159847264286611,-1.4131018293036115,0.2571502337489608,0.7029843936373819,-1.113616997403549
AZE,-0.4165832287631387,-0.03562063544909232,-0.4878915626110586,0.02807913191358732,-0.6550248015397544,-0.6024881860871162,-0.536700302322802,-0.7991539347550807,-0.801787941112059,-0.6275412754504921,-0.6270034915653876,-0.8216914885095331
BHS,0.03353183322785283,0.543837808876921,-0.2858105240433751,-0.5322665422158565,0.5564534453265627,0.6244243119310865,0.6759484244300715,-0.058956984746784236,-0.06821127528219599,0.45494274613377156,0.23105320856543154,0.8203894990193067
BHR,-0.8087626887156857,-1.7858216509643985,1.2971576114034793,-0.5322665422158565,1.0871009418878417,0.9259536546643738,0.7392170536519607,1.7915353902739573,1.765730389292461,-1.0833240213807083,-1.704937221104729,-0.11620484201566111
BGD,-0.060157930701190535,-0.2603086036571382,-0.7573329473679702,-0.5322665422158565,0.546441228410312,0.6868096931862495,0.8130304544108312,-0.30568930141621636,-0.3127368305588172,0.11812216344949225,-0.7342605790817399,1.1366421336544903
BRB,0.24894510923154303,-0.04153347671772519,-1.0267743321248817,-0.5322665422158565,0.5164045776615602,0.6972072567287768,0.8762990836327204,0.12609225275529007,0.11518289117526982,1.0239545390089158,0.7619757917713758,1.1974599480074104
BLR,0.2538011049031254,1.0759935230538722,-0.9257338128410398,1.121436544849087,-1.4459899379235481,-1.3615103246915976,-1.2326552237635815,-1.5393508847633772,-1.5353646069419218,-0.5540857228438142,0.7405243742681054,-1.0771263087917973
BEL,0.29581446004688894,0.9104339675321542,-0.7910131204625841,0.24675061450068736,-1.0955623458547787,-1.0079931642456748,-0.8952225345801732,-1.4776678055960193,-1.4742332181227666,-0.47203049578562273,0.7673386461471934,-0.7852007998977812
BLZ,0.7050130286388859,0.3428012057434062,-0.7236527742733564,-0.5322665422158565,0.4763557099965582,0.6036291848460323,0.728672282114979,-0.24400622224885826,-0.2516054417396618,1.4299308370741162,1.2982612293531375,1.3069320138426666
BEN,-0.45598616506969175,0.7921771421594984,0.2193920723758338,-0.5322665422158565,0.8267833020653271,0.8323755827816294,0.8130304544108312,0.06440917358793197,0.054051502356114424,-0.4000082222541971,-0.605552074062117,0.8690437505016425
BTN,-0.09825384834733604,-0.5086479369397157,0.7245946687950428,1.280884500902181,-0.9954401766922731,-1.1535590538410547,-1.285379081448489,-0.9225200930897969,-0.9240507187503695,-0.3362273034054718,-0.6806320353235638,-1.0527991830506291
BOL,-0.45926875910422027,0.10628755499809459,1.1624369190250234,-0.16325841535012522,0.526416794577811,0.36448522336790795,0.19088893372892218,0.8046061235962286,0.7876281681859773,-0.1742667679019673,-0.48220642341831194,0.20004779261952257
BIH,0.5004137443428875,0.3132369994002423,-0.31949069713798894,0.515534311847331,-0.9854279597760227,-0.9768004736180933,-0.9374016207280991,-1.169252409759229,-1.1685762740269905,0.003459837429312067,0.3436731504576012,-0.9554906800859573
BWA,-0.7232432093883763,-0.6387304448496371,2.0044412463903716,-0.523155230441394,0.7366733498190723,0.4476657317081252,0.13816507604401462,0.8662892027635865,0.8487595570051327,-0.8561492879532263,-1.125748948516426,-0.26216759646266924
BRA,-0.19436986698864922,0.8394798723085606,0.28675241856506145,-0.5322665422158565,0.6766000483215693,0.6556170025586681,0.623224566745164,0.18777533192264817,0.17631427999442484,0.17473668692195626,0.547461616738671,0.9055344391133946
BRN,0.9398422813915398,1.0700806817852397,-0.7910131204625841,-0.5322665422158565,0.5764778791590637,0.7180023838138311,0.8446647690217758,-0.30568930141621636,-0.3127368305588172,1.723036407963202,1.443058297500213,1.5015490197720103
BGR,-0.05198908876008404,0.26002142798254724,0.050991206902764166,0.5383125912834873,-0.8452569229485148,-0.883222401735349,-0.9057673061171545,-1.0458862514245129,-1.04631349638868,-0.371342640749152,-0.42321502528431804,-0.8825093028624531
BFA,-0.6159004492769582,-1.3955741272346343,0.8593153611734986,-0.5322665422158565,1.077088724971591,0.9883390359195365,0.8657543120957387,0.8046061235962286,0.7876281681859773,-0.5816763450424199,-0.7235348703301048,0.5284639901252904
BDI,-0.391794527049157,1.0996448881284038,0.6572343226058145,-0.5322665422158565,0.15596476867654058,0.06295588063462096,-0.04109604008467093,-0.24400622224885826,-0.2516054417396618,-0.39105022803387046,0.4133902573432305,0.1027392896548505
CPV,-0.6614246737047512,-0.7155973813418633,-1.0267743321248817,-0.5322665422158565,0.4663434930803075,0.6348218754736138,0.8130304544108312,0.43450764859208,0.42083983527104607,-0.7490116770781204,-1.168651783522967,0.8447166247604746
KHM,0.6721136579639164,0.6325304279064129,-0.9594139859356536,-0.5322665422158565,0.6265389637403165,0.790785328611521,0.9606572559285721,-0.12064006391414206,-0.12934266410135137,1.5392183665621004,0.7673386461471934,1.4042405168073386
CMR,0.2148603128509627,1.0523421579793415,0.32043259165967525,-0.5322665422158565,0.586490096075314,0.5620389306759239,0.5177768513753489,-0.18232314308150016,-0.1904740529205064,0.672801165572114,0.5796387429935768,0.5649546787370425
