Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,-0.5346280868316127,-0.5796020321633093,1.0950765728357958,0.5565352148324122,-0.4347560293822423,-0.6232833131721705,-0.8003195907473395,0.43450764859208,0.44838254891484103,-0.4544728271137826,-0.32668364651960086,-1.3203975662034773
ALB,-0.28749970407087716,-0.159790302090381,0.32043259165967525,0.28775151748576855,-0.6950736692047564,-0.7688492027675505,-0.8319539053582841,-0.36737238058357446,-0.35505856127977053,-0.26671326825573755,0.17206181043143767,-0.9676542429565412
DZA,-0.7978982781098812,-1.011239444773503,1.6002791692550047,-0.48670998334354393,0.6265389637403165,0.40607547753801676,0.15925461911797775,1.3597538361024508,1.375429983754778,-1.0492836433434674,-1.5279630267027475,-1.0527991830506291
AND,-0.2403824707067567,0.20089301529621933,0.08467137999737798,1.1897713831575558,-1.1456234304360315,-1.2055468715536903,-1.2431999953005628,-0.6141046972530066,-0.6022712105704203,-0.32010291380888395,0.19351322793470807,-1.210925500368221
AGO,0.023580774201427467,0.6443561104436787,0.6235541495112007,-0.5322665422158565,0.40627019158280436,0.32289496919779953,0.22252324833986678,-0.24400622224885826,-0.23145223663444578,0.31376475722142455,-0.14434659774180192,0.23653848123127466
ATG,-0.418519026479549,-0.14796461955311527,-0.9930941590302678,-0.5322665422158565,0.4963801438290592,0.6660145661011954,0.8341199974847942,0.7429230444288702,0.7573983605281532,-0.07895370939769245,0.0004504704052737335,0.8812073133722267
ARG,-0.4183300802081438,-0.6091662385064732,0.8256351880788841,0.13741487320713724,-0.2945849925547343,-0.436127169406682,-0.5683346169337463,-0.36737238058357446,-0.35505856127977053,-0.47167217601680966,-0.718172015954287,-0.6514016083213573
ARM,-0.5130219958039975,0.047159142311766676,0.96035588045734,1.5405568864743624,-1.0555134781897764,-1.236739562181272,-1.411916339892267,-0.36737238058357446,-0.35505856127977053,-0.6200165603054177,-0.22478941337906622,-1.5028510092622371
AUS,-0.6808132671489169,-1.2950558256678766,1.0950765728357958,-0.47304301568185014,0.4763557099965582,0.32289496919779953,0.15925461911797775,0.8046061235962286,0.8192015228508156,-0.746861758465242,-0.9970404434968032,-0.4081303509096773
AUT,0.08239345028084924,0.7330487294731706,-0.45421138951644474,0.9483216211342997,-1.2257211657660358,-1.2055468715536903,-1.1482970514677293,-0.8608370139224387,-0.8494838598610702,-0.08612010477395371,0.7834272092746462,-1.1501076860153012
