Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,-0.7925199390685639,-1.8212986985761952,1.7349998616334605,-0.43204211269676895,0.6966244821540702,0.4580632952506525,0.19088893372892218,2.1616338652781057,2.178871093949389,-1.0206180618384222,-1.3885288129314894,-1.186598374627053
ALB,-0.6973281445652028,-1.7799088096957658,1.0277162266465683,-0.5277108863286252,0.3461968900853009,0.19812420668747388,0.043262132211181026,0.9896553610983027,1.004611009818803,-0.7715858225133434,-0.9326861909869918,-0.32298541081558924
DZA,-0.7986073238546811,-1.0467164923852996,1.6002791692550047,-0.5322665422158565,1.4976018354541145,1.3106635057378782,1.076649742835369,2.2233169444454637,2.240674256272052,-1.0435505270424583,-1.4796973373203888,-0.5662566682272692
AND,-0.5828255014979863,-0.4849965718651845,0.5561938033219731,-0.45482039213292524,-0.2645483418059829,-0.36334422460899185,-0.46288690156393125,0.5578738069267962,0.5719888735601661,-0.5397529320912916,-0.40712646215686515,-0.8338550513801173
AGO,-0.7987559947366554,-0.6209919210437386,2.038121419484986,-0.43659776858400023,0.26609915475529644,-0.041019754790650474,-0.3574391861941162,-0.12064006391414206,-0.10784591198912104,-1.0654080329400553,-1.662034386098188,-0.6392380454507731
ATG,0.1239463534829645,0.13585176134125854,-1.296215716881793,-0.5322665422158565,0.5764778791590637,0.8011828921540483,1.0239258851504613,0.8046061235962286,0.8192015228508156,1.3693747961447085,1.0086670930589863,1.2096235108779945
ARG,-0.6102298801717218,-0.7451615876850273,0.96035588045734,1.4221098334063498,-0.975415742859772,-1.1535590538410547,-1.327558167596415,-0.9842031722571548,-0.9730901845063952,-0.8833815903830191,-1.1096603853889733,-1.210925500368221
ARM,-0.6040719146461646,-1.2004503653697522,1.061396399741182,-0.504932606892469,0.25608693783904607,0.10454613480472938,-0.06218558315863406,1.1130215194330189,1.1282173344641278,-0.4877965656133975,-0.5036578409215823,-0.8216914885095331
AUS,-0.6822295595166002,-1.3896612859660014,1.0950765728357958,-0.22248194188413145,-0.15441395572722671,-0.33215153398141056,-0.5050659877118573,-0.058956984746784236,-0.04604274966645829,-0.8496995321145913,-0.9648633172418974,-0.8581821771212852
AUT,-0.13140290214579584,0.17132880895305538,-0.1510898316649193,-0.33637333906491274,-0.5048415477959961,-0.4985125506618448,-0.48397644463789435,-0.24400622224885826,-0.23145223663444578,0.0536246050631409,0.5903644517452118,-0.5784202310978531
AZE,-0.676526080874276,-0.9166339844753781,0.8593153611734986,-0.49582129511800643,0.6265389637403165,0.520448676505815,0.39123959293157085,1.2363876777677352,1.251823659109453,-0.683797479154143,-0.7825262684640985,-0.2500040335920853
BHS,-0.23718032863346694,-0.11248757194131843,0.11835155309199179,-0.5322665422158565,0.9168932543115828,0.9363512182069008,0.929022941317628,0.8662892027635865,0.8810046851734784,0.45171786821445387,0.1184332666732615,1.3069320138426666
BHR,-0.8087626887156857,-1.543395158950454,1.6676395154442323,-0.5322665422158565,1.998212681266642,1.820144119321708,1.5827987766104814,4.320541636135637,4.341981775242575,-1.0833240213807083,-1.7103000754805464,0.2730291698430267
BGD,2.0777682564754354,1.572672189619027,-1.4982967554494768,-0.5322665422158565,0.6766000483215693,0.9363512182069008,1.182097458205184,-0.12064006391414206,-0.10784591198912104,4.0847220042101,0.8585071705360927,1.7569838400542743
BRB,0.4545995107363839,0.2068058565648522,-1.296215716881793,-0.5322665422158565,0.546441228410312,0.7699902015264668,0.9817467990025355,0.43450764859208,0.44838254891484103,1.8147662687793458,1.7058381619152767,1.3190955767132504
BLR,-0.17267266009251708,0.12993892007262567,-0.2858105240433751,-0.523155230441394,-0.39470716171723985,-0.36334422460899185,-0.3258048715831718,-0.18232314308150016,-0.16964907431178342,0.019942546794712846,1.0408442193138916,-0.45678460239201313
BEL,-0.4281080497533677,0.5379249676082886,-0.016369139286464048,-0.5185995745541626,-0.34464607713598705,-0.36334422460899185,-0.36798395773109766,-0.12064006391414206,-0.10784591198912104,-0.40179982109826234,0.4455673835981363,-0.48111172813318126
BLZ,0.3209232473728114,-0.08292336559815448,-0.521571735705673,-0.5322665422158565,0.706636699070321,0.8115804556965752,0.9079333982436646,0.5578738069267962,0.5719888735601661,1.6345314250663752,1.5395896762649304,1.4407312054190904
BEN,0.6115874546678952,1.448502522977738,-0.5889320818949005,-0.5322665422158565,0.5965023129915648,0.7180023838138311,0.8235752259478129,-0.12064006391414206,-0.10784591198912104,1.4596713778856005,0.9335871317975393,1.1123150079133224
BTN,2.9302718721956347,1.6377134435739875,-0.6226122549895144,-0.00836611518426271,-0.6350003677072533,-0.5712954954595347,-0.4734316731009127,-0.6141046972530066,-0.6022712105704203,3.937452579227932,1.7433781425460002,-0.48111172813318126
BOL,-0.7336902467752262,-0.7392487464163944,1.8697205540119164,0.24219495861345602,0.20602585325779332,-0.07221244541823198,-0.36798395773109766,0.12609225275529007,0.13936673730152882,-0.9321130789415958,-1.436794502313848,-0.26216759646266924
BIH,-0.5628076808958594,-0.9402853495499092,0.690914495700429,-0.523155230441394,0.1059036840952878,0.000570499379457948,-0.10436466930655994,0.4961907277594384,0.5101857112375034,-0.5053542342852375,-0.41248931653268284,-0.3473125365567573
BWA,-0.8064754443776216,-2.5190139682748645,3.2169274777964736,0.12374790554544356,0.14595255176028987,-0.34254909752393764,-0.853043448432247,-0.36737238058357446,-0.35505856127977053,-1.0797408236925776,-1.6888486579772761,-0.8216914885095331
BRA,-0.41500250860663757,0.13585176134125854,0.6572343226058145,-0.5185995745541626,0.5564534453265627,0.4684608587931794,0.3806948213945892,-0.18232314308150016,-0.16964907431178342,-0.4003665420230101,-0.07462949085617285,0.6257724930899625
BRN,0.7228618917147137,0.9340853326066858,-0.6899726011787426,-0.5322665422158565,0.706636699070321,0.8323755827816294,0.9501124843915909,-0.12064006391414206,-0.10784591198912104,1.6588971693456633,1.1051984718237031,1.4528947682896745
BGR,-0.6529715156717196,-1.058542174922565,0.8929955342681124,-0.5277108863286252,0.30614802242029887,0.17732907960241967,0.043262132211181026,0.7429230444288702,0.7573983605281532,-0.6823642000788906,-0.6591806178202931,-0.20134978210974924
BFA,-0.041362379673378906,-0.4140424766415909,-0.050049312381077855,-0.5322665422158565,0.8367955189815779,0.8739658369517381,0.8868438551697017,0.7429230444288702,0.7573983605281532,0.8917345443168956,0.5206473448595829,1.0028429420780667
BDI,-0.6782283089045216,0.3309755232061409,0.9266757073627262,-0.5322665422158565,0.18600141942529194,0.052558317092093666,-0.09381989776957847,0.002726094420573864,0.015760412656204075,-0.8350084215932555,-0.8576062297255451,-0.2135133449803332
CPV,-0.21539831569306578,-0.3490012226866301,-1.296215716881793,-0.5322665422158565,0.36622132391780193,0.5828340577609781,0.7919409113368683,0.5578738069267962,0.5719888735601661,0.34422193757053493,-0.5948263653104818,0.7838988104075546
KHM,0.8685775500384497,1.3775484277541452,-0.8583734666518119,-0.5322665422158565,0.7166489159865713,0.8739658369517381,1.0239258851504613,-0.058956984746784236,-0.04604274966645829,2.0136337404705955,1.4001554624936723,1.5380397083837622
CMR,0.5610425315249258,1.690929014991683,-0.5889320818949005,-0.5322665422158565,0.3962579746665537,0.4996535494207609,0.602135023671201,-0.4290554597509323,-0.41686172360243307,0.985972643514731,0.928224277421722,0.8082259361487225
CAN,-0.35775329362387676,0.5201864438023904,-0.050049312381077855,0.36519766756869976,-0.8552691398647654,-0.883222401735349,-0.8846777630431916,-0.4907385389182904,-0.47866488592509565,-0.4272405246839898,0.01653903353272682,-0.8703457399918691
CAF,0.5784878933579023,0.5556634914141868,-0.1847700047595337,-0.5322665422158565,0.4963801438290592,0.5412438035908697,0.581045480597238,-0.18232314308150016,-0.16964907431178342,1.3227932261990103,0.7727015005230107,0.8690437505016425
TCD,-0.4761741018492529,-1.0999320638029948,0.9266757073627262,-0.5322665422158565,1.1371620264690945,1.0299292900896453,0.8973886267066833,1.5448030736045253,1.5608394707227649,0.0145677502625169,0.18278751918307268,0.18788422974893884
CHL,0.217630583842786,-0.5796020321633093,-0.2521303509487613,1.7091161543019189,-1.4560021548397986,-1.4758835236593963,-1.4646401975771746,-1.169252409759229,-1.1584996714743825,-0.22192329715410464,-0.9648633172418974,-1.3812153805563971
CHN,-0.25372472934546386,0.46105803111606203,0.45515328403813105,-0.031144394620418958,0.055842599514035036,-0.009827064163068973,-0.083275126232597,0.3111414902573641,0.3247762242695163,0.1277967972074449,0.4509302379739536,-0.28649472220383737
COL,0.9159304388798252,0.7744386183536003,0.01731103380815036,-0.523155230441394,0.5063923607453099,0.520448676505815,0.5283216229123305,-0.058956984746784236,-0.04604274966645829,2.1010637640609833,1.641483909405465,0.9176980019839787
COM,-0.4330446854496894,-0.922546825744011,-0.4878915626110586,-0.5322665422158565,0.43630684233155576,0.5308462400483424,0.6126797952081827,0.3111414902573641,0.3247762242695163,-0.2634883903364199,-1.0613946960066147,0.5771182416076267
COG,-0.27797561864717824,1.3893741102914101,-0.42053121642183094,-0.5322665422158565,0.37623354083405264,0.4580632952506525,0.5388663944493118,-0.5524216180856485,-0.540468048247758,-0.34088546040004164,-0.8415176665980924,0.6744267445722988
COD,-0.27528581930561485,0.6798331580554751,0.42147311094351725,-0.5322665422158565,0.4863679269128085,0.43726816816559827,0.3806948213945892,-0.24400622224885826,-0.23145223663444578,-0.18788291911686364,-0.7074463072026519,0.46764617577237044
CRI,1.1083786066927248,0.20089301529621933,-0.2184501778541475,-0.5322665422158565,0.5063923607453099,0.5516413671333966,0.5915902521342193,0.002726094420573864,0.015760412656204075,2.5636545855986475,1.7058381619152767,1.1852963851368266
CIV,0.7498503159944543,1.8328372054388693,-0.8583734666518119,-0.5322665422158565,0.5063923607453099,0.6556170025586681,0.8024856828738496,-0.4290554597509323,-0.41686172360243307,1.2711951794899292,1.0408442193138916,1.0393336306898187
HRV,-0.5521227166954397,-0.9284596670126438,0.5225136302273593,-0.5277108863286252,0.12592811792778882,0.052558317092093666,-0.03055126854768946,0.43450764859208,0.44838254891484103,-0.49460464122084563,-0.22478941337906622,-0.1891862192391653
CUB,-0.09297223270496499,0.10628755499809459,-0.08372948547569166,-0.5322665422158565,0.8468077358978285,0.8947609640367924,0.9184781697806462,0.5578738069267962,0.5719888735601661,0.638760787534873,0.31149602420269584,1.4772218940308424
CYP,-0.8046245358825113,-1.7444317620839689,0.5898739764165869,-0.5322665422158565,0.8868566035628306,0.8323755827816294,0.749761825188942,1.9149015486086733,1.9316584446587397,-1.0682745910905598,-1.603042987964194,0.20004779261952257
CZE,-0.5100216694075957,0.3664525708179373,0.28675241856506145,-0.49126563923077515,-0.304597209470985,-0.3529466610664648,-0.3996182723420422,0.002726094420573864,0.015760412656204075,-0.5150288680431903,0.1345218298007142,-0.5419295424861013
DNK,-0.21956854723037333,0.23637006290801615,-0.7910131204625841,-0.5140439186669314,-0.6049637169585016,-0.5089101142043719,-0.38907350080506076,-0.36737238058357446,-0.35505856127977053,-0.16029229691825772,0.5957273061210294,-0.5054388538743492
DJI,-0.6710197519122698,-0.8988954606694799,0.4888334571327449,-0.5322665422158565,1.267320846380352,1.2378805609401882,1.182097458205184,1.7915353902739573,1.808052120013415,-0.5978007346390078,-0.9755890259935328,1.3069320138426666
DMA,1.2074566496662786,0.26002142798254724,-1.4309364092602488,-0.5322665422158565,0.18600141942529194,0.41647304108054367,0.6548588813561086,0.002726094420573864,0.015760412656204075,2.752130783994319,1.8238209581832645,0.8690437505016425
DOM,-0.2949644378651045,0.029420618505868468,-0.31949069713798894,-0.5322665422158565,0.6565756144890682,0.7387975108988852,0.7919409113368683,0.6195568860941546,0.6337920358828285,0.18154476252940438,0.3865759854641424,1.0393336306898187
ECU,-0.25820084192103016,1.2474659198442235,0.8593153611734986,-0.35004030672660646,0.3261724562527999,0.19812420668747388,0.07489644682212562,-0.18232314308150016,-0.16964907431178342,-0.1284018374938952,-0.010275238346361465,0.28519273271361045
EGY,-0.7973499259416531,-1.7503446033526018,1.4655584768765488,-0.5322665422158565,1.2973574971291035,1.1131097984298626,0.8973886267066833,2.716781577784328,2.7350995548533517,-1.0335175735156927,-1.6888486579772761,-0.26216759646266924
SLV,0.5975876132819944,-0.33717554014936474,0.18571189928122,-0.5322665422158565,0.5764778791590637,0.5724364942184508,0.5494111659862935,0.4961907277594384,0.5101857112375034,2.221459206382172,2.3332921238859385,0.7838988104075546
GNQ,-0.2638648459108815,1.9983967609605882,-1.0604545052194958,-0.5322665422158565,0.29613580550404817,0.4684608587931794,0.644314109819127,-0.6141046972530066,-0.6022712105704203,-0.3516350534644335,-0.3588607727745067,0.8933708762428104
ERI,-0.5253417216798055,-0.3016984925375679,0.45515328403813105,-0.5322665422158565,0.8468077358978285,0.8115804556965752,0.7603065967259236,1.0513384402656605,1.0664141721414655,-0.27459630316962497,-0.8683319384771804,0.5163004272547067
EST,-0.1390223581560853,0.3723654120865702,-0.8246932935571981,-0.47304301568185014,-0.665037018456005,-0.5712954954595347,-0.4417973584899683,-0.4907385389182904,-0.47866488592509565,-0.10905256997798986,0.9067728599184511,-0.5540931053566852
ETH,-0.3496919569358747,-0.3844782702984269,0.7582748418896565,-0.5185995745541626,0.3962579746665537,0.291702278570218,0.18034416219194072,0.6195568860941546,0.6337920358828285,0.046816529455692577,-0.4500292971634061,0.029757912431346775
FJI,-0.04537201844341137,0.30141131686297695,-1.1614950245033375,-0.5322665422158565,0.21603807017404367,0.40607547753801676,0.602135023671201,-0.24400622224885826,-0.23145223663444578,0.19802747189480535,1.1266498893269736,0.5041368643841225
FIN,-0.2907841869403372,0.7685257770849669,-0.521571735705673,-0.2361489095458252,-0.7951958383672619,-0.7480540756824963,-0.6737823323035614,-0.5524216180856485,-0.540468048247758,-0.3588014488406948,0.9014100055426338,-0.7730372370271973
FRA,-0.6457736571852378,-0.3490012226866301,0.32043259165967525,-0.5094882627797002,-0.10435287114597395,-0.1553929537584492,-0.20981238467637503,0.3728245694247222,0.38657938659217866,-0.7185544967290101,-0.3320465008954186,-0.4324574766508452
GAB,-0.625367279063637,2.2053462053627357,-0.9594139859356536,-0.5322665422158565,0.3161602393365492,0.4788584223357067,0.6337693382821457,-0.7374708555877225,-0.7258775352157453,-0.8575825670284786,-1.2008289097778728,0.7352445589252188
GMB,0.11587362462491221,-0.3903911115670598,-0.016369139286464048,-0.5322665422158565,0.9269054712278327,0.9675439088344823,0.9817467990025355,0.6812399652615124,0.6955951982054909,1.2446795165977627,0.8745957336635458,1.2096235108779945
GEO,-0.4383815889051723,-0.5263864607456138,0.8593153611734986,-0.24070456543305643,-0.04427956964847049,-0.1761880808435034,-0.3152601000461901,0.4961907277594384,0.5101857112375034,-0.21296530293377805,-0.29450652026469526,-0.6392380454507731
DEU,-0.4288440259556964,0.4255809835042652,-0.1510898316649193,-0.5185995745541626,-0.3846949448009895,-0.373741788151519,-0.3574391861941162,-0.18232314308150016,-0.16964907431178342,-0.4243739665334853,0.4831073642288594,-0.5540931053566852
