"Forest area, change (%)"
"HDI Rank","Country","1990/2015"
"168"," Afghanistan","0.0"
"68"," Albania","-2.2"
"85"," Algeria","17.3"
"35"," Andorra","0.0"
"147"," Angola","-5.1"
"70"," Antigua and Barbuda","-4.9"
"47"," Argentina","-22.1"
"83"," Armenia","-0.9"
"3"," Australia","-2.9"
"20"," Austria","2.5"
"80"," Azerbaijan","34.6"
"54"," Bahamas","0.0"
"43"," Bahrain","144.1"
"136"," Bangladesh","-4.4"
"58"," Barbados","0.0"
"53"," Belarus","10.9"
"106"," Belize","-15.5"
"163"," Benin","-25.2"
"134"," Bhutan","34.7"
"118"," Bolivia (Plurinational State of)","-12.8"
"77"," Bosnia and Herzegovina","-1.5"
"101"," Botswana","-21.0"
"79"," Brazil","-9.7"
"39"," Brunei Darussalam","-8.0"
"51"," Bulgaria","17.1"
"183"," Burkina Faso","-21.9"
"185"," Burundi","-4.5"
"125"," Cabo Verde","55.7"
"146"," Cambodia","-26.9"
"151"," Cameroon","-22.6"
"12"," Canada","-0.3"
"188"," Central African Republic","-1.7"
"186"," Chad","-27.3"
"44"," Chile","16.2"
"86"," China","32.6"
"90"," Colombia","-9.2"
"165"," Comoros","-24.5"
"137"," Congo","-1.7"
"176"," Congo (Democratic Republic of the)","-4.9"
"63"," Costa Rica","7.5"
"46"," Croatia","3.8"
"73"," Cuba","60.5"
"32"," Cyprus","7.2"
"27"," Czechia","1.5"
"170"," Côte d'Ivoire","1.8"
"11"," Denmark","13.8"
"172"," Djibouti","0.0"
"103"," Dominica","-13.3"
"94"," Dominican Republic","79.5"
"86"," Ecuador","-4.4"
"115"," Egypt","65.9"
"121"," El Salvador","-29.7"
"141"," Equatorial Guinea","-15.7"
"30"," Estonia","1.2"
"144"," Eswatini (Kingdom of)","24.2"
"173"," Ethiopia","-17.8"
"92"," Fiji","6.7"
"15"," Finland","1.8"
"24"," France","17.7"
"110"," Gabon","4.5"
"174"," Gambia","10.4"
"70"," Georgia","2.6"
"5"," Germany","1.1"
"140"," Ghana","8.2"
"31"," Greece","22.9"
"75"," Grenada","0.0"
"127"," Guatemala","-25.4"
"175"," Guinea","-12.4"
"177"," Guinea-Bissau","-11.0"
"125"," Guyana","-0.8"
"168"," Haiti","-16.4"
"133"," Honduras","-43.6"
"45"," Hungary","14.0"
"6"," Iceland","205.6"
"130"," India","10.5"
"116"," Indonesia","-23.2"
"60"," Iran (Islamic Republic of)","17.8"
"120"," Iraq","3.3"
"4"," Ireland","62.2"
"22"," Israel","25.0"
"28"," Italy","22.5"
"97"," Jamaica","-2.7"
"19"," Japan","0.0"
"95"," Jordan","-0.6"
"58"," Kazakhstan","-3.3"
"142"," Kenya","-6.6"
"134"," Kiribati","0.0"
"n.a"," Korea (Democratic People's Rep. of)","-38.7"
"22"," Korea (Republic of)","-3.9"
"56"," Kuwait","81.2"
"122"," Kyrgyzstan","-23.8"
"139"," Lao People's Democratic Republic","6.3"
"41"," Latvia","5.8"
"80"," Lebanon","4.8"
"159"," Lesotho","22.5"
"181"," Liberia","-15.2"
"108"," Libya","0.0"
"17"," Liechtenstein","6.2"
"35"," Lithuania","12.1"
"161"," Madagascar","-8.9"
"171"," Malawi","-19.2"
"57"," Malaysia","-0.8"
"101"," Maldives","0.0"
"182"," Mali","-29.5"
"29"," Malta","0.0"
"159"," Mauritania","-45.9"
"65"," Mauritius","-6.1"
"74"," Mexico","-5.3"
"112"," Moldova (Republic of)","28.2"
"92"," Mongolia","0.1"
"50"," Montenegro","32.1"
"123"," Morocco","13.7"
"180"," Mozambique","-12.5"
"148"," Myanmar","-25.9"
"129"," Namibia","-21.0"
"n.a"," Nauru","0.0"
"149"," Nepal","-24.7"
"10"," Netherlands","9.2"
"16"," New Zealand","5.1"
