"Female share of graduates in science, mathematics, engineering, manufacturing and construction at tertiary level (%)"
"HDI Rank","Country","2007-2017"
"68"," Albania","13.4  a"
"85"," Algeria","26.9  a"
"147"," Angola","9.9  a"
"47"," Argentina","9.1  a"
"83"," Armenia","7.3  a"
"3"," Australia","9.7  a"
"20"," Austria","14.3  a"
"80"," Azerbaijan","15.2  a"
"43"," Bahrain","12.6  a"
"136"," Bangladesh","7.9  a"
"53"," Belarus","15.5  a"
"17"," Belgium","7.7  a"
"106"," Belize","11.7  a"
"163"," Benin","19.1  a"
"77"," Bosnia and Herzegovina","14.7  a"
"79"," Brazil","8.7  a"
"39"," Brunei Darussalam","23.6  a"
"51"," Bulgaria","12.3  a"
"183"," Burkina Faso","12.5  a"
"185"," Burundi","17.1  a"
"125"," Cabo Verde","7.0  a"
"146"," Cambodia","6.0  a"
"44"," Chile","6.5  a"
"90"," Colombia","14.2  a"
"63"," Costa Rica","7.0  a"
"46"," Croatia","16.0  a"
"73"," Cuba","6.1  a"
"32"," Cyprus","10.4  a"
"27"," Czechia","13.2  a"
"11"," Denmark","12.2  a"
"94"," Dominican Republic","6.6  a"
"86"," Ecuador","8.3  a"
"115"," Egypt","7.7  a"
"121"," El Salvador","9.5  a"
"30"," Estonia","16.3  a"
"173"," Ethiopia","7.6  a"
"15"," Finland","13.5  a"
"24"," France","14.1  a"
"70"," Georgia","16.0  a"
"140"," Ghana","6.0  a"
"31"," Greece","19.5  a"
"75"," Grenada","11.0  a"
"127"," Guatemala","5.4  a"
"125"," Guyana","5.2  a"
"133"," Honduras","8.6  a"
"45"," Hungary","11.7  a"
"6"," Iceland","10.3  a"
"130"," India","26.9  a"
"116"," Indonesia","14.8  a"
"60"," Iran (Islamic Republic of)","32.1  a"
"4"," Ireland","13.7  a"
"28"," Italy","16.0  a"
"95"," Jordan","18.4  a"
"58"," Kazakhstan","13.7  a"
"n.a"," Korea (Democratic People's Rep. of)","22.2  a"
"22"," Korea (Republic of)","15.4  a"
"122"," Kyrgyzstan","9.6  a"
"139"," Lao People's Democratic Republic","5.7  a"
"41"," Latvia","10.0  a"
"80"," Lebanon","18.0  a"
"159"," Lesotho","4.5  a"
"35"," Lithuania","11.4  a"
"21"," Luxembourg","5.3  a"
"161"," Madagascar","16.2  a"
"57"," Malaysia","23.2  a"
"29"," Malta","8.6  a"
"159"," Mauritania","16.8  a"
"74"," Mexico","16.6  a"
"112"," Moldova (Republic of)","12.1  a"
"92"," Mongolia","12.4  a"
"123"," Morocco","17.5  a"
"180"," Mozambique","5.9  a"
"148"," Myanmar","47.3  a"
"10"," Netherlands","6.3  a"
"16"," New Zealand","12.5  a"
"1"," Norway","10.4  a"
"48"," Oman","39.8  a"
"119"," Palestine, State of","12.6  a"
"66"," Panama","12.7  a"
"113"," Philippines","17.8  a"
"33"," Poland","15.3  a"
"41"," Portugal","18.3  a"
"37"," Qatar","15.8  a"
"52"," Romania","20.3  a"
"39"," Saudi Arabia","17.4  a"
"67"," Serbia","18.2  a"
"62"," Seychelles","9.7  a"
"38"," Slovakia","12.0  a"
"25"," Slovenia","14.0  a"
"113"," South Africa","13.4  a"
"26"," Spain","12.7  a"
"167"," Sudan","12.8  a"
"7"," Sweden","14.2  a"
"2"," Switzerland","11.4  a"
"155"," Syrian Arab Republic","19.2  a"
"83"," Thailand","14.1  a"
"80"," The former Yugoslav Republic of Macedonia","15.7  a"
"95"," Tunisia","37.2  a"
"64"," Turkey","14.2  a"
"88"," Ukraine","14.6  a"
"34"," United Arab Emirates","17.3  a"
"14"," United Kingdom","17.4  a"
"13"," United States","9.9  a"
"55"," Uruguay","10.8  a"
"116"," Viet Nam","15.4  a"
"156"," Zimbabwe","20.9  a"
"<a name="a"></a>a: Data refer to the most recent year available during the period specified.<br />"
