"Women with account at financial institution or with mobile money-service provider (% of female population ages 15 and older)"
"HDI Rank (2017)","Country","2011","","2014","","2017",""
"168"," Afghanistan","2.6","","3.8","","7.2",""
"68"," Albania","22.7","","33.6","","38.1",""
"85"," Algeria","20.4","","40.1","","29.3",""
"147"," Angola","38.9","","22.3","","22.3"," a"
"47"," Argentina","31.8","","50.9","","50.8",""
"83"," Armenia","18.1","","14.7","","40.9",""
"3"," Australia","98.6","","99.0","","99.2",""
"20"," Austria","96.6","","97.4","","98.4",""
"80"," Azerbaijan","14.3","","25.9","","27.7",""
"43"," Bahrain","48.8","","66.7","","75.4",""
"136"," Bangladesh","26.0","","26.5","","35.8",""
"53"," Belarus","58.1","","72.0","","81.3",""
"17"," Belgium","97.2","","99.5","","98.8",""
"106"," Belize","","","52.3","","52.3"," a"
"163"," Benin","9.8","","13.6","","28.6",""
"134"," Bhutan","","","27.7","","27.7"," a"
"118"," Bolivia (Plurinational State of)","25.1","","38.0","","53.9",""
"77"," Bosnia and Herzegovina","47.7","","47.1","","54.7",""
"101"," Botswana","28.4","","48.7","","46.8",""
"79"," Brazil","51.0","","64.8","","67.5",""
"51"," Bulgaria","55.5","","63.2","","73.6",""
"183"," Burkina Faso","10.8","","12.6","","34.5",""
"185"," Burundi","5.9","","6.7","","6.7"," a"
"146"," Cambodia","3.7","","20.5","","21.5",""
"151"," Cameroon","10.9","","10.2","","30.0",""
"12"," Canada","97.2","","99.2","","99.9",""
"188"," Central African Republic","3.4","","","","9.7",""
"186"," Chad","6.8","","7.8","","14.8",""
"44"," Chile","41.0","","59.2","","71.3",""
"86"," China","60.0","","76.3","","76.4",""
"90"," Colombia","25.4","","34.0","","42.5",""
"165"," Comoros","17.9","","17.9"," b","17.9"," b"
"137"," Congo","7.6","","15.0","","21.0",""
"176"," Congo (Democratic Republic of the)","2.8","","14.3","","24.2",""
"63"," Costa Rica","40.7","","60.2","","60.9",""
"46"," Croatia","87.2","","87.7","","82.7",""
