Country,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017
Algeria,95.0,99.0,,,,,100.0,100.0,,
Andorra,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
Angola,,,,47.0,,,,,,
Antigua and Barbuda,47.0,,55.0,65.0,60.0,,70.0,65.0,,
Armenia,,77.0,,,,,,,,
Azerbaijan,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,90.0,
Bahamas,,,92.0,,,,,,90.0,
Bahrain,,,,80.0,82.0,82.0,83.0,82.0,84.0,
Bangladesh,,53.0,,58.0,,,,48.0,50.0,
Barbados,,73.0,58.0,55.0,,,69.0,66.0,69.0,
Belarus,,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,
Belize,54.0,,45.0,48.0,54.0,49.0,61.0,68.0,73.0,
Benin,65.0,,43.0,47.0,,,68.0,69.0,,
Bhutan,95.0,94.0,,,,,,100.0,100.0,
Bolivia (Plurinational State of),,,,56.0,56.0,57.0,57.0,58.0,58.0,
Botswana,89.0,93.0,,,100.0,99.0,,,,
Brunei Darussalam,,84.0,87.0,88.0,88.0,85.0,87.0,82.0,85.0,
Burkina Faso,,88.0,,,95.0,86.0,84.0,85.0,73.0,
Burundi,,88.0,,94.0,95.0,,92.0,100.0,100.0,
Cabo Verde,,78.0,90.0,92.0,95.0,,96.0,,93.0,
Cambodia,,98.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,
Cameroon,,63.0,57.0,67.0,79.0,,,58.0,59.0,
Central African Republic,,,,57.0,58.0,,,,,
Chad,,,70.0,68.0,66.0,65.0,,,,
Colombia,,,100.0,100.0,100.0,97.0,98.0,,95.0,
Comoros,,,,55.0,,75.0,,,,
Congo,65.0,,87.0,79.0,80.0,,,,,
Congo (Democratic Republic of the),,,92.0,90.0,94.0,,95.0,,,
Costa Rica,,97.0,89.0,91.0,,94.0,94.0,94.0,94.0,
Croatia,100.0,,,,,,,,,
Cuba,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,
Côte d'Ivoire,99.0,,,100.0,99.0,83.0,85.0,100.0,100.0,
Djibouti,,,,100.0,,96.0,,100.0,,
Dominica,65.0,60.0,61.0,58.0,61.0,65.0,65.0,64.0,66.0,
Dominican Republic,,88.0,85.0,85.0,85.0,,,,,
Ecuador,87.0,71.0,60.0,74.0,75.0,76.0,79.0,79.0,81.0,82.0
Egypt,,,,,,,,,74.0,
El Salvador,,95.0,,96.0,,,,96.0,96.0,
Equatorial Guinea,,,45.0,49.0,,,,37.0,,
Eritrea,72.0,84.0,94.0,91.0,90.0,80.0,71.0,61.0,,
Eswatini (Kingdom of),90.0,91.0,79.0,78.0,68.0,79.0,82.0,82.0,,
Fiji,,,,100.0,100.0,,,,,
Gambia,75.0,,,90.0,63.0,82.0,91.0,86.0,,88.0
Georgia,95.0,,,,,,,,,
Ghana,69.0,58.0,51.0,51.0,52.0,53.0,52.0,55.0,56.0,55.0
Grenada,67.0,75.0,65.0,,,54.0,63.0,64.0,63.0,
Guinea,,68.0,,80.0,75.0,74.0,75.0,,,
Guinea-Bissau,35.0,,39.0,,,,,,,
Guyana,51.0,57.0,66.0,68.0,70.0,,,,,
"Hong Kong, China (SAR)",88.0,93.0,96.0,96.0,96.0,96.0,96.0,96.0,97.0,
India,,,,,,,77.0,,70.0,
Iran (Islamic Republic of),,,,,,100.0,100.0,100.0,,
Iraq,100.0,,,,,,,,,
Jamaica,,,,,,,96.0,93.0,100.0,
Jordan,,,,,,,100.0,,100.0,
Kazakhstan,,,,,,,100.0,100.0,100.0,100.0
Kenya,,99.0,,,,,,,,
Kiribati,,94.0,,,,,,,73.0,
Kuwait,100.0,100.0,,78.0,78.0,77.0,79.0,79.0,,
Kyrgyzstan,,,,,,19.0,19.0,19.0,21.0,
Lao People's Democratic Republic,77.0,83.0,95.0,94.0,97.0,98.0,98.0,98.0,97.0,
Lesotho,74.0,64.0,63.0,66.0,68.0,72.0,76.0,79.0,83.0,
Liberia,,,,56.0,,,56.0,47.0,,
Madagascar,,,,,21.0,19.0,17.0,15.0,15.0,
Malawi,,,96.0,88.0,92.0,91.0,,,,
Malaysia,98.0,92.0,95.0,96.0,96.0,97.0,99.0,100.0,100.0,
Maldives,66.0,64.0,77.0,81.0,77.0,90.0,86.0,83.0,,
Mali,,,,52.0,,,,,,
Mauritania,,100.0,100.0,100.0,100.0,,91.0,,85.0,
Mauritius,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
Mexico,,95.0,96.0,96.0,96.0,96.0,97.0,96.0,97.0,
Moldova (Republic of),,,,,,,94.0,100.0,99.0,
Mongolia,100.0,100.0,98.0,99.0,99.0,100.0,100.0,,100.0,
Morocco,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
Mozambique,,60.0,76.0,80.0,84.0,87.0,90.0,93.0,,
Myanmar,63.0,76.0,100.0,,,,100.0,,,98.0
Namibia,85.0,92.0,96.0,,,,,,,
Nauru,,,,,,,,,100.0,
Nepal,,31.0,74.0,81.0,93.0,92.0,94.0,94.0,97.0,97.0
Nicaragua,73.0,77.0,75.0,,,,,,,
Niger,97.0,85.0,97.0,96.0,97.0,46.0,50.0,56.0,56.0,
Nigeria,,50.0,66.0,,,,,,,
Oman,100.0,,,,,,,,,
Pakistan,,86.0,84.0,83.0,84.0,85.0,84.0,82.0,75.0,
"Palestine, State of",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
Panama,75.0,90.0,92.0,92.0,90.0,,83.0,99.0,,
Papua New Guinea,,,,,100.0,,,,,
Paraguay,,,,,92.0,,,,,
Philippines,,,,,,100.0,,100.0,,
Rwanda,53.0,94.0,91.0,98.0,96.0,95.0,96.0,94.0,90.0,
Saint Kitts and Nevis,61.0,58.0,62.0,64.0,65.0,65.0,68.0,72.0,72.0,
Saint Lucia,,80.0,87.0,87.0,88.0,89.0,79.0,,,
Saint Vincent and the Grenadines,,,84.0,,85.0,83.0,76.0,84.0,,
Sao Tome and Principe,,,,,,,33.0,34.0,31.0,27.0
Saudi Arabia,,,,,,100.0,100.0,100.0,100.0,
Senegal,,46.0,48.0,63.0,65.0,72.0,70.0,68.0,70.0,
Serbia,,,,70.0,56.0,,,,,
Seychelles,81.0,,,87.0,76.0,69.0,71.0,84.0,83.0,
Sierra Leone,,,,48.0,55.0,57.0,,54.0,,
Solomon Islands,,,58.0,54.0,54.0,63.0,65.0,59.0,66.0,
South Africa,68.0,,,,,,,,,
South Sudan,,,,44.0,,,,,,
Sri Lanka,,,82.0,82.0,,80.0,,71.0,70.0,
Sudan,,58.0,,,,,,,,
Syrian Arab Republic,89.0,,,,,,,,,
Tajikistan,,,93.0,94.0,94.0,94.0,100.0,100.0,100.0,100.0
Tanzania (United Republic of),,100.0,94.0,,97.0,99.0,,,,
Thailand,,,,,,,100.0,100.0,,
Togo,,,77.0,71.0,82.0,76.0,,73.0,,
Tonga,,,,,,100.0,97.0,,,
Trinidad and Tobago,76.0,,,,,,,,,
Tunisia,,,,,100.0,100.0,100.0,100.0,100.0,
Ukraine,99.0,100.0,100.0,100.0,100.0,,,,86.0,
United Arab Emirates,,60.0,,,100.0,100.0,100.0,100.0,100.0,
Uruguay,,,,,,100.0,100.0,100.0,,
Uzbekistan,,,100.0,100.0,,,,,,99.0
Vanuatu,,,,,,,,28.0,,
Viet Nam,80.0,93.0,98.0,99.0,100.0,,100.0,99.0,100.0,
Zambia,,,,,93.0,,,,,
Zimbabwe,,,,,88.0,86.0,,,,
