Country,1996,2000,2005,2010,2011,2012,2013,2014,2015
Algeria,,,0.1,,,,,,
Argentina,0.4,0.4,0.4,0.6,0.6,0.6,0.6,0.6,
Armenia,,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.3
Australia,1.7,1.6,,2.4,2.2,,2.2,,
Austria,1.6,1.9,2.4,2.7,2.7,2.9,3.0,3.1,3.1
Azerbaijan,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Bahrain,,,,,,,,0.1,
Belarus,1.0,0.7,0.7,0.7,0.7,0.7,0.7,0.5,0.5
Belgium,1.7,1.9,1.8,2.1,2.2,2.4,2.4,2.5,2.5
Bolivia (Plurinational State of),0.3,0.3,,,,,,,
Bosnia and Herzegovina,,,0.0,,,0.3,0.3,0.3,0.2
Botswana,,,0.5,,,0.3,0.5,,
Brazil,,1.0,1.0,1.2,1.1,1.1,1.2,1.2,
Bulgaria,0.5,0.5,0.4,0.6,0.5,0.6,0.6,0.8,1.0
Burkina Faso,0.2,,0.2,,,,,,
Burundi,,,,0.1,0.1,,,,
Cabo Verde,,,,,0.1,,,,
Cambodia,,,,,,,,,0.1
Canada,1.6,1.9,2.0,1.8,1.8,1.8,1.7,1.6,
Chile,,,,0.3,0.4,0.4,0.4,0.4,0.4
China,0.6,0.9,1.3,1.7,1.8,1.9,2.0,2.0,2.1
Colombia,0.3,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.2
Congo (Democratic Republic of the),,,0.1,,,,,,
Costa Rica,0.3,0.4,,0.5,0.5,0.6,0.6,0.6,
Croatia,,1.0,0.9,0.7,0.8,0.8,0.8,0.8,0.9
Cuba,0.3,0.5,0.5,0.6,0.3,0.4,0.5,0.4,0.4
Cyprus,,0.2,0.4,0.4,0.5,0.4,0.5,0.5,0.5
Czechia,0.9,1.1,1.2,1.3,1.6,1.8,1.9,2.0,1.9
Denmark,1.8,,2.4,2.9,3.0,3.0,3.0,3.0,3.0
Ecuador,0.1,,,0.4,0.3,0.3,0.4,0.4,
Egypt,0.2,0.2,0.2,0.4,0.5,0.5,0.6,0.6,0.7
El Salvador,,,,0.1,0.0,0.0,0.1,0.1,0.1
Estonia,,0.6,0.9,1.6,2.3,2.1,1.7,1.5,1.5
Ethiopia,,,0.2,0.2,,,0.6,,
Finland,2.5,3.3,3.3,3.7,3.6,3.4,3.3,3.2,2.9
France,2.2,2.1,2.0,2.2,2.2,2.2,2.2,2.2,2.2
Gambia,,,,,0.1,,,,
Georgia,0.3,0.2,0.2,,,,0.1,0.2,0.3
Germany,2.1,2.4,2.4,2.7,2.8,2.9,2.8,2.9,2.9
Ghana,,,,0.4,,,,,
Greece,,,0.6,0.6,0.7,0.7,0.8,0.8,1.0
Guatemala,,,0.0,0.0,0.0,0.0,,,
Honduras,,0.0,,,,,,,
"Hong Kong, China (SAR)",,0.5,0.8,0.7,0.7,0.7,0.7,0.7,0.8
Hungary,0.6,0.8,0.9,1.1,1.2,1.3,1.4,1.4,1.4
Iceland,,2.6,2.7,,2.5,,1.8,2.0,2.2
India,0.6,0.7,0.8,0.8,0.8,,,,0.6
Indonesia,,0.1,,,,,0.1,,
Iran (Islamic Republic of),,,0.6,0.3,,0.3,,,
Iraq,,,,0.0,0.0,,,0.0,0.0
