Country,2007-2017
ALB,13.4
DZA,26.9
AGO,9.9
ARG,9.1
ARM,7.3
AUS,9.7
AUT,14.3
AZE,15.2
BHR,12.6
BGD,7.9
BLR,15.5
BEL,7.7
BLZ,11.7
BEN,19.1
BIH,14.7
BRA,8.7
BRN,23.6
BGR,12.3
BFA,12.5
BDI,17.1
CPV,7.0
KHM,6.0
CHL,6.5
COL,14.2
CRI,7.0
HRV,16.0
CUB,6.1
CYP,10.4
CZE,13.2
DNK,12.2
DOM,6.6
ECU,8.3
EGY,7.7
SLV,9.5
EST,16.3
ETH,7.6
FIN,13.5
FRA,14.1
GEO,16.0
GHA,6.0
GRC,19.5
GRD,11.0
GTM,5.4
GUY,5.2
HND,8.6
HUN,11.7
ISL,10.3
IND,26.9
IDN,14.8
IRN,32.1
IRL,13.7
ITA,16.0
JOR,18.4
KAZ,13.7
PRK,22.2
KOR,15.4
KGZ,9.6
LAO,5.7
LVA,10.0
LBN,18.0
LSO,4.5
LTU,11.4
LUX,5.3
MDG,16.2
MYS,23.2
MLT,8.6
MRT,16.8
MEX,16.6
MDA,12.1
MNG,12.4
MAR,17.5
MOZ,5.9
MMR,47.3
NLD,6.3
NZL,12.5
NOR,10.4
OMN,39.8
PSE,12.6
PAN,12.7
PHL,17.8
POL,15.3
PRT,18.3
QAT,15.8
ROU,20.3
SAU,17.4
SRB,18.2
SYC,9.7
SVK,12.0
SVN,14.0
ZAF,13.4
ESP,12.7
SDN,12.8
SWE,14.2
CHE,11.4
SYR,19.2
THA,14.1
MKD,15.7
TUN,37.2
TUR,14.2
UKR,14.6
ARE,17.3
GBR,17.4
USA,9.9
URY,10.8
VNM,15.4
ZWE,20.9
