Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015
AFG,1340.0,1270.0,1100.0,821.0,584.0,536.0,496.0,459.0,425.0,396.0
ALB,71.0,53.0,43.0,30.0,30.0,30.0,30.0,29.0,29.0,29.0
DZA,216.0,192.0,170.0,148.0,147.0,147.0,145.0,144.0,141.0,140.0
AGO,1160.0,1150.0,924.0,705.0,561.0,546.0,526.0,509.0,493.0,477.0
ARG,72.0,63.0,60.0,58.0,58.0,56.0,55.0,54.0,54.0,52.0
ARM,58.0,50.0,40.0,40.0,33.0,31.0,30.0,28.0,26.0,25.0
AUS,8.0,8.0,9.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0
AUT,8.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
AZE,64.0,86.0,48.0,34.0,27.0,26.0,25.0,25.0,26.0,25.0
BHS,46.0,49.0,61.0,74.0,85.0,86.0,82.0,81.0,83.0,80.0
BHR,26.0,22.0,21.0,20.0,16.0,16.0,16.0,15.0,15.0,15.0
BGD,569.0,479.0,399.0,319.0,242.0,228.0,214.0,201.0,188.0,176.0
BRB,58.0,49.0,48.0,40.0,33.0,31.0,29.0,28.0,28.0,27.0
BLR,33.0,33.0,26.0,13.0,5.0,5.0,4.0,4.0,4.0,4.0
BEL,9.0,10.0,9.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0
BLZ,54.0,55.0,53.0,52.0,37.0,33.0,32.0,29.0,28.0,28.0
BEN,576.0,550.0,572.0,502.0,446.0,436.0,429.0,422.0,414.0,405.0
BTN,945.0,636.0,423.0,308.0,204.0,190.0,177.0,166.0,156.0,148.0
BOL,425.0,390.0,334.0,305.0,253.0,241.0,230.0,222.0,215.0,206.0
BIH,28.0,22.0,17.0,14.0,13.0,12.0,12.0,12.0,12.0,11.0
BWA,243.0,238.0,311.0,276.0,169.0,159.0,153.0,139.0,134.0,129.0
BRA,104.0,84.0,66.0,67.0,65.0,59.0,60.0,48.0,46.0,44.0
BRN,35.0,33.0,31.0,30.0,27.0,29.0,25.0,24.0,23.0,23.0
BGR,25.0,24.0,21.0,15.0,11.0,11.0,10.0,11.0,11.0,11.0
BFA,727.0,636.0,547.0,468.0,417.0,408.0,398.0,389.0,379.0,371.0
BDI,1220.0,1210.0,954.0,863.0,808.0,796.0,780.0,760.0,737.0,712.0
CPV,256.0,150.0,83.0,54.0,51.0,50.0,48.0,46.0,44.0,42.0
KHM,1020.0,730.0,484.0,315.0,202.0,188.0,178.0,173.0,167.0,161.0
CMR,728.0,749.0,750.0,729.0,676.0,652.0,632.0,619.0,609.0,596.0
CAN,7.0,9.0,9.0,9.0,8.0,8.0,8.0,7.0,7.0,7.0
CAF,1290.0,1300.0,1200.0,1060.0,909.0,888.0,876.0,873.0,872.0,882.0
TCD,1450.0,1430.0,1370.0,1170.0,1040.0,984.0,931.0,901.0,881.0,856.0
CHL,57.0,41.0,31.0,27.0,26.0,25.0,24.0,23.0,23.0,22.0
CHN,97.0,72.0,58.0,48.0,35.0,33.0,31.0,29.0,28.0,27.0
COL,118.0,105.0,97.0,80.0,72.0,69.0,66.0,67.0,66.0,64.0
COM,635.0,563.0,499.0,436.0,388.0,376.0,365.0,354.0,344.0,335.0
COG,603.0,634.0,653.0,596.0,509.0,494.0,483.0,469.0,452.0,442.0
COD,879.0,914.0,874.0,787.0,794.0,777.0,771.0,746.0,717.0,693.0
CRI,43.0,44.0,38.0,31.0,29.0,28.0,27.0,26.0,26.0,25.0
HRV,10.0,12.0,11.0,11.0,10.0,10.0,9.0,9.0,9.0,8.0
CUB,58.0,55.0,43.0,41.0,44.0,43.0,41.0,41.0,40.0,39.0
CYP,16.0,17.0,15.0,12.0,8.0,7.0,7.0,7.0,7.0,7.0
CZE,14.0,10.0,7.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0
CIV,745.0,711.0,671.0,742.0,717.0,715.0,715.0,688.0,665.0,645.0
DNK,11.0,11.0,9.0,8.0,7.0,8.0,7.0,7.0,7.0,6.0
DJI,517.0,452.0,401.0,341.0,275.0,266.0,257.0,243.0,237.0,229.0
DOM,198.0,198.0,79.0,64.0,75.0,115.0,62.0,106.0,98.0,92.0
ECU,185.0,131.0,103.0,74.0,75.0,78.0,74.0,70.0,66.0,64.0
EGY,106.0,83.0,63.0,52.0,40.0,39.0,37.0,35.0,34.0,33.0
SLV,157.0,118.0,84.0,68.0,59.0,60.0,57.0,55.0,54.0,54.0
GNQ,1310.0,1050.0,702.0,483.0,379.0,364.0,361.0,356.0,351.0,342.0
ERI,1590.0,1100.0,733.0,619.0,579.0,561.0,540.0,533.0,524.0,501.0
EST,42.0,43.0,26.0,15.0,8.0,10.0,9.0,9.0,9.0,9.0
SWZ,635.0,537.0,586.0,595.0,436.0,418.0,400.0,413.0,400.0,389.0
ETH,1250.0,1080.0,897.0,743.0,523.0,482.0,447.0,410.0,378.0,353.0
FJI,63.0,51.0,42.0,39.0,34.0,33.0,33.0,32.0,31.0,30.0
FIN,6.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
FRA,15.0,15.0,12.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0
GAB,422.0,405.0,405.0,370.0,322.0,317.0,314.0,308.0,295.0,291.0
GMB,1030.0,977.0,887.0,807.0,753.0,753.0,741.0,730.0,719.0,706.0
GEO,34.0,35.0,37.0,37.0,40.0,39.0,39.0,38.0,37.0,36.0
DEU,11.0,9.0,8.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0
GHA,634.0,532.0,467.0,376.0,325.0,320.0,324.0,321.0,322.0,319.0
GRC,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
GRD,41.0,37.0,29.0,25.0,27.0,27.0,27.0,27.0,27.0,27.0
GTM,205.0,173.0,178.0,120.0,109.0,103.0,105.0,99.0,93.0,88.0
GIN,1040.0,964.0,976.0,831.0,720.0,711.0,695.0,695.0,688.0,679.0
GNB,907.0,780.0,800.0,714.0,570.0,563.0,553.0,554.0,553.0,549.0
GUY,171.0,205.0,210.0,232.0,241.0,239.0,239.0,236.0,233.0,229.0
HTI,625.0,544.0,505.0,459.0,389.0,369.0,372.0,370.0,367.0,359.0
HND,272.0,166.0,133.0,150.0,155.0,149.0,141.0,135.0,132.0,129.0
HUN,24.0,20.0,15.0,14.0,15.0,16.0,16.0,16.0,16.0,17.0
ISL,7.0,6.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0
IND,556.0,471.0,374.0,280.0,215.0,206.0,197.0,189.0,181.0,174.0
IDN,446.0,326.0,265.0,212.0,165.0,156.0,148.0,140.0,133.0,126.0
IRN,123.0,80.0,51.0,34.0,27.0,27.0,26.0,26.0,26.0,25.0
IRQ,107.0,87.0,63.0,54.0,51.0,51.0,51.0,50.0,50.0,50.0
IRL,11.0,10.0,9.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0
ISR,11.0,10.0,8.0,7.0,6.0,6.0,5.0,5.0,5.0,5.0
ITA,8.0,7.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
JAM,79.0,81.0,89.0,92.0,93.0,93.0,92.0,91.0,90.0,89.0
JPN,14.0,11.0,10.0,7.0,6.0,6.0,6.0,6.0,6.0,5.0
JOR,110.0,93.0,77.0,62.0,59.0,59.0,59.0,59.0,59.0,58.0
KAZ,78.0,92.0,65.0,44.0,20.0,17.0,15.0,13.0,12.0,12.0
KEN,687.0,698.0,759.0,728.0,605.0,584.0,562.0,540.0,525.0,510.0
KIR,234.0,207.0,166.0,135.0,109.0,105.0,101.0,96.0,93.0,90.0
PRK,75.0,81.0,128.0,105.0,97.0,95.0,91.0,87.0,85.0,82.0
KOR,21.0,19.0,16.0,14.0,15.0,14.0,13.0,12.0,12.0,11.0
KWT,7.0,9.0,7.0,6.0,5.0,4.0,4.0,4.0,4.0,4.0
KGZ,80.0,92.0,74.0,85.0,84.0,87.0,81.0,79.0,77.0,76.0
LAO,905.0,695.0,546.0,418.0,294.0,271.0,250.0,230.0,213.0,197.0
LVA,48.0,54.0,30.0,22.0,19.0,21.0,18.0,18.0,18.0,18.0
LBN,74.0,54.0,42.0,27.0,19.0,18.0,17.0,16.0,16.0,15.0
LSO,629.0,525.0,649.0,746.0,587.0,555.0,549.0,532.0,513.0,487.0
