Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017
AFG,48.9,52.0,54.4,57.4,60.1,60.5,60.9,61.3,61.7,62.0,62.4,62.8
ALB,69.1,69.3,71.2,72.7,74.4,74.9,75.3,75.7,76.0,76.2,76.4,76.5
DZA,65.2,66.6,68.9,71.5,73.5,73.8,74.0,74.2,74.5,74.7,74.9,75.1
AGO,39.6,40.9,44.8,50.3,55.5,56.3,57.0,57.6,58.1,58.4,58.7,59.0
ATG,68.7,69.8,71.0,72.1,72.9,73.1,73.2,73.4,73.5,73.7,73.8,74.0
ARG,68.1,69.1,70.1,71.0,71.7,71.9,72.1,72.2,72.4,72.6,72.8,73.0
ARM,64.9,65.4,68.1,69.3,70.0,70.2,70.5,70.7,70.9,71.1,71.3,71.4
AUS,73.9,75.4,76.9,78.6,79.7,79.9,80.1,80.3,80.5,80.7,81.0,81.2
AUT,72.1,73.4,75.1,76.6,77.9,78.1,78.3,78.5,78.7,78.9,79.1,79.4
AZE,60.7,61.1,63.6,65.7,67.9,68.2,68.4,68.6,68.8,68.9,69.0,69.1
BHS,67.3,68.0,69.2,70.7,71.6,71.8,72.0,72.1,72.3,72.4,72.6,72.7
BHR,71.4,72.6,73.7,74.6,75.3,75.4,75.5,75.7,75.8,75.9,76.1,76.2
BGD,58.1,61.6,65.0,67.3,69.0,69.3,69.7,70.0,70.3,70.6,70.9,71.2
BRB,69.0,70.0,71.0,71.7,72.5,72.7,72.8,73.0,73.1,73.3,73.4,73.6
BLR,65.4,62.8,61.9,62.7,65.1,65.6,66.1,66.6,66.9,67.2,67.4,67.5
BEL,72.5,73.6,74.7,76.1,77.4,77.6,77.9,78.1,78.3,78.5,78.7,78.9
BLZ,69.1,67.1,65.6,66.3,67.1,67.2,67.2,67.3,67.4,67.6,67.7,67.9
BEN,51.7,53.5,53.7,55.9,57.9,58.1,58.4,58.6,58.9,59.1,59.4,59.6
BTN,52.6,56.4,60.6,64.7,67.6,68.1,68.5,68.9,69.2,69.6,69.9,70.3
BOL,53.5,56.1,58.7,61.4,64.1,64.6,65.1,65.5,65.9,66.3,66.7,67.0
BIH,67.4,68.2,71.8,72.5,73.3,73.5,73.6,73.8,74.0,74.2,74.4,74.6
BWA,59.3,52.8,46.9,50.3,57.2,58.3,59.5,60.6,61.8,62.9,64.0,64.9
BRA,61.7,63.8,66.3,68.3,70.1,70.5,70.8,71.1,71.4,71.6,71.9,72.1
BRN,71.5,72.7,73.7,74.7,75.1,75.2,75.2,75.2,75.3,75.5,75.6,75.8
BGR,68.0,67.5,68.1,69.2,70.3,70.5,70.7,70.9,71.1,71.2,71.4,71.5
BFA,48.3,48.0,49.1,52.4,56.4,57.1,57.7,58.3,58.7,59.2,59.6,60.0
BDI,46.3,47.2,49.8,51.1,53.1,53.5,53.9,54.4,54.8,55.1,55.5,55.9
CPV,63.2,65.0,68.0,69.9,70.0,70.0,70.1,70.2,70.3,70.5,70.7,70.9
KHM,51.2,52.9,56.2,60.7,64.3,64.8,65.3,65.7,66.1,66.5,66.8,67.1
CMR,50.8,48.9,49.1,52.0,54.3,54.6,55.0,55.4,55.9,56.4,56.9,57.5
CAN,74.1,75.2,76.5,77.8,79.1,79.3,79.6,79.8,80.0,80.2,80.4,80.7
CAF,46.6,44.5,42.7,43.2,46.1,46.8,47.5,48.2,48.9,49.6,50.3,51.0
TCD,45.8,46.2,46.6,47.2,49.3,49.7,50.2,50.6,51.0,51.4,51.7,52.0
CHL,70.6,72.3,73.7,74.8,75.7,75.9,76.1,76.3,76.5,76.7,76.9,77.2
CHN,67.7,68.4,70.4,72.5,73.8,74.0,74.2,74.3,74.5,74.6,74.8,74.9
COL,64.4,65.4,67.3,68.7,69.7,69.9,70.1,70.3,70.5,70.7,70.9,71.0
COM,55.1,57.2,57.9,58.5,60.3,60.6,61.0,61.3,61.6,61.8,62.0,62.2
COG,54.4,52.0,50.4,53.6,59.1,59.9,60.7,61.4,62.0,62.5,63.0,63.5
COD,47.6,47.7,48.6,52.2,55.5,56.0,56.5,56.9,57.3,57.7,58.1,58.5
CRI,73.1,74.2,75.1,75.8,76.3,76.5,76.6,76.8,77.0,77.2,77.5,77.7
HRV,68.6,70.0,71.2,71.9,73.1,73.3,73.5,73.7,73.9,74.1,74.3,74.5
CUB,72.8,73.5,74.7,76.0,76.9,77.0,77.1,77.2,77.4,77.6,77.7,78.0
CYP,74.5,75.3,75.9,76.5,77.2,77.4,77.6,77.8,78.0,78.2,78.3,78.5
CZE,68.2,69.7,71.5,73.0,74.5,74.8,75.0,75.2,75.4,75.6,75.8,76.0
CIV,50.6,48.4,46.1,46.9,49.4,49.8,50.2,50.7,51.1,51.6,52.1,52.7
DNK,72.1,73.1,74.3,75.7,77.3,77.6,77.9,78.2,78.4,78.6,78.8,79.0
DJI,55.1,55.4,55.5,56.6,58.9,59.3,59.8,60.1,60.4,60.6,60.8,61.0
DOM,65.5,67.0,67.7,68.6,69.7,69.9,70.1,70.3,70.4,70.6,70.8,71.0
ECU,66.6,68.5,70.0,71.2,72.3,72.5,72.7,72.9,73.2,73.4,73.6,73.9
EGY,62.2,64.4,66.2,67.1,68.2,68.4,68.6,68.8,69.0,69.1,69.3,69.5
SLV,59.3,62.9,64.3,65.7,67.2,67.5,67.7,68.0,68.3,68.5,68.8,69.1
GNQ,46.7,49.0,51.4,53.1,54.7,55.0,55.3,55.6,55.9,56.1,56.4,56.7
ERI,48.0,50.6,53.4,56.7,60.2,60.7,61.2,61.7,62.1,62.5,63.0,63.4
EST,64.3,62.8,64.7,67.1,70.2,70.8,71.4,71.9,72.3,72.6,72.8,73.0
SWZ,58.1,54.0,46.5,44.5,48.9,49.9,51.0,52.0,52.9,53.7,54.4,54.9
ETH,45.6,47.8,50.6,54.8,60.0,60.8,61.5,62.2,62.7,63.2,63.6,64.0
FJI,63.6,64.5,65.2,65.8,66.5,66.7,66.8,67.0,67.1,67.3,67.4,67.5
FIN,71.2,72.7,74.2,75.5,76.9,77.2,77.5,77.8,78.0,78.3,78.5,78.7
FRA,72.5,73.8,75.1,76.6,78.1,78.4,78.6,78.9,79.1,79.4,79.6,79.8
GAB,59.7,59.2,58.3,59.3,62.0,62.5,62.9,63.3,63.8,64.2,64.5,64.9
GMB,51.0,52.7,54.9,56.8,58.4,58.7,58.9,59.2,59.4,59.7,59.9,60.1
GEO,66.3,66.5,68.1,68.9,68.5,68.5,68.5,68.6,68.7,68.8,69.0,69.2
DEU,72.1,73.2,74.8,76.3,77.5,77.7,77.9,78.1,78.2,78.4,78.6,78.9
GHA,55.7,56.5,56.2,57.9,60.0,60.3,60.6,60.9,61.2,61.4,61.7,62.0
GRC,73.7,75.2,75.9,76.9,77.6,77.7,77.9,78.1,78.3,78.5,78.7,78.9
GRD,66.3,67.1,68.0,69.1,70.2,70.5,70.7,70.8,71.0,71.1,71.2,71.3
GTM,59.5,62.0,64.7,66.5,68.3,68.6,69.0,69.3,69.6,69.9,70.2,70.4
GIN,49.0,51.2,51.2,52.7,56.0,56.6,57.2,57.8,58.3,58.9,59.5,60.1
GNB,46.9,49.0,51.2,52.4,53.5,53.8,54.1,54.5,54.9,55.3,55.7,56.0
GUY,60.0,61.0,62.1,63.0,63.7,63.9,64.0,64.1,64.2,64.3,64.4,64.5
HTI,53.1,54.6,55.9,57.3,59.2,59.6,60.0,60.3,60.6,60.9,61.2,61.4
HND,64.5,66.6,68.1,69.1,70.0,70.1,70.3,70.5,70.7,70.8,71.0,71.2
HKG,74.7,76.2,77.9,79.0,80.0,80.2,80.4,80.6,80.7,80.9,81.0,81.2
HUN,65.1,65.5,67.4,68.9,70.7,71.1,71.4,71.8,72.0,72.2,72.4,72.5
ISL,75.7,76.5,77.8,79.2,80.1,80.3,80.5,80.7,80.9,81.1,81.3,81.5
IND,57.6,59.8,61.8,63.7,65.5,65.8,66.1,66.4,66.6,66.9,67.1,67.3
IDN,61.9,63.5,64.6,65.2,66.1,66.3,66.5,66.7,66.8,67.0,67.2,67.3
IRN,61.6,67.9,69.2,70.4,72.5,73.1,73.6,74.0,74.4,74.7,74.9,75.1
IRQ,62.8,65.7,67.0,65.9,65.8,66.2,66.6,67.0,67.3,67.5,67.6,67.8
IRL,72.1,72.9,74.2,76.4,78.1,78.4,78.6,78.9,79.1,79.3,79.5,79.7
ISR,74.7,75.8,76.7,78.2,79.5,79.7,79.9,80.1,80.3,80.5,80.7,80.9
ITA,73.6,74.8,76.5,78.1,79.3,79.6,79.8,80.0,80.2,80.5,80.7,80.9
JAM,69.9,69.4,69.6,70.8,72.4,72.7,72.9,73.1,73.3,73.5,73.6,73.7
JPN,75.9,76.6,77.7,78.7,79.6,79.7,79.9,80.1,80.2,80.4,80.5,80.7
JOR,68.6,69.6,70.4,71.2,71.9,72.0,72.1,72.3,72.4,72.5,72.7,72.8
KAZ,61.8,58.7,57.9,59.6,62.5,63.2,63.8,64.3,64.7,65.0,65.1,65.3
KEN,55.2,51.5,49.8,54.2,61.0,61.9,62.7,63.3,63.9,64.3,64.6,64.9
KIR,57.6,59.6,61.1,61.9,62.2,62.3,62.4,62.5,62.7,62.8,63.0,63.2
PRK,66.0,62.2,61.2,64.7,66.0,66.4,66.8,67.2,67.6,67.8,68.1,68.3
KOR,67.4,69.8,72.3,74.9,77.0,77.4,77.7,78.1,78.4,78.7,78.9,79.2
KWT,71.3,72.0,72.4,72.8,73.2,73.3,73.4,73.5,73.6,73.7,73.8,73.9
KGZ,62.3,62.0,62.4,63.1,64.9,65.4,65.9,66.3,66.6,66.9,67.0,67.1
LAO,52.3,54.7,57.5,60.4,62.9,63.4,63.7,64.1,64.5,64.8,65.1,65.4
LVA,63.7,61.8,64.0,65.5,67.4,67.9,68.4,68.8,69.1,69.4,69.6,69.7
LBN,68.7,70.6,72.8,75.0,76.7,77.0,77.2,77.4,77.6,77.8,78.0,78.2
LSO,57.3,55.0,47.2,45.4,48.9,49.4,49.8,50.3,50.8,51.3,51.7,52.2
