Country,2000,2005,2010,2011,2012,2013,2014,2015,2016
AFG,,,3.4,4.1,6.3,,,,
ALB,4.2,5.0,4.3,4.9,5.4,4.2,4.0,2.3,2.7
DZA,,0.6,0.7,0.8,1.4,1.3,1.5,1.4,
AND,,,,1.2,,,,,
AGO,,,,4.4,4.8,,,,
ATG,6.0,3.4,6.3,,10.3,,,,
ARG,,,,,,,7.5,6.5,5.9
ARM,3.0,1.9,1.9,2.5,2.3,2.2,2.5,2.6,3.0
AUS,1.9,1.3,1.0,1.1,1.1,1.1,1.0,1.0,0.9
AUT,1.0,0.7,0.7,0.9,0.9,0.7,0.5,0.5,0.7
AZE,2.8,2.2,2.3,,2.2,2.4,2.5,,2.1
BHS,24.8,15.8,26.1,34.6,29.8,31.5,32.2,37.7,28.4
BHR,,0.5,0.9,0.5,0.3,0.4,0.5,,
BGD,2.5,2.5,2.6,2.6,2.6,2.8,2.8,2.5,
BRB,7.4,10.6,11.1,9.6,7.8,8.5,8.8,10.9,
BLR,10.2,8.6,4.2,3.9,3.6,3.5,3.6,,
BEL,2.1,2.1,1.7,1.9,1.9,1.8,1.9,1.9,
BLZ,16.6,28.6,40.1,37.7,43.1,28.8,35.0,33.1,37.6
BEN,7.3,7.2,6.6,,,,,6.2,
BTN,3.1,1.7,2.2,4.3,4.4,3.1,,1.5,1.1
BOL,,5.2,12.8,12.3,11.9,9.0,8.9,6.3,6.3
BIH,2.6,1.9,1.5,1.4,1.7,1.3,1.4,1.6,1.3
BWA,,15.7,15.0,,,,,,
BRA,23.7,23.4,22.0,24.2,26.5,26.8,28.0,28.4,29.5
BRN,1.2,0.5,0.3,0.3,1.0,0.5,,,
BGR,4.2,2.6,2.0,1.7,1.9,1.5,1.6,1.8,1.1
BFA,,0.5,0.6,0.5,0.5,0.7,0.8,0.4,
BDI,,,4.0,3.9,5.4,5.4,5.7,4.5,6.0
CPV,,9.3,7.8,10.4,10.9,10.4,12.3,8.6,11.5
KHM,4.7,3.4,2.3,1.8,,,,,
CMR,3.0,,5.0,4.1,4.2,,,,
CAN,1.8,2.1,1.6,1.8,1.6,1.4,1.5,1.7,1.7
CAF,,,,,,,,,19.8
TCD,11.4,10.7,9.7,,,,,9.0,
CHL,,3.6,3.2,3.7,2.5,3.2,3.6,3.0,3.5
CHN,2.1,1.6,1.0,0.9,0.8,0.8,0.7,0.7,0.6
COL,65.7,41.8,33.7,34.8,35.1,32.6,27.9,26.5,25.5
COM,10.4,9.5,8.5,,,,,7.7,
COG,11.3,10.6,9.9,,,,,9.3,
COD,14.1,14.7,14.3,,,,,13.5,
CRI,6.3,7.9,11.6,10.3,8.7,8.7,10.0,11.6,11.9
HRV,2.3,1.6,1.4,1.1,1.2,1.1,0.8,0.9,1.0
CUB,5.3,6.1,4.5,4.7,5.5,5.9,5.2,5.4,5.0
CYP,0.8,1.9,0.7,0.8,1.9,1.0,1.0,1.3,1.1
CZE,1.8,1.1,1.0,0.8,1.0,0.8,0.8,0.8,0.6
CIV,16.1,14.7,12.6,,,,,11.6,
DNK,1.1,1.0,0.8,0.8,0.8,0.9,1.3,1.0,1.0
DJI,8.9,8.1,7.4,,,,,6.5,
DMA,2.9,11.3,21.0,8.4,,,,,
DOM,14.1,25.9,25.0,25.1,22.3,19.2,17.4,,15.2
ECU,14.5,15.4,17.6,15.4,12.5,11.0,8.2,6.5,5.9
EGY,,0.7,2.2,3.1,2.5,,,,
SLV,60.5,64.4,64.7,70.6,41.7,40.2,62.4,105.4,82.8
GNQ,3.3,2.9,2.6,,,,,2.3,
ERI,9.9,9.6,8.9,,,,,8.0,
EST,10.2,8.3,5.3,4.9,4.8,3.9,3.1,3.2,
SWZ,,13.7,17.3,,,,,,
ETH,10.7,9.4,8.5,,,,,7.6,
FJI,,2.8,2.3,2.3,2.3,2.2,2.3,,
FIN,2.9,2.3,2.2,2.0,1.6,1.6,1.6,1.5,1.4
FRA,1.8,1.6,1.3,1.4,1.2,1.2,1.2,1.6,1.4
GAB,10.8,11.0,8.7,,,,,8.0,
GMB,12.4,9.8,9.8,,,,,9.1,
GEO,5.1,9.0,4.4,,,,2.7,,1.0
DEU,1.2,1.1,1.0,0.9,0.8,0.8,0.9,0.8,1.2
GHA,,1.8,1.7,1.7,,,,,
GRC,,1.2,1.5,1.6,1.5,1.4,0.9,0.8,0.8
GRD,14.8,10.7,9.6,3.8,13.3,5.7,7.5,5.6,10.2
GTM,24.9,40.8,40.7,38.0,33.8,33.7,31.4,29.4,27.3
GIN,10.9,10.1,9.4,,,,,8.8,
GNB,13.0,11.7,10.5,,,,,9.6,
GUY,10.1,18.9,18.8,17.4,18.5,20.4,19.5,19.4,18.4
HTI,,,6.8,9.0,10.0,,,,
HND,48.7,43.6,76.1,85.1,84.3,74.3,66.9,57.5,56.5
HKG,0.6,0.5,0.5,0.2,0.4,0.9,0.4,0.3,0.4
HUN,2.0,1.6,1.4,1.5,1.3,1.6,1.5,2.3,2.1
ISL,1.8,1.0,0.6,0.9,0.3,0.3,0.6,0.9,0.3
IND,4.9,3.9,3.8,3.8,3.8,3.6,3.7,3.4,3.2
IDN,1.0,,0.4,0.6,0.6,0.6,0.5,0.6,0.5
IRN,,,,,,2.6,2.5,,
IRQ,,,8.7,8.3,8.2,9.9,,,
IRL,1.0,1.2,1.1,0.9,1.1,1.1,1.1,0.6,0.8
ISR,2.4,2.5,2.0,2.0,1.7,,1.5,1.4,
ITA,1.3,1.0,0.9,0.9,0.9,0.8,0.8,0.8,0.7
JAM,33.4,61.0,51.4,40.0,38.7,42.1,35.1,42.1,47.0
JPN,0.5,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.3
JOR,,1.2,1.6,1.9,2.0,1.7,2.0,1.7,1.5
KAZ,15.4,,8.5,8.5,7.5,6.5,5.2,4.8,
KEN,,3.0,4.7,5.3,5.4,5.5,5.0,4.8,4.9
KIR,3.6,,3.9,10.5,7.5,,,,
PRK,6.6,5.0,4.8,,,,,4.4,
KOR,,,,0.9,0.8,0.7,0.7,0.7,0.7
KWT,,1.8,2.0,1.8,1.8,,,,
KGZ,8.7,8.3,19.8,9.0,5.4,3.6,3.7,5.2,4.5
LAO,10.7,9.6,8.0,,,,,7.0,
LVA,10.0,5.6,3.3,3.3,3.4,2.5,3.2,3.4,
LBN,,,3.8,3.7,3.9,4.5,4.3,3.9,4.0
LSO,,,37.4,34.5,30.7,31.1,,41.2,
LBR,,,3.3,4.0,3.2,,,,
LBY,3.7,3.7,3.1,,,,,2.5,
LIE,,,2.8,,,,2.7,,
LTU,10.6,11.1,7.0,6.9,6.7,6.6,5.4,5.9,5.2
LUX,0.9,0.9,2.0,0.8,,0.2,0.7,,
MDG,11.4,10.0,9.2,,,,,7.7,
MWI,6.2,1.5,3.4,2.2,1.7,,,,
MYS,2.4,2.4,1.9,1.9,2.1,2.1,,,
MDV,,,1.6,0.8,2.6,0.8,,,
MLI,12.9,12.7,12.2,,,,,10.9,
MLT,1.0,1.0,1.0,0.7,2.9,1.7,1.4,0.9,
MRT,13.7,12.4,10.9,,,,,9.9,
MUS,2.2,3.0,2.6,2.7,2.3,2.8,1.5,1.7,1.8
MEX,10.6,9.1,22.0,22.9,21.5,18.8,16.1,16.5,19.3
FSM,4.0,4.6,4.5,,,,,4.7,
MDA,10.3,7.1,6.5,7.5,5.6,4.2,3.2,,
MCO,,3.0,,,,,,,
MNG,,15.8,8.8,9.6,7.1,7.1,7.3,6.2,5.7
MNE,,3.6,2.4,3.4,2.7,1.6,3.2,2.7,4.5
MAR,1.6,1.5,1.4,1.3,1.1,1.3,1.0,1.2,
MOZ,,5.2,3.6,3.4,,,,,
MMR,2.3,1.4,1.6,2.1,2.8,2.4,2.4,2.2,2.3
NAM,20.0,,14.4,13.9,17.1,,,,
NPL,2.7,3.4,3.0,2.5,2.3,2.2,2.0,,2.2
NLD,1.1,1.1,0.9,0.9,0.9,0.7,0.7,0.6,0.6
NZL,1.3,1.5,1.0,0.9,0.9,1.0,1.0,,
NIC,9.5,13.6,13.7,12.7,11.5,10.0,8.7,8.6,7.4
NER,,,,4.9,4.4,,,,
NGA,12.8,11.8,10.7,,,,,9.8,
NOR,1.1,0.7,0.6,2.2,0.5,0.9,0.6,0.5,0.5
OMN,,2.1,1.6,1.1,1.1,2.6,0.7,,
PAK,6.4,6.4,7.7,8.0,7.8,7.7,7.2,5.0,4.4
PLW,,,,,3.1,,,,
PSE,,2.4,0.8,0.6,0.6,0.5,0.8,1.0,0.7
PAN,9.9,10.9,12.6,14.8,16.9,17.3,14.5,11.3,9.7
PNG,8.3,,,,,,,,
PRY,18.8,15.3,11.9,10.4,10.2,9.3,8.8,9.3,
PER,,,,5.4,6.5,6.6,6.7,7.2,7.7
PHL,7.4,7.5,9.5,9.1,8.8,9.3,9.7,9.5,11.0
POL,2.2,1.4,1.1,1.2,1.0,0.8,0.7,0.8,0.7
PRT,1.1,1.3,1.2,1.1,1.2,1.4,0.9,1.0,0.6
QAT,0.2,0.7,0.2,0.2,0.3,0.4,0.4,,
ROU,2.6,2.1,2.0,1.7,1.9,1.7,1.5,1.5,1.2
RUS,28.1,24.8,,,,11.0,11.3,11.5,10.8
RWA,,,2.8,,2.4,3.2,3.8,2.5,
KNA,6.6,16.5,40.8,65.4,34.2,,,,
LCA,14.7,25.0,25.5,26.5,22.3,18.8,19.3,,
VCT,18.5,23.9,22.9,19.2,25.6,,,,36.5
WSM,,,8.6,,,3.1,,,
STP,,,3.4,3.4,,,,,
SAU,0.8,1.2,,,,,,1.5,
SEN,10.0,9.3,8.5,,,,,7.4,
SRB,2.4,1.6,1.4,1.5,1.2,1.6,1.4,1.2,1.4
SYC,,,9.8,17.4,4.3,19.4,17.2,7.5,12.7
SLE,,1.8,2.5,2.8,1.7,,,1.7,
SGP,0.9,0.5,0.4,0.3,0.2,0.3,0.3,0.3,0.3
SVK,2.4,1.7,1.5,1.6,1.2,1.3,1.3,0.8,1.0
SVN,1.8,1.0,0.7,0.8,0.7,0.6,0.8,1.0,0.5
SLB,,5.5,,,,,,,
SOM,5.4,5.0,5.3,,,,,4.3,
ZAF,47.6,38.0,30.8,29.8,30.6,31.7,32.6,33.8,34.0
