Country,2010,2011,2012,2013,2014,2015,2016,2017
AFG,39.3,39.3,39.3,45.0,44.8,44.8,45.4,45.4
ALB,12.7,11.9,11.9,11.9,11.9,11.9,9.1,8.5
DZA,,,,,,,33.7,33.7
AND,,,,,,,,9.4
AGO,26.2,,34.6,34.6,34.6,34.6,34.3,34.3
ARG,12.1,12.1,12.1,8.6,8.1,8.1,6.1,6.2
ARM,6.5,6.5,3.7,3.7,3.7,3.7,2.9,2.9
AUS,1.7,1.7,1.7,1.8,1.9,1.9,3.7,2.6
AUT,2.4,2.4,2.5,3.7,3.5,4.3,2.6,2.6
AZE,12.0,8.3,8.3,8.3,8.3,8.3,4.3,3.8
BHS,7.9,7.9,,8.0,,,,6.3
BHR,,,,,,,,19.0
BGD,44.8,39.4,39.4,37.8,38.6,37.3,37.3,37.3
BRB,,,,,5.5,5.5,5.5,5.5
BLR,8.0,5.4,5.4,4.8,3.7,3.7,3.7,3.7
BEL,5.2,6.5,7.6,9.2,8.1,8.1,9.3,8.7
BLZ,19.8,,,,15.9,15.9,15.9,15.9
BEN,44.1,42.0,42.0,42.0,44.8,44.8,44.8,43.7
BTN,,44.8,12.2,13.3,44.8,44.8,44.8,41.7
BOL,28.7,27.6,27.6,27.6,24.7,20.8,20.6,20.0
BIH,19.4,5.2,5.2,5.2,12.5,12.5,12.5,19.8
BWA,,,,32.1,32.1,32.1,32.1,
BRA,25.7,25.7,25.3,24.7,23.6,22.6,22.0,22.0
BGR,8.1,5.9,6.1,5.8,5.5,5.5,6.7,6.5
BFA,37.3,37.3,36.2,38.5,38.6,38.6,35.7,39.2
BDI,36.3,,,41.0,36.9,36.9,36.9,39.5
CPV,30.7,30.7,,18.2,18.2,18.2,22.9,23.7
KHM,31.1,31.1,28.3,28.3,28.3,27.3,27.3,27.3
CMR,35.3,35.3,35.3,34.8,34.8,34.8,34.8,33.0
CAN,3.2,3.2,3.2,4.0,3.9,3.9,2.1,1.4
CAF,45.9,45.9,45.9,45.9,34.5,34.5,34.5,34.5
TCD,37.8,43.4,43.4,43.4,41.9,41.9,43.0,43.0
CHL,13.3,13.7,13.7,13.7,12.6,8.2,8.2,7.5
CHN,23.2,23.2,23.2,,,,,11.5
COL,23.9,22.8,21.5,22.1,21.3,17.4,17.1,19.4
COM,47.4,47.4,47.4,47.4,47.6,47.6,47.6,47.6
COG,30.0,25.4,25.4,25.4,21.5,21.5,21.5,21.5
COD,29.1,31.2,31.2,29.4,27.7,27.7,27.7,26.3
CRI,17.7,17.7,15.7,15.7,15.5,12.4,12.3,11.9
HRV,10.4,10.4,10.4,10.4,4.3,4.4,5.0,5.0
CUB,,,,11.0,11.3,10.9,10.9,10.9
CYP,15.7,15.0,16.3,14.0,13.1,12.4,12.7,11.7
CZE,1.3,1.3,1.3,1.4,1.4,1.4,1.6,1.6
CIV,44.8,43.2,43.2,45.4,45.1,45.1,45.1,47.4
DNK,3.0,3.1,3.1,3.1,3.0,3.0,4.3,4.3
DJI,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
DOM,22.2,26.8,26.8,24.0,22.9,19.9,21.1,19.1
ECU,21.8,22.1,22.1,21.6,21.1,15.5,14.2,13.8
EGY,43.6,40.9,40.9,40.9,40.9,35.0,36.9,36.9
SLV,32.5,32.4,32.4,30.2,30.2,26.6,30.3,30.3
GNQ,29.2,29.2,,,,,,
EST,3.1,2.7,2.6,2.5,2.4,2.3,2.4,2.3
SWZ,38.3,29.8,29.8,26.8,26.8,26.8,24.1,24.1
ETH,38.2,38.2,38.3,44.3,44.3,36.6,36.6,43.5
FJI,11.0,,,10.5,10.5,10.5,,
