Country,2010,2011,2012,2013,2014,2015,2016,2017
AFG,0.225,0.232,0.237,0.219,0.224,0.226,0.224,0.227
ALB,0.5870000000000001,0.611,0.644,0.645,0.645,0.6459999999999999,0.675,0.6809999999999999
DZA,,,,,,,0.44,0.441
AND,,,,,,,,0.647
AGO,0.294,,0.285,0.293,0.301,0.309,0.32,0.327
ARG,0.705,0.7090000000000001,0.708,0.735,0.743,0.747,0.764,0.765
ARM,0.6829999999999999,0.684,0.708,0.711,0.715,0.718,0.728,0.727
AUS,0.897,0.9,0.903,0.905,0.906,0.909,0.894,0.904
AUT,0.8170000000000001,0.818,0.82,0.8029999999999999,0.815,0.8109999999999999,0.8290000000000001,0.83
AZE,0.599,0.627,0.632,0.64,0.65,0.65,0.679,0.682
BHS,0.659,0.6659999999999999,,0.667,,,,0.68
BHR,,,,,,,,0.614
BGD,0.235,0.268,0.275,0.289,0.293,0.306,0.307,0.319
BRB,,,,,0.7340000000000001,0.7340000000000001,0.7340000000000001,0.7340000000000001
BLR,0.763,0.7879999999999999,0.7909999999999999,0.795,0.804,0.8059999999999999,0.807,0.807
BEL,0.826,0.816,0.8079999999999999,0.799,0.8109999999999999,0.818,0.81,0.815
BLZ,0.557,,,,0.5920000000000001,0.5920000000000001,0.594,0.594
BEN,0.224,0.238,0.251,0.263,0.254,0.257,0.26,0.265
BTN,,0.225,0.373,0.3720000000000001,0.245,0.245,0.246,0.259
BOL,0.457,0.47,0.477,0.48,0.502,0.532,0.542,0.5489999999999999
BIH,0.49,0.593,0.637,0.65,0.612,0.608,0.628,0.5760000000000001
BWA,,,,0.444,0.446,0.447,0.448,
BRA,0.46,0.462,0.47,0.493,0.507,0.526,0.535,0.535
BGR,0.695,0.715,0.718,0.7340000000000001,0.743,0.7659999999999999,0.7509999999999999,0.753
BFA,0.145,0.154,0.162,0.161,0.163,0.17,0.183,0.174
BDI,0.24,,,0.241,0.264,0.266,0.267,0.256
CPV,0.355,0.362,,0.44,0.444,0.449,0.428,0.423
KHM,0.31,0.317,0.335,0.34,0.343,0.349,0.35100000000000003,0.354
CMR,0.303,0.314,0.33,0.343,0.35,0.354,0.35700000000000004,0.3670000000000001
CAN,0.8320000000000001,0.835,0.8390000000000001,0.836,0.852,0.856,0.875,0.887
CAF,0.16699999999999998,0.171,0.174,0.17800000000000002,0.219,0.222,0.223,0.223
TCD,0.155,0.152,0.157,0.162,0.17,0.173,0.17,0.17
CHL,0.648,0.65,0.652,0.669,0.685,0.731,0.7340000000000001,0.741
CHN,0.463,0.468,0.474,,,,,0.5710000000000001
COL,0.49,0.503,0.508,0.517,0.524,0.5529999999999999,0.561,0.545
COM,0.228,0.234,0.241,0.246,0.247,0.248,0.248,0.248
COG,0.35,0.373,0.373,0.379,0.404,0.409,0.413,0.413
COD,0.301,0.303,0.304,0.321,0.337,0.34600000000000003,0.35100000000000003,0.365
CRI,0.535,0.542,0.5770000000000001,0.5820000000000001,0.59,0.624,0.627,0.634
HRV,0.6809999999999999,0.691,0.6970000000000001,0.706,0.758,0.758,0.752,0.752
CUB,,,,0.6759999999999999,0.68,0.684,0.69,0.695
CYP,0.647,0.655,0.6509999999999999,0.6779999999999999,0.6890000000000001,0.6940000000000001,0.706,0.7140000000000001
CZE,0.847,0.852,0.848,0.8690000000000001,0.88,0.879,0.879,0.879
CIV,0.207,0.219,0.223,0.218,0.21600000000000005,0.226,0.231,0.223
DNK,0.868,0.8959999999999999,0.897,0.912,0.899,0.89,0.88,0.88
DJI,0.157,0.159,0.16,0.162,0.163,0.163,0.16399999999999998,0.16399999999999998
DOM,0.471,0.447,0.451,0.471,0.481,0.515,0.507,0.52
ECU,0.494,0.4970000000000001,0.5,0.514,0.53,0.5710000000000001,0.596,0.601
EGY,0.311,0.329,0.338,0.344,0.34600000000000003,0.39,0.381,0.381
SLV,0.396,0.385,0.39,0.402,0.397,0.419,0.404,0.404
GNQ,0.31,0.31,,,,,,
EST,0.845,0.852,0.8540000000000001,0.853,0.8490000000000001,0.848,0.848,0.8490000000000001
SWZ,0.309,0.35700000000000004,0.362,0.382,0.387,0.387,0.401,0.401
ETH,0.188,0.193,0.194,0.17800000000000002,0.179,0.204,0.206,0.185
FJI,0.655,,,0.685,0.6890000000000001,0.703,,
FIN,0.838,0.866,0.866,0.88,0.884,0.885,0.887,0.887
FRA,0.736,0.7390000000000001,0.74,0.7509999999999999,0.767,0.777,0.767,0.768
GAB,0.556,0.56,0.564,0.473,0.473,0.473,0.476,0.481
GMB,0.18600000000000005,,,,,,0.18600000000000005,0.189
GEO,0.7390000000000001,0.753,0.764,0.777,0.789,0.813,0.826,0.826
DEU,0.906,0.915,0.918,0.911,0.913,0.916,0.916,0.915
GHA,0.487,0.315,0.32,0.353,0.342,0.362,0.363,0.363
GRC,0.747,0.6809999999999999,0.7140000000000001,0.721,0.7340000000000001,0.735,0.7190000000000001,0.728
GTM,0.292,0.3,0.28800000000000003,0.289,0.325,0.325,0.335,0.335
GIN,0.165,0.179,0.187,0.193,0.175,0.175,0.175,0.175
GNB,0.215,0.221,0.225,0.229,0.232,0.232,0.228,0.228
GUY,0.519,0.522,0.529,0.531,0.5329999999999999,0.534,0.532,0.532
HTI,0.237,0.241,0.244,0.248,0.26,0.263,0.264,0.267
HND,0.329,0.327,0.34,0.337,0.35600000000000004,0.373,0.386,0.388
HKG,,,,,,,0.76,0.768
HUN,0.7859999999999999,0.79,0.797,0.805,0.795,0.792,0.7909999999999999,0.789
ISL,0.831,0.845,0.861,0.875,0.885,0.884,0.889,0.889
IND,0.284,0.294,0.292,0.298,0.308,0.329,0.337,0.341
IDN,0.461,0.476,0.483,0.472,0.487,0.488,0.4920000000000001,0.52
IRN,,,,0.463,0.463,0.465,,0.705
IRQ,,,0.339,0.35100000000000003,0.348,0.348,0.353,0.389
IRL,0.878,0.8340000000000001,0.85,0.848,0.861,0.883,0.8909999999999999,0.8909999999999999
ISR,0.792,0.799,0.8009999999999999,0.8009999999999999,0.7879999999999999,0.802,0.8,0.813
ITA,0.6859999999999999,0.698,0.684,0.701,0.705,0.713,0.7,0.708
JAM,0.598,0.601,0.596,0.607,0.645,0.648,0.652,0.652
JPN,,,,0.6659999999999999,0.672,0.672,0.679,0.835
JOR,0.513,0.528,0.531,0.5329999999999999,0.579,0.5870000000000001,0.591,0.591
KAZ,0.74,0.7490000000000001,0.745,0.755,0.758,0.758,0.7829999999999999,0.7879999999999999
KEN,0.355,0.35200000000000004,0.35700000000000004,0.362,0.391,0.412,0.419,0.425
KIR,,,,0.49,0.488,0.488,0.488,0.488
KOR,0.6409999999999999,0.643,0.6409999999999999,0.619,0.642,0.642,0.703,0.703
KWT,,,,,,,0.511,0.51
KGZ,0.619,0.62,0.664,0.6729999999999999,0.691,0.6920000000000001,0.698,0.698
LAO,0.298,0.311,0.316,0.31,0.314,0.319,0.319,0.32
LVA,0.8220000000000001,0.816,0.813,0.828,0.835,0.833,0.8340000000000001,0.8340000000000001
LBN,,0.483,0.47,0.473,0.475,0.479,0.595,0.598
LSO,0.369,0.377,0.383,0.378,0.38,0.377,0.392,0.392
LBR,0.215,0.218,0.222,0.225,0.228,0.243,0.246,0.248
LTU,0.8170000000000001,0.815,0.802,0.7959999999999999,0.8290000000000001,0.83,0.8320000000000001,0.84
LUX,0.732,0.731,0.73,0.732,0.736,0.742,0.728,0.718
MDG,0.335,0.338,0.342,0.344,0.321,0.324,0.324,0.324
MWI,0.279,0.28300000000000003,0.306,0.309,0.311,0.32,0.322,0.32299999999999995
MYS,,,,,,,,0.607
MDV,0.438,0.302,0.309,0.316,0.331,0.337,0.336,0.336
MLI,0.175,0.179,0.179,0.17600000000000002,0.166,0.16699999999999998,0.168,0.158
MLT,,,0.735,0.7440000000000001,0.7390000000000001,0.762,0.763,0.762
MRT,0.192,0.196,0.208,0.201,0.225,0.225,0.228,0.23
MUS,,0.589,0.604,0.613,0.632,0.626,0.633,0.633
MEX,0.511,0.498,0.508,0.509,0.526,0.535,0.562,0.562
FSM,0.438,0.444,,,,,,
MDA,0.644,0.6559999999999999,0.6659999999999999,0.672,0.662,0.657,0.6579999999999999,0.6579999999999999
MNG,0.68,0.6920000000000001,0.674,0.706,0.68,0.6829999999999999,0.675,0.675
MNE,0.7120000000000001,0.768,0.7709999999999999,0.7709999999999999,0.732,0.732,0.732,0.732
MAR,0.257,0.251,0.26,0.268,0.273,0.276,,
MOZ,0.268,0.301,0.299,0.313,0.253,0.255,0.255,0.255
MMR,,,,0.344,0.348,0.35100000000000003,0.322,0.324
NAM,0.388,0.397,0.402,0.405,0.408,0.424,0.4270000000000001,0.428
NPL,0.251,0.254,0.268,0.271,0.28600000000000003,0.278,0.281,0.297
NLD,0.836,0.861,0.86,0.862,0.865,0.865,0.863,0.858
NZL,,,,,,,0.893,0.901
NIC,0.34700000000000003,0.35,0.353,0.35700000000000004,0.39,0.39,0.415,0.415
NER,0.123,0.115,0.121,0.123,0.134,0.135,0.138,0.139
NGA,0.22,0.236,0.254,0.26,0.269,0.27,0.271,0.299
NOR,0.89,0.894,0.887,0.892,0.8859999999999999,0.8859999999999999,0.867,0.8590000000000001
PAK,0.196,0.198,0.206,0.208,0.22,0.221,0.229,0.221
PLW,,,,0.713,0.72,0.726,0.736,0.828
PSE,,,,0.609,0.547,0.5479999999999999,0.5720000000000001,0.5670000000000001
PAN,0.599,0.544,0.5489999999999999,0.564,0.568,0.589,0.597,0.605
PNG,,,,0.376,0.3720000000000001,0.379,0.38,0.381
PRY,0.48,0.486,,0.52,0.528,0.5479999999999999,0.544,0.525
PER,0.455,0.515,0.502,0.502,0.534,0.547,0.5770000000000001,0.583
PHL,0.542,0.547,0.557,0.5660000000000001,0.581,0.584,0.584,0.584
POL,0.773,0.778,0.7659999999999999,0.8059999999999999,0.7759999999999999,0.807,0.815,0.825
PRT,0.674,0.684,0.6920000000000001,0.708,0.71,0.7120000000000001,0.626,0.635
QAT,,,,,,,0.615,0.619
ROU,0.6809999999999999,0.738,0.725,0.728,0.7290000000000001,0.732,0.716,0.7140000000000001
RUS,0.6859999999999999,0.696,,0.789,0.794,0.81,0.8140000000000001,0.8140000000000001
RWA,0.303,0.305,0.313,0.311,0.314,0.307,0.318,0.318
LCA,,,,,0.6,0.614,0.614,0.591
WSM,,,,,,,,0.6579999999999999
STP,0.35200000000000004,0.377,0.381,0.392,0.393,0.42,0.446,0.455
SAU,,,,,,,0.6579999999999999,0.66
SEN,0.159,0.17600000000000002,0.185,0.188,0.192,0.196,0.198,0.197
SRB,0.642,0.67,0.6679999999999999,0.664,0.695,0.7040000000000001,0.706,0.7140000000000001
SLE,0.181,0.188,0.192,0.191,0.189,0.198,0.202,0.206
SGP,,,,,,,0.757,0.764
SVK,0.7879999999999999,0.805,0.8109999999999999,0.81,0.8079999999999999,0.8190000000000001,0.8170000000000001,0.8190000000000001
SVN,0.843,0.85,0.83,0.857,0.8540000000000001,0.857,0.868,0.866
SLB,0.305,,,0.35,0.354,0.359,,
ZAF,0.547,0.544,0.542,0.569,0.59,0.611,0.607,0.607
SSD,,,,,0.179,0.18,0.18,0.18
ESP,0.735,0.75,0.7559999999999999,0.7609999999999999,0.7709999999999999,0.778,0.6659999999999999,0.6709999999999999
LKA,0.606,0.61,0.636,0.638,0.653,0.655,0.653,0.653
SDN,,,,,0.183,0.18600000000000005,0.187,0.189
SUR,0.481,0.485,0.489,0.496,0.503,0.511,0.539,0.537
SWE,0.8220000000000001,0.818,0.821,0.8320000000000001,0.851,0.871,0.872,0.87
CHE,0.8590000000000001,0.862,0.868,0.838,0.841,0.843,0.8759999999999999,0.8759999999999999
SYR,0.368,0.375,0.384,0.309,0.295,0.282,0.282,
