Country,2013-2017
ARG,70.1
ARM,63.4
AUS,84.9
AUT,80.7
AZE,74.7
BHR,99.0
BGD,5.1
BLR,70.9
BEL,85.4
BOL,32.2
BWA,33.8
BRA,61.1
BRN,90.0
BGR,59.1
BDI,0.7
CPV,49.8
KHM,32.4
COL,58.2
CRI,66.3
HRV,68.7
CUB,39.7
CYP,74.4
CZE,74.8
DNK,97.5
ECU,53.5
EGY,38.2
SLV,25.6
EST,87.4
FIN,86.6
FRA,85.5
GEO,56.7
DEU,81.2
GRC,67.1
HKG,86.3
HUN,78.4
ISL,98.0
IDN,23.5
IRN,52.1
IRL,86.0
ISR,78.7
ITA,57.2
JAM,44.9
JPN,91.8
KAZ,73.3
KOR,90.9
LVA,78.9
LTU,74.7
LUX,97.3
MYS,76.7
MLT,77.2
MUS,49.5
MEX,58.1
MDA,66.9
MNE,65.9
MAR,53.5
NLD,89.2
NER,0.7
NOR,97.4
OMN,67.4
PAK,9.5
PSE,47.5
PAN,52.5
PRY,48.8
PER,42.6
POL,72.8
PRT,69.0
QAT,91.7
ROU,56.9
RUS,72.6
SAU,92.9
SRB,65.0
SGP,83.6
SVK,79.3
SVN,74.1
ESP,78.6
SDN,11.0
SWE,89.0
CHE,86.1
THA,47.0
MKD,70.6
TUR,56.6
UKR,46.5
ARE,88.9
GBR,94.8
USA,74.9
URY,64.2
ZWE,14.6
