Country,1990,1995,2000,2005,2010,2015
AFG,-24.7,31.7,-4.1,8.2,-5.8,2.9
ALB,-0.0,-27.8,-11.5,-11.4,-14.4,-6.4
DZA,-0.8,-0.9,-1.1,-1.3,-2.1,-0.8
AGO,-2.7,2.2,-1.7,1.9,0.8,0.7
ATG,-22.4,7.5,11.3,-0.7,-0.2,-0.1
ARG,1.0,0.2,-0.4,-0.5,-0.4,0.1
ARM,-3.9,-29.4,-14.2,-10.6,-12.5,-2.1
AUS,8.1,4.0,4.1,5.9,10.6,8.0
AUT,2.9,5.8,1.6,4.4,3.7,6.3
AZE,-4.6,-3.1,-2.8,0.9,1.2,0.0
BHS,-0.9,-0.3,-2.1,9.9,8.3,5.2
BHR,5.6,2.1,12.8,40.0,51.1,6.4
BGD,-0.4,-1.4,-1.2,-2.2,-4.8,-3.2
BRB,-3.2,-2.5,-1.0,-0.1,1.5,1.5
BLR,-0.5,-1.2,1.1,-0.1,1.3,1.6
BEL,0.9,2.1,1.0,4.2,5.5,4.7
BLZ,-6.1,-9.1,10.5,4.4,5.8,4.5
BEN,-0.4,2.5,-0.1,0.7,-1.1,-0.9
BTN,0.6,-32.7,0.1,9.4,4.9,2.6
BOL,-3.3,-2.5,-2.1,-2.1,-1.8,-1.2
BIH,-6.1,-35.0,-8.4,-0.3,-3.2,-8.9
BWA,0.9,2.4,3.0,2.4,1.9,1.4
BRA,0.0,0.0,0.0,0.0,0.0,0.0
BRN,2.4,2.8,2.0,1.9,-1.1,1.0
BGR,-4.1,-8.3,-3.3,-2.2,-2.2,-0.7
BFA,-4.4,-3.2,-2.5,-2.0,-1.7,-1.5
BDI,-6.0,-10.6,-14.4,1.5,2.5,-1.5
CPV,-16.9,-3.5,-2.6,-4.3,-7.2,-4.3
KHM,-1.9,8.3,6.1,-0.6,-4.3,-2.0
CMR,-0.4,-0.8,-0.7,-0.7,-0.6,-0.3
CAN,6.5,4.9,5.1,6.5,7.4,6.5
CAF,-3.2,3.2,1.4,-1.2,-5.9,-17.6
TCD,0.1,-0.3,1.8,4.8,1.4,1.5
CHL,-0.3,0.2,0.3,0.5,0.7,0.9
CHN,-0.1,-0.1,-0.1,-0.3,-0.4,-0.2
COL,-1.6,-1.2,-1.0,-0.8,-0.6,-0.6
COM,-2.3,-1.4,-2.4,-3.5,-3.1,-2.7
COG,0.2,1.7,3.3,2.9,4.7,-2.6
COD,0.5,6.8,-4.5,-0.9,-0.1,0.0
CRI,1.2,4.2,4.8,2.0,1.4,0.8
HRV,1.1,-6.1,-8.3,-0.1,-0.5,-1.5
CUB,-1.4,-2.2,-2.4,-2.6,-3.2,-1.3
CYP,4.7,10.7,11.8,11.7,11.0,4.0
CZE,0.1,0.6,0.9,0.9,4.8,1.1
CIV,5.8,5.6,2.3,-4.2,-2.3,0.6
DNK,1.3,2.5,2.8,1.7,3.2,3.8
DJI,35.4,-14.7,3.0,-2.4,-0.4,1.4
DOM,-3.9,-3.8,-3.6,-3.4,-3.2,-3.0
ECU,-0.4,-0.4,-1.2,-1.8,-0.6,-0.5
EGY,-0.8,-1.5,-0.6,-0.2,-0.7,-0.6
SLV,-10.1,-9.8,-11.4,-10.5,-9.4,-7.7
GNQ,10.2,8.6,12.5,14.6,18.7,16.9
ERI,-2.7,-25.8,-4.3,6.0,-7.7,-6.9
EST,2.0,-14.9,-0.2,-2.7,-2.3,-1.6
SWZ,4.4,-8.4,-2.4,-8.5,-1.0,-1.0
ETH,3.5,5.6,-0.5,-0.2,-0.1,-0.1
FJI,-18.6,-9.5,-10.7,-15.1,-6.8,-6.6
FIN,0.7,1.9,0.9,1.2,2.2,3.0
FRA,1.7,1.1,1.3,1.6,1.7,1.1
GAB,1.1,1.0,1.7,4.7,9.0,9.6
GMB,11.7,-3.0,-4.6,-2.1,-1.8,-1.5
GEO,-1.6,-20.9,-15.0,-12.1,-13.7,-14.9
DEU,4.4,6.6,1.7,2.0,0.1,4.4
GHA,-0.4,-0.2,-1.3,1.6,1.6,-0.4
GRC,3.5,8.8,5.4,2.0,1.4,-2.9
GRD,-30.6,-8.0,-9.7,-8.1,-8.2,-8.1
GTM,-6.9,-7.5,-7.3,-4.5,-1.6,-0.6
GIN,5.8,23.0,-5.9,-8.0,-5.9,-4.4
GNB,-5.9,-5.6,-9.9,-6.1,-3.4,-1.2
GUY,-27.1,-15.4,-21.2,-17.1,-14.8,-7.2
HTI,-4.0,-3.8,-3.5,-3.1,-2.9,-2.9
HND,-3.2,-2.9,-2.1,-1.2,-0.6,-0.3
HKG,8.0,5.3,11.7,1.9,2.6,2.1
HUN,-1.7,1.9,1.5,1.2,0.5,0.6
ISL,0.5,-0.8,0.7,2.0,7.8,-1.3
IND,0.0,-0.1,-0.1,-0.4,-0.5,-0.4
IDN,-0.2,-0.4,-0.3,-0.8,-0.6,-0.7
IRN,5.2,-7.2,1.9,-0.2,-1.5,-1.0
IRQ,-7.6,-1.6,-0.2,-2.1,-3.2,2.8
IRL,-6.5,-0.6,4.4,9.9,9.0,-6.0
ISR,3.0,18.6,8.6,3.3,7.8,0.5
ITA,-0.0,0.5,0.8,5.6,3.4,0.9
JAM,-12.3,-8.2,-6.4,-6.3,-6.3,-6.5
JPN,-0.5,0.1,-0.2,0.3,0.4,0.6
JOR,10.6,20.3,-6.2,-3.5,20.2,23.9
KAZ,-8.1,-17.3,-17.0,0.6,-0.4,1.9
KEN,0.0,1.7,-0.1,0.1,-1.0,-0.2
KIR,-2.2,-12.3,-7.3,-4.6,-1.2,-4.0
PRK,0.0,0.0,-0.1,-0.1,-0.2,-0.2
KOR,0.8,0.3,0.7,0.3,-0.6,0.7
KWT,12.5,-70.6,26.4,2.5,36.4,38.7
KGZ,-6.1,-12.4,-1.1,-6.9,-2.9,-4.9
LAO,0.0,-2.7,-5.3,-5.3,-3.7,-5.5
LVA,3.2,-9.0,-3.8,-6.3,-7.9,-8.1
LBN,-17.0,6.3,-1.9,30.5,8.8,49.1
LSO,-8.2,-5.5,-8.2,-4.2,-4.0,-2.4
LBR,-37.3,-28.8,36.3,-3.3,9.7,-0.9
LBY,0.3,0.2,-2.2,-0.7,-4.0,-14.0
LTU,2.0,-5.5,-5.3,-5.8,-9.3,-9.7
LUX,6.9,10.1,9.4,6.5,17.5,18.1
MDG,-0.2,-0.2,-0.1,-0.1,-0.1,-0.1
MWI,21.5,-19.4,-0.7,-0.6,-0.5,-0.4
MYS,5.2,3.1,4.5,5.3,5.3,5.3
MDV,-2.5,-2.6,-0.8,9.2,10.5,11.2
MLI,-11.8,-3.8,-2.8,-1.1,-1.4,-3.7
MLT,0.7,2.0,3.3,2.7,3.2,4.5
MRT,-3.2,-2.8,1.0,0.5,0.6,2.1
MUS,-6.9,-1.0,-1.5,-3.2,-2.0,-1.9
MEX,-4.4,-2.9,-4.8,-5.5,-0.4,-0.5
FSM,-5.4,-4.4,-25.3,-24.1,-23.1,-15.8
MDA,-3.9,-6.1,-7.7,-0.6,-2.3,-0.5
MNG,0.0,-7.9,-4.5,-1.2,-1.1,-1.1
MNE,-9.8,-6.6,-7.0,-2.6,-0.2,-1.0
MAR,-3.5,-3.6,-4.0,-4.4,-3.6,-1.8
MOZ,-19.8,9.0,-0.6,0.3,-0.4,-0.2
MMR,-1.0,-3.3,-2.4,-5.3,-5.9,-1.9
NAM,11.7,3.1,4.0,-5.1,-4.8,-0.1
NPL,-2.4,0.8,-4.1,-6.5,-7.8,-2.7
NLD,1.9,2.5,2.3,1.8,0.8,0.7
NZL,-0.6,6.7,2.3,6.7,2.9,4.0
NIC,-7.6,-5.5,-6.0,-6.7,-5.6,-4.6
