Country,2000,2005,2010,2015
AFG,23.9,28.1,33.6,39.2
ALB,88.3,92.2,95.6,97.7
DZA,83.7,85.3,86.6,87.5
AND,100.0,100.0,100.0,100.0
AGO,20.5,26.7,33.1,39.4
ATG,82.4,84.4,86.3,87.5
ARG,94.8,94.8,94.9,94.8
ARM,90.4,90.8,91.2,91.6
AUS,100.0,100.0,100.0,100.0
AUT,100.0,100.0,100.0,100.0
AZE,65.6,73.7,81.6,89.3
BHS,88.6,90.0,91.4,92.0
BHR,99.8,99.9,100.0,100.0
BGD,25.3,32.7,39.9,46.9
BRB,87.9,90.9,94.0,96.5
BLR,95.0,94.8,94.5,94.3
BEL,99.5,99.5,99.5,99.5
BLZ,82.6,84.1,85.6,87.2
BEN,10.0,11.2,12.5,13.9
BTN,53.2,56.8,60.0,62.9
BOL,38.3,43.0,47.8,52.6
BIH,94.9,94.9,94.8,94.8
BWA,54.3,56.6,58.6,60.0
BRA,73.3,77.8,82.0,86.1
BRN,,,96.4,96.3
BGR,85.8,85.9,85.9,86.0
BFA,9.6,13.5,18.1,22.5
BDI,41.5,44.7,47.9,50.5
CPV,37.5,48.2,58.7,65.2
KHM,12.3,24.4,36.5,48.8
CMR,39.8,39.3,39.0,38.8
CAN,98.5,98.5,98.5,98.5
CAF,15.0,18.9,23.0,25.1
TCD,9.9,9.7,9.6,9.5
CHL,91.9,94.9,97.7,99.9
CHN,60.6,65.1,70.1,75.0
COL,75.8,78.9,81.8,84.4
COM,26.8,29.4,32.0,34.2
COG,12.7,13.4,14.3,15.0
COD,22.4,21.4,20.6,19.7
CRI,94.2,95.3,96.3,97.1
HRV,97.1,97.2,97.3,97.5
CUB,89.2,89.8,90.3,90.8
CYP,100.0,99.9,99.6,99.4
CZE,99.1,99.1,99.1,99.1
CIV,22.4,24.8,27.4,29.9
DNK,99.6,99.6,99.6,99.6
DJI,51.0,51.1,51.2,51.4
DMA,64.0,70.3,76.6,77.9
DOM,79.3,80.6,81.8,82.7
ECU,70.8,76.1,81.2,86.1
EGY,92.4,92.7,92.9,93.2
SLV,81.9,84.4,87.9,91.1
GNQ,80.2,78.0,75.8,74.5
ERI,7.5,9.0,10.4,11.3
EST,99.1,99.3,99.4,99.6
SWZ,49.2,52.1,55.0,58.0
ETH,3.1,4.4,5.7,7.1
FJI,80.5,84.3,90.1,95.7
FIN,99.4,99.4,99.4,99.4
FRA,98.7,98.7,98.7,98.7
GAB,39.0,39.7,40.3,40.9
GMB,55.2,50.2,45.8,41.7
GEO,96.5,92.9,88.8,84.9
DEU,99.2,99.2,99.2,99.2
GHA,11.2,12.2,13.3,14.3
GRC,96.6,97.4,98.2,99.0
GRD,94.2,89.2,82.4,78.3
GTM,59.2,62.0,64.7,67.4
GIN,9.1,13.3,17.6,22.0
GNB,12.0,15.0,18.2,21.5
GUY,78.4,80.9,83.5,86.2
HTI,16.7,21.9,26.8,30.5
HND,61.9,68.2,74.2,79.8
HKG,97.0,96.8,96.6,96.3
HUN,98.0,98.0,98.0,98.0
ISL,98.8,98.8,98.8,98.8
IND,21.7,29.2,36.7,44.2
IDN,44.2,52.6,60.5,67.9
IRN,87.2,87.7,88.0,88.3
IRQ,75.2,79.3,83.3,85.7
IRL,88.6,89.8,91.0,92.2
ISR,100.0,100.0,100.0,100.0
ITA,,,99.3,99.3
JAM,83.8,84.4,84.9,85.4
JPN,100.0,100.0,100.0,100.0
JOR,98.5,98.2,97.5,96.7
KAZ,96.9,97.2,97.5,97.8
KEN,31.0,30.6,30.2,29.8
KIR,30.3,34.2,38.1,39.8
PRK,,77.0,77.0,77.1
KOR,100.0,100.0,100.0,99.9
KWT,100.0,100.0,100.0,100.0
KGZ,91.9,93.3,94.9,96.6
LAO,28.0,43.4,58.4,72.6
LVA,86.5,88.3,90.6,92.9
LBN,75.1,79.7,87.6,95.4
LSO,7.2,19.6,31.8,43.8
LBR,13.1,14.3,15.6,16.9
LBY,99.7,99.7,99.7,99.7
LIE,100.0,100.0,100.0,100.0
LTU,84.9,87.7,90.7,93.6
LUX,97.7,97.7,97.6,97.6
MDG,4.6,6.2,7.9,9.7
MWI,34.5,37.5,40.5,43.5
MYS,96.8,97.9,98.9,99.6
MDV,78.1,87.6,95.4,95.9
MLI,19.3,23.3,27.3,31.3
MLT,100.0,100.0,100.0,100.0
MHL,,86.1,86.5,86.9
MRT,23.3,30.2,37.4,44.6
MUS,91.4,92.0,92.7,93.1
MEX,76.3,80.9,85.2,89.2
FSM,,,56.2,
MDA,72.1,74.1,76.2,78.4
MCO,100.0,100.0,100.0,100.0
MNG,48.0,52.5,56.5,59.2
MNE,,,93.5,95.9
MAR,68.7,74.2,79.0,83.5
MOZ,12.0,15.8,19.6,23.6
MMR,69.6,67.9,66.3,64.7
NAM,28.4,30.1,32.0,33.8
NRU,65.7,65.7,65.6,65.6
NPL,19.2,28.4,37.3,46.1
NLD,98.1,97.9,97.8,97.7
NZL,100.0,100.0,100.0,100.0
NIC,60.4,65.7,71.0,76.3
NER,6.0,8.1,10.4,12.9
NGA,36.5,35.0,33.7,32.6
NOR,98.1,98.1,98.1,98.1
OMN,88.1,91.8,96.4,99.3
PAK,31.6,40.7,49.6,58.3
PLW,84.7,93.1,99.6,100.0
PSE,94.3,94.9,95.5,96.0
PAN,64.1,68.4,72.7,76.9
PNG,18.7,18.6,18.6,18.6
PRY,71.9,78.7,85.0,91.2
PER,62.6,67.7,72.5,76.8
PHL,67.0,69.5,72.2,75.0
POL,87.0,90.7,94.4,98.1
PRT,97.3,98.1,98.8,99.4
QAT,,99.4,99.7,100.0
ROU,,,81.6,81.8
RUS,83.8,85.5,87.1,88.8
RWA,44.3,51.0,57.0,62.3
KNA,85.4,88.8,91.6,
LCA,78.7,81.3,87.4,90.9
VCT,70.8,76.7,82.5,87.2
WSM,98.7,98.5,97.5,96.6
SMR,100.0,100.0,100.0,100.0
STP,20.9,27.2,33.6,40.1
SAU,98.2,98.9,100.0,100.0
SEN,38.5,41.7,45.0,48.4
SRB,97.6,96.6,95.6,94.6
SYC,94.1,96.3,98.4,100.0
SLE,10.1,11.5,13.0,14.5
SGP,100.0,100.0,100.0,100.0
SVK,98.8,98.9,98.9,98.9
SVN,99.1,99.1,99.1,99.1
SLB,20.9,22.6,27.3,31.3
SOM,22.4,20.6,18.5,16.2
ZAF,59.4,64.3,68.9,73.1
SSD,,,,10.3
ESP,99.9,99.9,99.9,99.9
LKA,85.4,88.6,91.7,94.2
SDN,20.9,22.2,28.3,34.6
SUR,80.9,80.3,79.6,79.2
SWE,99.3,99.3,99.3,99.3
CHE,99.9,99.9,99.9,99.9
SYR,93.1,93.0,92.9,92.9
TJK,89.9,91.9,93.9,95.5
TZA,6.5,11.8,17.5,23.5
THA,94.9,95.0,95.0,95.0
MKD,89.8,90.0,90.8,90.9
TLS,,35.9,39.8,44.0
TGO,11.0,11.9,12.9,13.9
TON,88.7,89.2,91.6,93.5
TTO,90.5,91.3,92.0,92.1
TUN,80.4,85.1,89.3,93.1
TUR,82.6,87.0,92.0,96.4
TKM,95.2,95.7,96.1,96.6
TUV,,86.7,90.1,91.4
UGA,15.4,16.7,17.9,19.2
UKR,94.7,95.1,95.6,95.9
ARE,100.0,100.0,100.0,100.0
GBR,99.1,99.1,99.1,99.1
USA,100.0,100.0,100.0,100.0
URY,94.1,94.4,95.1,95.7
UZB,89.3,97.9,100.0,100.0
VUT,53.0,53.1,53.3,53.5
VEN,87.3,90.3,93.2,94.9
VNM,53.4,62.0,70.3,78.2
YEM,41.2,46.1,53.0,59.7
ZMB,26.0,27.7,29.5,31.1
ZWE,41.7,41.0,39.8,38.6
