Country,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index
AFG,,0.247,6.2,2.2,0.555,56.0,,
AGO,0.401,0.3,5.5,4.4,0.434,48.2,2668.0,0.496
ALB,0.6759999999999999,0.589,10.7,8.7,0.835,74.3,6336.0,0.627
AND,0.767,0.5379999999999999,10.8,7.1,0.9109999999999999,79.2,44886.0,0.922
ARE,0.8029999999999999,0.618,12.1,8.4,0.838,74.5,103678.0,1.0
ARG,0.7759999999999999,0.7559999999999999,16.3,9.1,0.831,74.0,13716.0,0.743
ARM,0.652,0.657,10.8,10.7,0.797,71.8,3325.0,0.529
ATG,,,,8.9,0.8270000000000001,73.8,17602.0,0.7809999999999999
AUS,0.9,0.8959999999999999,20.1,11.9,0.9209999999999999,79.9,34753.0,0.884
AUT,0.8490000000000001,0.754,16.1,9.2,0.9,78.5,38644.0,0.9
AZE,0.648,0.647,10.6,10.6,0.7240000000000001,67.1,4692.0,0.581
BDI,0.302,0.18600000000000005,4.4,1.9,0.489,51.8,742.0,0.303
BEL,0.8759999999999999,0.838,18.4,10.2,0.893,78.1,38062.0,0.898
BEN,0.41,0.294,7.4,2.6,0.5489999999999999,55.7,1694.0,0.4270000000000001
BFA,0.29,0.142,3.6,1.3,0.475,50.9,1109.0,0.363
BGD,0.47700000000000004,0.355,7.7,4.3,0.706,65.9,1747.0,0.4320000000000001
BGR,0.722,0.69,12.9,9.9,0.7959999999999999,71.7,9372.0,0.6859999999999999
BHR,0.792,0.645,13.2,8.4,0.841,74.6,42912.0,0.9159999999999999
BHS,0.779,0.7020000000000001,12.1,10.9,0.81,72.7,24698.0,0.8320000000000001
BIH,0.677,0.565,11.9,7.1,0.841,74.7,7511.0,0.652
BLR,0.6890000000000001,0.677,13.6,9.0,0.73,67.5,7998.0,0.662
BLZ,0.679,0.6679999999999999,11.9,10.1,0.7440000000000001,68.4,6509.0,0.631
BOL,0.611,0.631,14.0,7.3,0.635,61.3,4315.0,0.569
BRA,0.691,0.597,14.6,5.8,0.777,70.5,11103.0,0.711
