Country,Human Development Index (HDI),[Demography] Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),"[Demography] Population, ages 15–64 (millions)","[Demography] Population, ages 65 and older (millions)","[Demography] Population, total (millions)","[Demography] Population, under age 5 (millions)","[Demography] Population, urban (%)",[Demography] Sex ratio at birth (male to female births),[Demography] Young age (0-14) dependency ratio (per 100 people ages 15-64),[Education] Education Index,[Education] Expected years of schooling (years),"[Education] Expected years of schooling, female (years)","[Education] Expected years of schooling, male (years)",[Education] Government expenditure on education (% of GDP),"[Education] Gross enrolment ratio, pre-primary (% of preschool-age children)","[Education] Gross enrolment ratio, primary (% of primary school-age population)","[Education] Gross enrolment ratio, secondary (% of secondary school-age population)","[Education] Gross enrolment ratio, tertiary (% of tertiary school-age population)","[Education] Literacy rate, adult (% ages 15 and older)",[Education] Mean years of schooling (years),"[Education] Mean years of schooling, female (years)","[Education] Mean years of schooling, male (years)",[Education] Population with at least some secondary education (% ages 25 and older),"[Education] Population with at least some secondary education, female (% ages 25 and older)","[Education] Population with at least some secondary education, male (% ages 25 and older)",[Education] Primary school dropout rate (% of primary school cohort),[Education] Primary school teachers trained to teach (%),"[Education] Pupil-teacher ratio, primary school (number of pupils per teacher)",[Education] Survival rate to the last grade of lower secondary general education (%),[Environmental Sustainability] Fresh water withdrawals (% of total renewable water resources),"[Environmental Sustainability] Mortality rate attributed to household and ambient air pollution (per 100,000 population)","[Environmental Sustainability] Mortality rate attributed to unsafe water, sanitation and hygiene services (per 100,000 population)","[Gender] Adolescent birth rate (births per 1,000 women ages 15-19)","[Gender] Antenatal care coverage, at least one visit (%)","[Gender] Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)","[Gender] Estimated gross national income per capita, female (2011 PPP$)","[Gender] Estimated gross national income per capita, male (2011 PPP$)",[Gender] Female share of employment in senior and middle management (%),[Gender] Gender Development Index (GDI),[Gender] Gender Inequality Index (GII),"[Gender] Human Development Index (HDI), female","[Gender] Human Development Index (HDI), male",[Gender] Proportion of births attended by skilled health personnel (%),"[Gender] Share of employment in nonagriculture, female (% of total employment in nonagriculture)",[Gender] Share of seats in parliament (% held by women),[Gender] Total unemployment rate (female to male ratio),"[Gender] Unmet need for family planning (% of married or in-union women of reproductive age, 15–49 years)",[Gender] Youth unemployment rate (female to male ratio),"[Health] HIV prevalence, adult (% ages 15-49), total","[Health] Infants lacking immunization, DTP (% of one-year-olds)","[Health] Infants lacking immunization, measles (% of one-year-olds)",[Health] Life expectancy Index,[Health] Life expectancy at birth (years),"[Health] Life expectancy at birth, female (years)","[Health] Life expectancy at birth, male (years)","[Health] Malaria incidence (per 1,000 people at risk)","[Health] Mortality rate, female adult (per 1,000 people)","[Health] Mortality rate, infant (per 1,000 live births)","[Health] Mortality rate, male adult (per 1,000 people)","[Health] Mortality rate, under-five (per 1,000 live births)","[Health] Tuberculosis incidence (per 100,000 people)","[Human Security] Homicide rate (per 100,000 people)",[Income_composition of resources] Domestic credit provided by financial sector (% of GDP),[Income_composition of resources] Gross domestic product (GDP) per capita (2011 PPP $),"[Income_composition of resources] Gross domestic product (GDP), total (2011 PPP $ billions)",[Income_composition of resources] Gross fixed capital formation (% of GDP),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index,[Inequality] Coefficient of Human Inequality,[Inequality] Inequality in education (%),[Inequality] Inequality in income (%),[Inequality] Inequality in life expectancy (%),[Inequality] Inequality-adjusted HDI (IHDI),[Inequality] Inequality-adjusted education index,[Inequality] Inequality-adjusted income index,[Inequality] Inequality-adjusted life expectancy index,[Inequality] Overall loss in HDI due to inequality (%),[Mobility and communication] International inbound tourists (thousands),[Mobility and communication] International student mobility (% of total tertiary enrolment),"[Mobility and communication] Internet users, total (% of population)",[Mobility and communication] Mobile phone subscriptions (per 100 people),[Socio-economic sustainability] Adjusted net savings (% of GNI),[Socio-economic sustainability] Concentration index (exports) (value),[Socio-economic sustainability] Gross capital formation (% of GDP),[Socio-economic sustainability] Rural population with access to electricity (%),[Socio-economic sustainability] Skilled labour force (% of labour force),"[Socio-economic sustainability] Total debt service (% of exports of goods, services and primary income)",[Trade and financial flows] Exports and imports (% of GDP),"[Trade and financial flows] Foreign direct investment, net inflows (% of GDP)",[Trade and financial flows] Net official development assistance received (% of GNI),[Trade and financial flows] Private capital flows (% of GDP),"[Trade and financial flows] Remittances, inflows (% of GDP)","[Work, employment and vulnerability] Employment in agriculture (% of total employment)","[Work, employment and vulnerability] Employment in services (% of total employment)","[Work, employment and vulnerability] Employment to population ratio (% ages 15 and older)","[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older)","[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older), female","[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older), male","[Work, employment and vulnerability] Unemployment, total (% of labour force)","[Work, employment and vulnerability] Unemployment, youth (% ages 15–24)","[Work, employment and vulnerability] Vulnerable employment (% of total employment)","[Work, employment and vulnerability] Youth not in school or employment (% ages 15-24)"
AFG,0.494,4.7,18.6,0.9,34.7,5.2,25.0,1.06,81.8,0.41,10.4,7.9,12.5,,,,,,,3.6,1.8,5.9,23.2,9.5,36.8,,,,,,211.1,13.9,64.5,,22.5,539.0,3029.0,,0.621,0.66,0.359,0.578,,11.7,27.4,1.63,24.5,1.06,0.1,27.0,38.0,0.672,63.7,65.0,62.4,30.8,202.0,53.2,245.0,70.4,189.0,,-1.2,1803.0,62.5,17.7,1822.0,0.43799999999999994,28.2,45.4,10.8,28.4,0.348,0.22399999999999998,0.391,0.48100000000000004,29.6,,,10.6,62.3,-28.5,0.319,17.7,79.0,,3.5,55.9,0.5,20.6,-0.1,1.89,61.4,31.9,49.4,54.2,19.4,86.7,8.8,17.9,66.0,
AGO,0.5770000000000001,4.6,14.6,0.7,28.8,5.3,64.1,1.03,92.6,0.48700000000000004,11.4,11.0,12.7,,,,,,,5.1,,,,,,,,,,,118.5,48.8,151.6,81.6,13.7,5204.0,6738.0,,,,,,46.9,43.0,36.8,1.11,38.0,1.0,1.9,33.0,55.0,0.639,61.5,64.4,58.7,120.3,203.0,54.6,277.0,82.5,370.0,,28.8,5972.0,172.1,8.4,5956.0,0.617,32.3,34.3,28.9,33.8,0.39,0.32,0.439,0.423,32.4,397.0,,13.0,45.1,-38.4,0.935,8.4,16.0,,26.5,59.4,4.3,0.2,-1.5,0.0,49.2,42.0,71.7,77.7,75.3,80.2,7.7,18.0,66.6,
ALB,0.782,18.5,2.0,0.4,2.9,0.2,58.4,1.08,25.5,0.742,14.8,14.9,14.4,,88.0,110.0,95.0,61.0,,10.0,9.7,10.2,92.3,93.1,92.6,,,18.0,,,68.0,0.2,20.7,,,9398.0,13585.0,,0.9690000000000001,0.25,0.767,0.792,,37.5,22.9,0.93,,0.96,0.1,1.0,4.0,0.898,78.3,80.5,76.4,,50.0,12.0,79.0,13.5,16.0,2.7,66.2,11356.0,32.7,24.8,11512.0,0.7170000000000001,12.2,9.1,18.3,9.2,0.685,0.675,0.586,0.815,12.3,4070.0,-14.9,66.4,115.2,6.9,0.23199999999999998,24.8,100.0,,15.2,74.7,8.8,1.4,-6.7,10.99,40.7,40.9,47.7,56.3,47.4,65.1,15.2,32.7,57.1,
AND,0.856,,,,0.1,,88.2,,,0.7140000000000001,13.5,,,3.3,,,,,100.0,10.2,10.1,10.2,72.5,71.7,73.3,,100.0,10.0,,,,,,,,,,,,,,,,,32.1,,,,,1.0,3.0,0.9470000000000001,81.5,,,,,2.4,,2.7,6.0,,,,,,46252.0,0.927,,,,,,,,,,2831.0,-198.2,97.9,92.0,,0.19899999999999998,,100.0,,,,,,,,,,,,,,,,,
ARE,0.862,1.3,7.9,0.1,9.3,0.5,86.0,1.05,16.3,0.738,13.6,14.3,13.4,,82.0,111.0,96.0,37.0,,10.8,11.9,9.7,68.6,78.5,65.3,,100.0,25.0,,,54.7,0.1,28.4,,,24956.0,84281.0,,0.968,0.23199999999999998,0.831,0.8590000000000001,,11.9,22.5,3.23,,1.23,,1.0,1.0,0.8809999999999999,77.3,78.8,76.6,,56.0,6.6,79.0,7.7,0.8,0.9,107.6,67706.0,627.6,24.5,68121.0,0.985,,,,5.2,,,,0.835,,,41.5,90.6,214.7,,0.22699999999999998,26.0,100.0,,,176.7,2.5,,,,0.2,64.4,79.1,80.4,41.3,92.6,1.6,4.9,0.4,
ARG,0.8220000000000001,17.3,28.0,4.8,43.8,3.7,91.6,1.04,39.2,0.8140000000000001,17.4,18.5,16.1,,,,,,,9.9,10.1,9.7,63.8,65.3,62.3,,,,,,26.6,0.4,62.8,,,11995.0,23975.0,,0.998,0.361,0.8140000000000001,0.815,,40.3,37.1,1.4,,1.16,0.4,3.0,10.0,0.87,76.6,80.3,72.8,0.0,74.0,9.9,151.0,11.1,24.0,5.9,38.1,18585.0,814.9,14.6,17857.0,0.7829999999999999,14.0,6.1,26.5,9.5,0.7020000000000001,0.764,0.575,0.7879999999999999,14.5,5559.0,,71.0,145.3,5.9,0.195,17.0,100.0,,34.9,26.1,0.6,0.0,-6.6,0.1,0.6,75.8,54.9,60.0,47.4,73.4,8.4,23.0,21.2,
ARM,0.7490000000000001,16.0,2.0,0.3,2.9,0.2,63.1,1.13,28.9,0.7490000000000001,13.0,13.4,12.6,2.8,52.0,94.0,,51.0,,11.7,11.7,11.7,97.2,96.9,97.6,,,,,,54.8,0.2,23.2,99.6,57.1,5795.0,11228.0,,0.968,0.29600000000000004,0.7340000000000001,0.758,99.8,42.7,10.7,1.2,12.5,1.17,0.2,3.0,3.0,0.84,74.6,77.6,71.3,,74.0,11.9,174.0,13.4,44.0,3.0,54.4,8190.0,24.0,17.4,8350.0,0.6679999999999999,8.6,2.9,13.9,9.0,0.684,0.728,0.5760000000000001,0.765,8.7,1260.0,-3.1,67.0,117.4,-0.0,0.26899999999999996,18.0,100.0,94.6,34.1,75.9,3.2,3.0,-2.9,13.11,34.1,50.1,49.1,59.9,51.2,70.3,18.0,38.6,40.3,36.6
ATG,0.778,9.7,0.1,0.0,0.1,0.0,24.8,1.03,35.1,0.6759999999999999,13.2,13.9,12.6,,,,,,,9.2,,,,,,,,,,,29.9,0.1,43.5,,,,,,,,,,,,25.7,,,,,3.0,12.0,0.867,76.4,78.7,73.8,,106.0,5.1,151.0,8.5,3.4,,62.5,21013.0,2.1,,20302.0,0.8029999999999999,,,,7.5,,,,0.802,,265.0,,73.0,178.3,,0.5579999999999999,,96.5,,,88.7,3.4,0.0,-2.1,2.01,,,,,,,,,,
AUS,0.938,23.2,15.9,3.7,24.1,1.6,85.8,1.06,28.7,0.929,22.9,20.9,20.0,,169.0,101.0,154.0,122.0,,12.9,12.9,12.8,90.0,90.0,89.9,,,,,,8.4,0.1,12.9,,66.9,35356.0,51976.0,32.6,0.975,0.111,0.925,0.9490000000000001,,46.5,31.4,1.02,,0.92,0.1,2.0,5.0,0.968,82.9,84.9,81.0,,,3.1,,3.7,6.1,0.9,182.8,44493.0,1077.2,25.2,43637.0,0.9179999999999999,8.3,3.7,17.7,3.6,0.857,0.894,0.7559999999999999,0.9329999999999999,8.6,8263.0,16.8,88.2,110.1,5.3,0.244,25.3,100.0,,,40.8,3.5,,-1.4,0.17,2.6,78.0,61.2,64.9,59.2,70.7,5.7,12.7,10.9,8.7
AUT,0.9059999999999999,28.5,5.8,1.7,8.7,0.4,57.9,1.06,21.1,0.852,16.1,16.3,15.8,,104.0,102.0,101.0,83.0,,12.1,11.8,12.6,98.9,98.7,100.0,,,10.0,,,15.3,0.1,6.9,,,34797.0,54485.0,29.5,0.971,0.077,0.8909999999999999,0.9179999999999999,98.4,47.2,30.3,0.86,,0.93,,5.0,5.0,0.948,81.6,84.0,79.1,,,2.9,,3.5,8.2,0.7,129.9,44464.0,388.5,23.1,44443.0,0.9209999999999999,7.4,2.6,16.5,3.0,0.8370000000000001,0.8290000000000001,0.769,0.919,7.6,28121.0,12.3,84.3,163.8,12.7,0.062,24.1,100.0,85.8,,101.2,-7.7,,7.1,0.74,4.4,70.1,56.8,60.4,55.0,66.2,6.0,11.3,8.2,7.7
