Country,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index
AFG,-1.3159011186075131,-1.2301321612966336,-0.8511154168980973,-1.395719340572225,-0.8049369046169543,-0.8083758457709662,-0.7403765382416988,-1.446221577713852
AGO,-0.9236663142326605,-1.0011292817411228,-0.9706428028705951,-0.8914253692560367,-1.2231821389244322,-1.2234828367099924,-0.5545228848436191,-0.38648777321877326
ALB,0.4159664022476076,0.3622366988684303,0.1349855173750086,0.5584197982780053,0.8275686873573965,0.8209190936647117,-0.31563740971984167,0.1569654598556259
AND,1.0616452340646727,0.4421214242947714,-0.014423715090613558,0.8420851571433614,1.3065269395482189,1.308669808018066,1.7507730975431066,1.5047294778801361
ARE,1.1038859053050416,0.5752626333386732,0.4338039823062529,0.6844932911070525,0.8343145782333237,0.8312967684381868,3.0878749173986426,1.8525395470477521
ARG,0.8444074962570624,0.9320810735763302,1.4199049165793594,0.4638646786562202,0.7533638877221988,0.7586530450238569,0.15852629986210737,0.7058532252607698
ARM,0.43406954706490786,0.7137294907443318,0.19474921036125778,1.1257505160087176,0.517257707064751,0.5095888504604421,-0.378844880487323,0.04284028091000256
ATG,0.7357886273532567,0.511354852997601,0.4039221358131286,0.5899381714852674,0.7331262150944174,0.7378976954769053,0.42923086802130345,0.9123654538290417
AUS,1.5987051969779338,1.7735335147337887,2.196832925400595,1.535489367703121,1.407715302687125,1.4124465557528227,1.328402903189707,1.3579971049500488
AUT,1.3814674591703227,1.2303173818346702,1.0613227586618663,1.2833423820450265,1.2660515942926558,1.2671591089241645,1.6022301572982336,1.4558186869034409
AZE,0.3857944942187727,0.44744707265652806,-0.044305561583737885,0.873603530350623,0.2339302902758146,0.22939163157659914,-0.14388968250666836,0.40151941473910585
BDI,-1.7081359229823663,-1.3579477219787797,-0.9407609563774708,-1.553311206608534,-1.45928831958188,-1.4621693564999327,-0.7697728576957404,-1.8918532288348593
BEL,1.4719831832568273,1.52855369009301,2.16695107890747,1.1257505160087176,1.212084467285239,1.2152707350567862,1.4823836241394488,1.4177769605882329
BEN,-1.1650415784633392,-1.0703627104439517,-0.4327695659943552,-1.4587560869867486,-0.9668382856392042,-0.964040967373101,-0.7116262917426911,-1.163625896515164
BFA,-1.7986516470688712,-1.9703972835807273,-1.7475708116918303,-1.9315316850956754,-1.2838951568077768,-1.2857488853508463,-0.7354771516660252,-1.391876254406412
BGD,-0.7969443005115541,-0.9958036333793667,-1.0005246493637194,-0.828388622841513,0.13948781801283555,0.13599255861531767,-0.679968716946031,-0.9353755386239162
BGR,0.6995823377186542,0.8734989415970134,0.7027406007443728,0.9681586499724086,0.5509871614443864,0.5510995495543438,-0.013167587938146466,0.5482517876691938
BHR,0.8504418778628287,0.36756234723018694,0.4338039823062529,0.3062728126199113,0.8073310147296153,0.8105414188912351,1.405070227187061,1.3851697666037688
BHS,0.8142355882282274,0.7243807874678438,0.2545129033475064,1.0942321428014559,0.6656673063351475,0.6652539720625769,0.44592108602634534,0.9232345184905296
BIH,0.3857944942187727,0.23974678654804119,0.46368582879937775,0.0541258269618168,0.7938392329777612,0.7897860693442835,-0.26206719386494903,0.23848344481678588
BLR,0.7176854825359558,1.20368914002589,1.0912046051549906,1.220305635630503,0.17321727239247095,0.16712558293574434,-0.011175529660125333,0.5482517876691938
BLZ,0.2711412437091995,0.6498217104032583,0.28439474984063073,0.9366402767651469,0.15972549064061678,0.15674790816226927,-0.4325227751680546,-0.0658503657048774
BOL,-0.09092165263681842,0.30898021525087016,0.6130950612649999,0.0541258269618168,-0.2787574162946424,-0.2791144323237085,-0.5393401704003229,-0.3375769822420767
BRA,0.36769134940147113,0.1598620611217001,0.6130950612649999,-0.22953953190353907,0.530749488816606,0.5303442000073922,-0.08967339369674185,0.46673380270803383
BRB,0.759926153776324,0.8734989415970134,1.121086451648115,0.5899381714852674,0.692650869838855,0.686009321609527,0.03270359186925907,0.5917280463151458
BRN,1.1159546685165755,0.5379830948063813,0.7027406007443728,0.40082793224169627,0.9017734869925944,0.9039404918525166,3.6432823010761015,1.8797122087014722
BTN,-0.6762566683962151,-1.1129678973380004,-0.3730058730081065,-1.6163479530230576,-0.1236019261483204,-0.12344931072157365,-0.5176428869937684,-0.27236259427314935
BWA,-0.0969560342425854,0.2557237316333094,0.1349855173750086,0.36930955903443463,-1.148977339289235,-1.1508391132956632,-0.11530095424641913,0.4341266087235704
CAF,-1.9193392791842108,-1.5123915244697055,-1.598161579226208,-1.2696458477431778,-2.2620493338172016,-2.2612503140575577,-0.7647119528813083,-1.7940316468814672
CAN,1.4719831832568273,1.4699715581136936,1.2406138376206128,1.5670077409103826,1.3335105030519265,1.3398028323384943,1.3966712787716205,1.3851697666037688
CHE,1.5806020521606328,1.475297206475449,1.0613227586618663,1.7245996069466916,1.4414447570667603,1.443579580073251,2.0391369931398957,1.591681995172041
CHL,0.9107856939204984,0.9054528317675498,0.9716772191824928,0.779048410728838,1.0569289771389172,1.0596056134546514,0.13979018416612482,0.6895496282685372
CHN,0.18062551962269552,-0.005233038092737613,0.16486736386813344,-0.13498441228175379,0.7061426515907092,0.7067646711564786,-0.3800831869844713,0.04284028091000256
CIV,-1.3581417898478825,-1.160898732593805,-1.090170188843093,-1.0805356084996072,-1.938246571772702,-1.939542396079813,-0.6718928050081074,-0.8864647476472205
CMR,-0.9840101302903297,-0.7295212152915633,-0.6419424914462265,-0.7023151300124658,-1.3985753016985363,-1.3999033078590788,-0.6554179446547435,-0.7940776980245725
COD,-1.5995170540785613,-0.9585240948470745,-1.0005246493637194,-0.7653518764269894,-1.2704033750559218,-1.2753712105773705,-0.7781718061111809,-2.082061860410899
COG,-0.7184973396365834,-0.5005183357360524,-0.4327695659943552,-0.45016814435437164,-1.0005677400188395,-1.0055516664670041,-0.6209068809733503,-0.6310417281022532
COL,0.33148505976686926,0.2770263250803337,0.6429769077581242,-0.04042929265996849,0.517257707064751,0.5199665252339172,-0.26384389449129225,0.23848344481678588
COM,-1.116766525617204,-0.8892906661442452,-0.4327695659943552,-1.1750907281213925,-0.7172403232299023,-0.7149767728096854,-0.7342388451688769,-1.3755726574141798
CPV,-0.18143737672332308,-0.42063361030971136,0.1349855173750086,-0.828388622841513,0.40257756217399077,0.4058121027256855,-0.49901445012362483,-0.22345180329645334
CRI,0.5728603239975484,0.34093410542140656,0.4039221358131286,0.3062728126199113,1.0906584315185526,1.090738637775078,-0.13236804814189748,0.41782301173133785
CUB,0.7538917721705577,1.3847611843255958,1.7187233815106036,0.9996770231796703,1.1108961041463337,1.1114939873220298,-0.4663877658944139,-0.14193381833529337
CYP,1.1883672477857794,1.0119657990026714,0.7027406007443728,1.220305635630503,1.1513714494018963,1.1530046864159313,1.0856409903357265,1.2601755229966562
CZE,1.200436010997314,1.3741098876020836,1.121086451648115,1.5039709944958588,0.948994723124084,0.9454511909464184,0.6670395548866911,1.053663294428385
DEU,1.5806020521606328,1.8267899983513494,1.479668609565608,1.9767465926047854,1.225576249037094,1.2256484098302614,1.4179916862877386,1.3906042989345129
DJI,-1.3279698818190477,-1.5976018982578024,-1.926861890650577,-1.112053981706869,-0.8993793768799334,-0.9017749187322477,-0.6732387903310947,-0.8973338123087085
DMA,0.39182887582453907,0.18116465456872438,0.28439474984063073,0.11716257337634042,0.955740614000011,0.9558288657198949,-0.2824723313614358,0.2113107831630659
DNK,1.532326999314497,1.6989744376692042,1.509550456058733,1.7245996069466916,1.1176419950222607,1.1218716620955047,1.6864349991043162,1.4829913485571609
DOM,0.24096933568036463,0.10660557750413935,0.3441584428268799,-0.07194766586723016,0.44305290742955394,0.4473228018195873,-0.267989529286093,0.23304891248604248
DZA,0.32545067816110296,0.05334909388657861,0.4039221358131286,-0.22953953190353907,0.6251919610795843,0.6237432729686737,-0.1334448364002873,0.4123884794005938
ECU,0.33751944137263623,0.26637502835682153,0.4039221358131286,0.14868094658360237,0.692650869838855,0.6963869963830035,-0.32236733633477793,0.14609639519413792
EGY,0.017697216266986483,-0.20228202747771235,0.07522182438875995,-0.38713139793984797,0.20694672677210632,0.20863628202964754,-0.3054617606780581,0.1732690568478579
ERI,-1.4969325667805227,-1.640207085151851,-1.9567437371437013,-1.1435723549141308,-0.7307321049817564,-0.735732122356637,-0.736769297576093,-1.4027453190678998
ESP,1.2125047742088473,0.9587093153851105,1.3302593770999858,0.5584197982780053,1.3874776300593439,1.3916912062058726,0.9794696680584919,1.211264732019961
