Country1_Country2,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index,[Socio-economic sustainability] Research and development expenditure (% of GDP)
AFG_AGO,,,0.028301886792452824,,0.17376294591484476,0.17345132743362823,,,
AFG_ALB,,0.427906976744186,0.26886792452830205,0.45652173913043476,0.33601841196777893,0.33628318584070804,,,
AFG_AND,,,0.29245283018867935,,0.42692750287687,0.42654867256637163,,,
AFG_ARE,,0.430232558139535,0.3207547169811321,0.391304347826087,0.3486766398158804,0.34867256637168154,,,
AFG_ARG,,0.5453488372093024,0.419811320754717,0.47826086956521735,0.34407364787111616,0.34336283185840744,,,
AFG_ARM,,0.5093023255813954,0.2547169811320755,0.6231884057971014,0.28078250863060983,0.28141592920353997,,,
AFG_ATG,,,,,0.3383199079401611,0.33982300884955763,,,
AFG_AUS,,0.8197674418604652,0.6981132075471697,0.7173913043478262,0.44188722669735336,0.4424778761061947,,,
AFG_AUT,,0.6069767441860466,0.4858490566037737,0.5072463768115942,0.4165707710011507,0.41769911504424784,,,
AFG_AZE,,0.49302325581395356,0.24528301886792464,0.6086956521739132,0.2128883774453394,0.21415929203539819,,,
AFG_BDI,,0.009302325581395363,0.0,0.021739130434782608,0.07134637514384357,0.0707964601769911,,,
AFG_BEL,,0.7255813953488375,0.6132075471698114,0.5724637681159421,0.4165707710011507,0.41769911504424784,,,
AFG_BEN,,0.05930232558139534,0.06603773584905663,0.021739130434782636,0.02876869965477563,0.030088495575221308,,,
AFG_BFA,,,0.07075471698113206,,0.07019562715765248,0.0690265486725663,,,
AFG_BGD,,0.13139534883720924,0.10377358490566037,0.11594202898550725,0.1611047180667432,0.16106194690265496,,,
AFG_BGR,,0.5499999999999999,0.3773584905660377,0.5362318840579711,0.30840046029919443,0.3079646017699117,,,
AFG_BHR,,0.5046511627906978,0.4245283018867925,0.3985507246376812,0.3555811277330264,0.3557522123893805,,,
AFG_BHS,,,0.33962264150943405,,0.31760644418872264,0.31858407079646023,,,
AFG_BIH,,,,,0.332566168009206,0.33274336283185846,,,
AFG_BLR,,0.5267441860465117,0.38679245283018876,0.4855072463768116,0.2543153049482163,0.25486725663716825,,,
AFG_BLZ,,0.508139534883721,0.3207547169811321,0.5362318840579711,0.2761795166858456,0.2761061946902654,,,
AFG_BOL,,0.4546511627906976,0.3632075471698114,0.38405797101449285,0.08630609896432673,0.08672566371681423,,,
AFG_BRA,,0.40116279069767447,0.419811320754717,0.21014492753623187,0.2577675489067892,0.2584070796460177,,,
AFG_BRB,,0.5523255813953489,0.4245283018867925,0.4855072463768116,0.3383199079401611,0.33982300884955763,,,
AFG_BRN,,0.5104651162790699,0.3915094339622642,0.44927536231884063,0.36823935558112764,0.368141592920354,,,
AFG_BTN,,,0.09433962264150948,,0.06904487917146152,0.06902654867256641,,,
AFG_BWA,,0.3965116279069768,0.29245283018867935,0.36231884057971026,0.004602991944764101,0.005309734513274378,,,
AFG_CAF,,0.02906976744186046,0.004716981132075498,0.04347826086956523,0.13924050632911394,0.13805309734513266,,,
AFG_CAN,,0.7383720930232558,0.580188679245283,0.6376811594202898,0.43843498273878023,0.43893805309734524,,,
AFG_CHE,,0.6406976744186047,0.4669811320754717,0.5942028985507246,0.44764096662830855,0.44778761061946915,,,
AFG_CHL,,0.5151162790697675,0.3773584905660377,0.47826086956521735,0.3924050632911392,0.3929203539823011,,,
AFG_CHN,,0.3023255813953488,0.21698113207547176,0.28260869565217395,0.2991944764096661,0.2991150442477878,,,
AFG_CIV,,0.08837209302325583,0.08490566037735849,0.05072463768115944,0.08515535097813581,0.08495575221238927,,,
AFG_CMR,,0.1813953488372094,0.1273584905660377,0.17391304347826086,0.06789413118527043,0.06725663716814151,,,
AFG_COD,,0.11046511627906966,0.0990566037735849,0.07971014492753627,0.07940161104718074,0.079646017699115,,,
AFG_COG,,0.3127906976744186,0.26886792452830205,0.23913043478260876,0.014959723820483328,0.014159292035398063,,,
AFG_COL,,0.35813953488372086,0.27830188679245293,0.31159420289855083,0.286536248561565,0.28849557522123903,,,
AFG_COM,,,0.16509433962264153,,0.09666283084004601,0.09734513274336287,,,
AFG_CPV,,,,,0.24165707710011497,0.24247787610619487,,,
AFG_CRI,,0.42906976744186043,0.30660377358490576,0.40579710144927544,0.4108170310701956,0.4123893805309735,,,
AFG_CUB,,0.5186046511627908,0.33962264150943405,0.5362318840579711,0.3924050632911392,0.3929203539823011,,,
AFG_CYP,,0.5488372093023257,0.3773584905660377,0.5434782608695653,0.42347525891829685,0.424778761061947,,,
AFG_CZE,,0.5755813953488375,0.4009433962264151,0.5579710144927537,0.3567318757192174,0.35752212389380544,,,
AFG_DEU,,0.6709302325581397,0.5283018867924528,0.5724637681159421,0.4131185270425777,0.4141592920353985,,,
AFG_DJI,,0.019767441860465113,0.0849056603773585,0.06521739130434785,0.06214039125431525,0.06194690265486735,,,
AFG_DMA,,,0.33962264150943405,,0.4027617951668584,0.4035398230088496,,,
AFG_DNK,,0.666279069767442,0.5094339622641509,0.5942028985507246,0.3947065592635214,0.3946902654867257,,,
AFG_DOM,,0.3965116279069768,0.34905660377358494,0.29710144927536236,0.28883774453394706,0.28849557522123903,,,
AFG_DZA,,0.2941860465116277,0.2547169811320755,0.2246376811594203,0.2646720368239355,0.2654867256637169,,,
AFG_ECU,,0.43837209302325586,0.3537735849056604,0.36231884057971026,0.3199079401611047,0.32035398230088497,,,
