[Dimension] Attribute,2010,2011,2012,2013,2014,2015,2016
[Demography] Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),0.3161564928033127,0.3372683532609418,0.3668068849001892,0.31531260174361914,0.62057124921672,0.20606681023506157,0.2881552915887442
"[Demography] Population, ages 15–64 (millions)",0.2985852750028362,0.2068355061734192,0.29960677147625997,0.27935880068949936,0.21705095056637555,0.4883122718176868,0.4820073613918987
"[Demography] Population, ages 65 and older (millions)",0.23626232792722804,0.33135855629230054,0.3826233459796951,0.25422454645152903,0.3003455864334768,0.5133476697844059,0.47209294256954504
"[Demography] Population, total (millions)",0.34231296090618907,0.18655479282208387,0.47639066359074733,0.493798805241244,0.44394164646837064,0.4605959848598641,0.5008905284285837
"[Demography] Population, under age 5 (millions)",0.31934358086569514,0.28586123199187347,0.18697633714736664,0.29239481238750853,0.19092015445002763,0.26172131312724434,0.3131995300984477
"[Demography] Population, urban (%)",0.14267481747783453,0.1692168425123917,0.12591710889735647,0.18377870466939678,0.13878706761276924,0.16159797930759096,0.23247314597986052
[Demography] Young age (0-14) dependency ratio (per 100 people ages 15-64),0.3963838259924855,0.7031354651682433,0.5023680284519656,0.49434863262219636,0.5963228191270672,0.7447858806066954,0.5709666303796186
[Education] Education Index,0.6641810590428098,0.42427162520345674,0.6566041913767433,0.743917749875192,0.5914623937329261,0.6999432227222532,0.8702976684793807
[Education] Expected years of schooling (years),0.24409077166664203,0.12599939258820647,0.7373007452211757,0.7260948551494666,1.3155926359214227,1.0356633437310065,1.3009262290846841
"[Education] Expected years of schooling, female (years)",0.32826752354906313,0.3760607689940604,0.4909576106496801,0.32445062263315266,0.29108252671571005,0.29335995121718794,0.3893970782548687
"[Education] Expected years of schooling, male (years)",0.7560255422797709,1.2290688377087053,0.7170601064765462,0.6004181731788352,0.20370982762131687,0.4675318173301467,0.45205820288695764
[Education] Government expenditure on education (% of GDP),0.09133617961549376,0.14245309731382136,0.19451215502613767,0.222963674808818,0.2471638636405104,0.0868851673310374,0.19254136886354273
"[Education] Gross enrolment ratio, pre-primary (% of preschool-age children)",0.09249262859552358,0.11888499473266381,0.13945535660302372,0.12057594590901456,0.24767344573849623,0.1831972311681138,0.2211504718585009
"[Education] Gross enrolment ratio, primary (% of primary school-age population)",0.1002682231408818,0.14062739501603355,0.08870562313310618,0.17578152137001765,0.2500574966603193,0.16761483666174537,0.3352898599515138
