Country,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
AFG,0.0,0.0,0.0,0.3457728525564719,0.321772007210003,0.0,0.0,0.0,0.38740888071801305,0.3612791717958896,0.0,0.0,0.3610636642861879,0.0,0.0,0.0,0.2740655421535414,0.28154415115675585,0.2721676290018378,0.0,0.2830769369038069,0.0,0.0,0.0,0.27163241573601266,0.3597400973734797,0.0,0.0,0.0,0.36940086055626337,0.4035704299198524,0.27357297112186896,0.30800343166737826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26786728609972843,0.32385533414944273,0.33085139643924893,0.3838710997472543,0.0,0.0,0.38589164972060336,0.0,0.0,0.0,0.0,0.0,0.3350595900323645,0.3248986802971798,0.0,0.3691581662971226,0.0,0.3415743313215917,0.0,0.0,0.35858648565398304,0.0,0.0,0.0,0.0,0.0,0.0,0.306902425833096,0.0,0.0,0.0,0.37795780382840616,0.0,0.2944829491322974,0.0,0.3002812478777925,0.0,0.0,0.3760913576337971,0.0,0.0,0.3914573179943435,0.3314902600023723,0.3251890432599748,0.0,0.0,0.3632989084204753,0.2744644713731848,0.0,0.0,0.0,0.0,0.0,0.3291412662856632,0.30438336949756856,0.0,0.0,0.0,0.0,0.0,0.4265666356088052,0.0,0.0,0.3083812694649403,0.3926212253346965,0.3051961037831484,0.0,0.27961651130412796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3172026805985194,0.0,0.2770629010306703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3792708473514213,0.4235777843259365,0.0,0.0,0.3391946983981359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30299818567320524,0.0,0.29740264041085096,0.0,0.0,0.4018154441364558,0.0,0.297044215728417,0.0,0.2684515316359501,0.0,0.0,0.41897496926448463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3084678842841909,0.33006728648845546,0.3822683885876476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3989928378294472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,0.0,0.0,0.0,0.29778082504599124,0.3037978166284492,0.0,0.0,0.0,0.3457991805611585,0.3308747127227483,0.0,0.0,0.34143707277936913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3288534954722184,0.0,0.0,0.0,0.32563629537576805,0.35639254275510496,0.0,0.2795930195557157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2943982926025196,0.29743589447332475,0.35230099159055633,0.0,0.0,0.3490266725016642,0.0,0.0,0.0,0.0,0.0,0.32920085837937657,0.28234472660554355,0.0,0.3325268178097794,0.0,0.3387988014547447,0.0,0.0,0.3283075771305137,0.0,0.0,0.0,0.0,0.0,0.0,0.2975520740601399,0.0,0.0,0.0,0.34778313641566905,0.0,0.2749761709466134,0.0,0.2743452919534303,0.0,0.0,0.34903091885791304,0.0,0.0,0.32471635969573964,0.2871686120382205,0.3238870257416138,0.0,0.0,0.336155647010576,0.0,0.0,0.0,0.0,0.0,0.0,0.2963097574511898,0.2942786147059335,0.0,0.0,0.0,0.0,0.0,0.3922023283765063,0.0,0.0,0.2736880998230218,0.3598151693472286,0.2657256438384735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30352673165528005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34207819923755844,0.38285506274753534,0.0,0.0,0.28275569891615765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2784979339138293,0.0,0.2833033144019215,0.0,0.0,0.3831335206575481,0.0,0.0,0.0,0.2792604597405071,0.0,0.0,0.3739416990911856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.279335862474593,0.30248660510807673,0.34309901718921804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37895862656444856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2794637325820454,0.0,0.0,0.26862247323279986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3241205318772134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2848106493121156,0.0,0.0,0.0,0.0,0.2708292998599667,0.0,0.0,0.0,0.0,0.0,0.3113960808974534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2741709868975353,0.0,0.0,0.30977031013479595,0.0,0.2724750933325194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3199807345386528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AND,0.3457728525564719,0.29778082504599124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35157200564221264,0.0,0.3281760268657261,0.38910041793475497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2753382844563062,0.0,0.4175871773141581,0.0,0.0,0.0,0.0,0.3293715221048408,0.2879355972221926,0.326949592542904,0.0,0.0,0.2912875366793713,0.0,0.0,0.0,0.0,0.0,0.0,0.33514002925226666,0.0,0.0,0.0,0.0,0.0,0.0,0.3199760075983341,0.0,0.0,0.3577229632617926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3646018735171199,0.32536102938297945,0.3369010823152831,0.3128688828325802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32677103547632713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2838729704093903,0.0,0.0,0.0,0.0,0.0,0.0,0.3517983404586533,0.0,0.0,0.0,0.0,0.31176524374344405,0.0,0.0,0.0,0.0,0.0,0.0,0.2782595188580433,0.0,0.0,0.0,0.0,0.41485639486560816,0.0,0.2924854175403207,0.0,0.0,0.35022824022982274,0.3428828414272365,0.0,0.3388136224112663,0.0,0.0,0.4198669239957191,0.3319465116396727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3094669118854161,0.0,0.0,0.0,0.0,0.3352460398379725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3066978549720025,0.0,0.3352818736339164,0.3166267250673507,0.0,0.0,0.3730837566768482,0.0,0.0,0.4424762757364527,0.0,0.40568561847964457,0.0,0.0,0.0,0.0,0.0,0.2671900079535657,0.0,0.2778719026036359,0.4532052264893888,0.3021827418430945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3003859936557406,0.2893348844815136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3416179095349681,0.0,0.0,0.0
ARE,0.321772007210003,0.3037978166284492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3345990815006604,0.0,0.3061822608153175,0.34472560329712626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3893947757787183,0.0,0.0,0.0,0.0,0.34011774669195755,0.2921830575998882,0.3226427035382307,0.269621310249932,0.0,0.3065875766181673,0.0,0.0,0.0,0.0,0.0,0.0,0.3029185551529788,0.0,0.0,0.0,0.0,0.0,0.0,0.3195889441722673,0.0,0.0,0.3249443242402983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3416689754802833,0.31215280466842377,0.33050264964757675,0.28275710551978217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3147484785580146,0.0,0.0,0.28544423025832805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3272819698912794,0.0,0.0,0.0,0.0,0.3224696320361914,0.0,0.0,0.0,0.0,0.0,0.0,0.2810314486779145,0.0,0.0,0.0,0.0,0.3640129623649725,0.0,0.2653056919940205,0.0,0.0,0.3560753033182295,0.32004690629470195,0.0,0.3166009410466641,0.0,0.0,0.3791132263004579,0.3401424281061439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2819799784506314,0.0,0.0,0.0,0.0,0.3066019260496189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28293555608994203,0.0,0.3277396635240353,0.29587358739387565,0.0,0.0,0.3669153295110048,0.0,0.0,0.3767523211649158,0.0,0.3659913181816205,0.0,0.0,0.0,0.0,0.0,0.3019702566788533,0.0,0.2964789194999877,0.3944569692767419,0.29015957394877345,0.0,0.0,0.0,0.2677977566404235,0.0,0.0,0.0,0.0,0.0,0.2938644128117148,0.30886197633029944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3373224650338701,0.0,0.2772268295080954,0.2749174369036005
ARG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2864942702784417,0.0,0.0,0.27199217149141924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3286329490226251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2695080212904081,0.0,0.0,0.2670066578871974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2981541275992286,0.0,0.0,0.0,0.0,0.2848370673746836,0.0,0.0,0.0,0.0,0.0,0.3204198832383335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28335798736719164,0.0,0.0,0.3161538372624023,0.0,0.29073269025256915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33717741513714183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2686053527152466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31238895772113345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2698377419448861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2977145658454757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2973259255083594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3065389356177465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3050901212992224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2684408336974294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3244918592278042,0.0,0.2838787726066674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30150250367388515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUS,0.38740888071801305,0.3457991805611585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4058852621427228,0.0,0.3621907646299315,0.39461141718762094,0.3023185205120979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3000527140106369,0.0,0.4493401830801736,0.0,0.0,0.0,0.0,0.3896799870373548,0.3526760631601661,0.38097817818379776,0.2997389676314627,0.0,0.3669713295893509,0.0,0.0,0.0,0.0,0.0,0.0,0.3544978454747672,0.0,0.0,0.0,0.0,0.0,0.0,0.38188775593572,0.0,0.0,0.3878497539333337,0.0,0.0,0.0,0.0,0.27187558663733985,0.0,0.0,0.30924813145024416,0.3737305472143065,0.3452804161273315,0.36746368167204974,0.2964754896679481,0.0,0.0,0.27446729038928025,0.0,0.0,0.2763796026457044,0.0,0.3622672991433915,0.0,0.0,0.33883315391570834,0.0,0.0,0.28054954785488084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30201077285823874,0.0,0.3106272772051773,0.29513696339498463,0.0,0.0,0.0,0.3116993312999911,0.0,0.38159719456676794,0.0,0.0,0.0,0.0,0.3632897275892583,0.0,0.0,0.0,0.2683041181078476,0.0,0.0,0.3451740665820889,0.0,0.0,0.0,0.0,0.41940661164484666,0.0,0.28388959938897257,0.0,0.0,0.4002331965264184,0.3861323899448279,0.0,0.3782245142367877,0.0,0.2866768965807289,0.4419120841086888,0.36561768754857615,0.0,0.0,0.0,0.32176844674470695,0.0,0.0,0.0,0.3536249014719751,0.0,0.0,0.0,0.0,0.3242094345330067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3601869629478153,0.0,0.3681474443443934,0.3570030870309032,0.0,0.2975702958895001,0.4063604251498015,0.0,0.0,0.3833630916230433,0.0,0.40382564151765704,0.3126314902927299,0.0,0.0,0.0,0.0,0.3501635577350958,0.0,0.3702573368154144,0.4542412482416034,0.35398622491201354,0.0,0.0,0.0,0.31662381381400817,0.0,0.0,0.0,0.0,0.0,0.3548866917479861,0.3544222162641296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27298913611998266,0.0,0.3908868451839388,0.0,0.3293421501999803,0.3318719233223899
AUT,0.3612791717958896,0.3308747127227483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3902067440224136,0.0,0.34384848797047685,0.3756132713802043,0.2756416498703944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2796496948677345,0.0,0.43583528808656896,0.0,0.0,0.0,0.0,0.3602170172730581,0.33074231712067903,0.35982978678458793,0.28726077900535524,0.0,0.340563480885057,0.0,0.0,0.0,0.0,0.0,0.0,0.3207239756051931,0.0,0.0,0.0,0.0,0.0,0.0,0.3608725827763706,0.0,0.0,0.3731807175311603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2901261582494969,0.3545147594891354,0.3229429491523327,0.35806991193481114,0.27011617923849096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3478716655376076,0.0,0.0,0.31084314971721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2851633961487938,0.0,0.29388208911585445,0.0,0.0,0.0,0.0,0.2915142632144935,0.0,0.3500870396858261,0.0,0.0,0.0,0.0,0.3369310692035742,0.0,0.0,0.0,0.0,0.0,0.0,0.3267989384269545,0.0,0.0,0.0,0.0,0.4013595261399053,0.0,0.2796779199300641,0.0,0.0,0.38827246093718026,0.3588703748680783,0.0,0.3619882120154007,0.0,0.0,0.4247864338013208,0.34210513747325394,0.0,0.0,0.0,0.3003815994861003,0.0,0.0,0.0,0.3270502952812639,0.0,0.0,0.0,0.0,0.3173598653265788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3442414114625074,0.0,0.3447126378458813,0.33310393080624,0.0,0.27738604497818514,0.38087313882413537,0.0,0.0,0.3827748711393416,0.0,0.3774856793264976,0.2854989525098792,0.0,0.0,0.0,0.0,0.31721797971164145,0.0,0.3414243987274514,0.4380562453077397,0.3395273353340637,0.0,0.0,0.0,0.2832852451138455,0.0,0.0,0.0,0.0,0.0,0.3406657362558446,0.34090539935801034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37274349875394003,0.0,0.31536263432472283,0.3159260741085699
