Country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
AFG,1,1,3,1,4,5,3,4,9,5,11,11,4,10,3,5,17,10,12,7
AGO,1,2,3,2,1,2,7,8,9,2,10,6,4,10,15,14,9,9,19,16
ALB,1,2,1,4,2,3,5,2,4,4,2,9,1,3,7,16,8,16,8,19
AND,1,1,1,3,5,6,4,6,4,9,9,7,13,3,10,7,12,7,5,14
ARE,1,1,1,3,5,4,4,6,4,9,9,7,13,3,10,7,12,7,5,14
ARG,1,2,1,3,2,3,5,2,4,4,2,9,13,3,10,16,8,16,8,19
ARM,1,2,1,4,2,3,5,2,4,1,2,9,1,9,7,16,8,16,8,19
ATG,1,2,1,4,2,3,5,2,3,4,2,9,1,11,7,16,8,16,8,19
AUS,1,1,2,3,5,6,4,6,1,9,4,7,5,3,10,7,5,7,5,14
AUT,1,1,2,3,5,6,4,6,4,9,9,7,13,3,10,7,12,7,5,14
AZE,1,2,1,4,2,3,5,2,3,4,2,9,1,11,7,16,8,16,8,19
BDI,1,1,3,1,4,5,3,4,9,5,11,11,3,10,3,5,17,10,12,7
BEL,1,1,1,3,5,6,4,6,4,9,9,7,13,3,10,7,12,7,5,14
BEN,1,2,3,2,1,2,7,8,9,2,10,6,4,10,15,14,9,9,19,16
BFA,1,1,3,1,4,5,3,4,9,5,11,11,3,10,3,5,17,10,12,7
BGD,1,2,3,2,1,2,7,8,9,2,10,6,4,10,15,14,9,9,19,16
BGR,1,1,1,3,3,4,4,6,4,9,9,7,13,3,10,7,12,7,5,14
BHR,1,1,1,3,3,4,4,6,4,9,9,7,13,3,10,7,12,7,5,14
BHS,1,1,1,3,3,4,4,6,4,9,9,7,13,3,10,7,12,7,5,14
BIH,1,2,1,4,2,3,5,2,4,4,2,9,1,3,7,16,8,16,8,19
BLR,1,1,1,3,3,4,4,6,4,9,9,7,13,3,10,7,12,7,5,14
BLZ,1,2,1,4,2,3,5,2,3,4,2,9,1,11,7,16,8,16,8,19
BOL,1,2,1,2,2,3,7,8,9,2,10,6,1,10,15,14,8,9,19,16
BRA,1,2,1,4,2,3,5,2,3,4,2,9,1,11,7,16,8,16,8,19
BRB,1,2,1,4,2,3,5,2,4,4,2,9,1,3,7,16,8,16,8,19
BRN,1,1,2,3,5,6,4,6,1,9,4,7,5,3,10,7,5,7,5,14
BTN,1,2,3,2,2,3,7,8,9,2,10,6,4,10,15,14,9,9,19,16
BWA,1,2,1,4,2,3,5,2,3,2,2,9,1,11,7,16,8,16,8,19
CAF,1,1,3,1,4,5,3,4,2,5,11,11,3,4,3,5,3,10,12,7
CAN,1,1,2,3,5,6,4,6,4,9,9,7,5,3,10,7,12,7,5,14
CHE,1,1,2,3,5,6,2,3,1,9,4,7,2,3,9,7,5,5,5,14
CHL,1,2,1,3,2,3,5,2,4,4,2,9,13,3,10,16,8,16,8,19
CHN,1,2,1,2,2,3,1,8,6,1,10,9,12,9,2,16,9,6,8,5
CIV,1,1,3,2,4,5,3,5,9,5,11,11,4,10,15,5,16,10,12,7
CMR,1,2,3,2,1,2,7,8,9,2,10,6,4,10,15,14,9,9,19,16
COD,1,2,3,2,4,1,3,5,9,2,10,11,4,10,15,5,16,9,12,7
COG,1,2,3,2,1,2,7,8,9,2,10,6,4,10,15,14,9,9,19,16
COL,1,2,1,4,2,3,5,2,3,4,2,9,1,11,7,16,8,16,8,19
COM,1,2,3,2,1,2,7,8,9,2,10,6,4,10,15,14,9,9,19,16
CPV,1,2,1,4,2,3,5,2,3,2,2,9,1,11,7,16,8,16,8,19
CRI,1,2,1,4,2,3,5,2,3,4,2,9,1,11,7,16,8,16,8,19
CUB,1,2,1,3,2,3,5,2,4,4,2,9,13,3,10,16,8,16,8,19
CYP,1,1,1,3,3,4,4,6,4,9,9,7,13,3,10,7,12,7,5,14
CZE,1,1,1,3,5,4,4,6,4,9,9,7,13,3,10,7,12,7,5,14
DEU,1,1,2,3,5,6,4,6,4,9,4,7,5,3,10,7,5,7,5,14
DJI,1,2,3,2,4,1,3,5,9,2,10,11,3,10,3,5,16,9,12,7
DMA,1,2,1,4,2,3,5,2,3,4,2,9,1,11,7,16,8,16,8,19
DNK,1,1,2,3,5,6,4,6,4,9,4,7,5,3,10,7,5,7,5,14
DOM,1,2,1,4,2,3,5,2,3,1,2,9,1,11,7,16,8,16,8,19
DZA,1,2,1,4,2,3,5,2,3,4,2,9,1,11,7,16,8,16,8,19
ECU,1,2,1,4,2,3,5,2,3,1,2,9,1,11,7,16,8,16,8,19
EGY,1,2,1,2,2,3,5,2,3,2,2,6,1,10,7,14,8,16,19,16
ERI,1,2,3,2,1,2,7,8,9,2,10,6,4,10,15,14,9,9,19,16
ESP,1,1,1,3,5,4,4,6,4,9,9,7,13,3,10,7,12,7,5,14
EST,1,1,1,3,3,4,4,6,4,9,9,7,13,3,10,7,12,7,5,14
ETH,1,1,3,1,4,5,3,4,9,5,11,11,3,10,3,5,17,10,12,7
FIN,1,1,2,3,5,6,4,6,4,9,9,7,13,3,10,7,12,7,5,14
FJI,1,2,1,4,2,3,5,2,3,1,2,9,1,11,7,16,8,16,8,19
